trial,top_k,lookbacks,max_pair_corr,target_portfolio_vol,min_adv20,rank_buffer,initial_cash,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio,model
m0_relative_momentum,3,63/126/252,0.9,0.18,20000000.0,2,1000000.0,3053,-0.1545929157989152,-0.013766184249081936,0.770845031176813,0.14947063539355374,0.23522665395748255,-0.017858562606372058,0.37229863982103567,399.2393472105939,32.953919258784694,522800.1818408737,0.0007714726498718378,0.999228527350128,2707,-0.6661759342741372,0.4991811333114969,m0_relative_momentum
m1_absolute_momentum,3,63/126/252,0.9,0.18,20000000.0,2,1000000.0,3053,-0.3224459912731792,-0.031619995950826096,0.8173949255021911,0.09970811655143054,0.15631162495030484,-0.03868386622463971,0.37130396639094304,391.65124809112615,32.3275841857071,429820.3779419757,0.001135017250839709,0.9602176289227322,2707,-0.7205034385576639,0.5004913200131018,m1_absolute_momentum
m2_topk,3,63/126/252,0.9,0.18,20000000.0,2,1000000.0,3053,0.02004832093178721,0.001639796948752048,0.691419323586524,0.16022840276605213,0.24881383792940556,0.002371638877904234,0.30865323554903834,340.4131670491407,28.09830268469815,446211.5640766587,0.0040522816045646,0.8989074820782219,2707,-0.6087360430609976,0.5168686537831642,m2_topk
m3_inverse_vol,3,63/126/252,0.9,0.18,20000000.0,2,1000000.0,3053,0.03875472552824277,0.0031433838652776824,0.6695856587119338,0.16313238896971569,0.25269531412442064,0.004694520894196773,0.3044297806228451,357.2935213503504,29.491636875299147,469075.56842266786,0.006263963789561254,0.8970043393581631,2707,-0.5987801284861651,0.5211267605633803,m3_inverse_vol
m4_vol_target,3,63/126/252,0.9,0.18,20000000.0,2,1000000.0,3053,1.0702005238994987,0.061901468881428556,0.45826781402453776,0.4295119502801436,0.69512435069666,0.13507705971712441,0.17589863363756575,309.0387479920953,25.50860284769342,630489.5835695113,0.007828035123216715,0.6635933302416792,1177,-0.4276435497549166,0.523419587291189,m4_vol_target
m5_rank_buffer,3,63/126/252,0.9,0.18,20000000.0,2,1000000.0,3053,0.989285170080836,0.05841254916080563,0.49544107746453336,0.4142478692437303,0.6644891795624376,0.11790009310438565,0.1733930166242365,210.31023514367322,17.35937741768937,422310.6623217439,0.008267081488112402,0.6646090661064017,1203,-0.4923873030032182,0.524729773992794,m5_rank_buffer
m6_correlation_guard,3,63/126/252,0.9,0.18,20000000.0,2,1000000.0,3053,1.3967704548737379,0.07481825881939597,0.467714989714342,0.49934474852428307,0.8036492065197024,0.15996549279956024,0.17532216814676538,246.61584122543624,20.35610612145756,557086.4234862111,0.007624825307125707,0.6875565945173129,1177,-0.4310926514537934,0.5289878807730102,m6_correlation_guard
baseline,3,63/126/252,0.9,0.18,20000000.0,2,1000000.0,3053,1.0268967882130773,0.06005017925893563,0.37075200543936315,0.4561935854700904,0.7232013791413463,0.1619685891861127,0.15383609873372178,229.875230452619,18.97430660794628,467635.0860571472,0.008999162311728847,0.5779224981427187,1177,-0.33124626576991467,0.5237471339665902,m7_capacity_baseline
