year,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio
2014,245,0.3820939672891426,0.39493165734577773,0.1131016588147109,2.1274975196200456,3.9525654487539073,3.4918290455206815,0.16272431445852348,19.91088387308185,20.479766269455617,26763.170913147005,0.018514233542767947,0.6300639101025511,156,,0.5510204081632653
2015,244,-0.0772649635580005,-0.07969454735877657,0.22990580378150383,-0.376130148331377,-0.5548870843408518,-0.3466399979815911,0.17839836801120226,12.323635753619097,12.727689384885297,21880.90779072557,0.006894418461578691,0.3583403195617415,143,,0.5040983606557377
2016,244,-0.036911528388868686,-0.03809839508895152,0.05686876323766121,-0.33295576200743265,-0.45963641650796366,-0.6699353550161425,0.10121566430770393,9.308983128471427,9.614195690060654,15083.215573490386,0.006371712996354357,0.6478250098604613,92,,0.5122950819672131
2017,244,0.15189474763534383,0.15724771613908972,0.06040030378039907,1.6293483744697,2.7351806897041158,2.6034259150550714,0.09226443842144814,8.847758882571723,9.13784933773801,15210.732447575701,0.013733152510807584,0.872156430094453,39,,0.5450819672131147
2018,243,-0.0880719376043978,-0.09118049592550026,0.17878912463950114,-1.0424494446635177,-1.3372509373314383,-0.5099890505608254,0.08797099438330716,21.897389281954535,22.708403699804702,37683.31155493671,0.005039385149820455,0.33955343926574577,224,,0.5308641975308642
2019,244,0.22509739431763887,0.23327933945288826,0.08828222595864288,1.6750645646128886,3.023461862494444,2.64242702219778,0.1302612977539272,16.08878363371476,16.616284736459505,29913.10762249677,0.00868053849997432,0.6633117124543324,113,,0.5327868852459017
2020,243,0.37484784507476787,0.3911539058115068,0.1182885725268138,1.7587450673964484,2.624427699289398,3.3067767871054454,0.19919850440077097,15.159317072654456,15.720773260530548,36616.460924219806,0.008969907254634413,0.5734004956255132,115,,0.5679012345679012
2021,243,-0.03145040517174691,-0.032596044613513286,0.162835275856282,-0.07032396266867554,-0.11554918315463618,-0.20017802925136735,0.1967543843764545,23.752252517921963,24.631965574141294,66634.24745975023,0.00889754335634517,0.5375471062606039,157,,0.5349794238683128
2022,242,-0.24288267096216687,-0.25153770015709354,0.24775586547487116,-1.9801213426892978,-2.7881773399730037,-1.0152643598365423,0.14119113957254972,27.13144589622256,28.25258002416564,63201.36161194515,0.011902091322199094,0.6217952026110871,241,,0.48760330578512395
2023,242,-0.012809830227430763,-0.013335617090374563,0.18851994307099829,-0.010375937610566753,-0.018160851672772076,-0.07073849521242562,0.1542296997057401,21.924307607203772,22.83027073146839,47369.27622061595,0.006904874033994467,0.6350547126976976,130,,0.5
2024,242,0.06426139346636095,0.06700390022664005,0.11776560467409736,0.5448550981206696,1.00999221058004,0.5689598453815574,0.13575505724027598,16.200984048344274,16.8704461991023,33831.35122518829,0.007267578472705077,0.5954444932712417,160,,0.5041322314049587
2025,243,0.175507501660497,0.18256860717778634,0.1099213855947393,1.1236282814635228,1.8713266742870702,1.6609016179152298,0.1607472200800937,20.965202971416595,21.741691970357948,47723.104384578655,0.008866719513374033,0.5015645459934339,119,,0.522633744855967
2026,134,0.029894290204065976,0.05695821884161778,0.1736661742184088,0.3564323951703082,0.5953862150816273,0.3279753187283615,0.22783277281604217,9.908047907216393,18.633045318048737,25724.838328476995,0.0015042171578045225,0.5019849040373192,92,,0.5074626865671642
