trade_date,symbol,shares,adjusted_close,market_value
2014-01-06,SH511880,1500,103.307,154960.5
2014-01-06,SZ159901,116800,2.807140165787491,327873.9713639789
2014-01-06,SZ159902,120100,2.422442190669371,290935.3070993915
2014-01-06,SZ159915,154500,1.299,200695.5
2014-01-07,SH511880,1500,103.351,155026.5
2014-01-07,SZ159901,116800,2.807140165787491,327873.9713639789
2014-01-07,SZ159902,120100,2.4453346855983775,293684.69574036513
2014-01-07,SZ159915,154500,1.324,204558.0
2014-01-08,SH511880,1500,103.342,155013.0
2014-01-08,SZ159901,116800,2.8122908816880186,328475.5749811606
2014-01-08,SZ159902,120100,2.4599026369168357,295434.30669371196
2014-01-08,SZ159915,154500,1.375,212437.5
2014-01-09,SH511880,1500,103.355,155032.5
2014-01-09,SZ159901,116800,2.7813865862848535,324865.9532780709
2014-01-09,SZ159902,120100,2.425563894523327,291310.22373225156
2014-01-09,SZ159915,154500,1.348,208266.0
2014-01-10,SH511880,1500,103.382,155073.0
2014-01-10,SZ159901,116800,2.7453315749811606,320654.72795779957
2014-01-10,SZ159902,120100,2.3797789046653146,285811.4464503043
2014-01-10,SZ159915,154500,1.324,204558.0
2014-01-13,SH511880,3200,103.408,330905.6
2014-01-13,SZ159902,132800,2.368332657200811,314514.57687626773
2014-01-13,SZ159915,238900,1.336,319170.4
2014-01-14,SH511880,3200,103.438,331001.60000000003
2014-01-14,SZ159902,132800,2.402671399594321,319074.7618661258
2014-01-14,SZ159915,238900,1.377,328965.3
2014-01-15,SH511880,3200,103.453,331049.60000000003
2014-01-15,SZ159902,132800,2.433888438133874,323220.3845841785
2014-01-15,SZ159915,238900,1.39,332071.0
2014-01-16,SH511880,3200,103.495,331184.0
2014-01-16,SZ159902,132800,2.4182799188640973,321147.5732251521
2014-01-16,SZ159915,238900,1.371,327531.9
2014-01-17,SH511880,3200,103.49099999999999,331171.19999999995
2014-01-17,SZ159902,132800,2.3860223123732256,316863.76308316435
2014-01-17,SZ159915,238900,1.367,326576.3
2014-01-20,SH511880,3200,103.45797633696638,331065.52427829243
2014-01-20,SZ159902,132800,2.3641703853955374,313961.8271805274
2014-01-20,SZ159915,238900,1.342,320603.80000000005
2014-01-21,SH511880,3200,103.48068010530199,331138.17633696634
2014-01-21,SZ159902,132800,2.3870628803245437,317001.9505070994
2014-01-21,SZ159915,238900,1.381,329920.9
2014-01-22,SH511880,3200,103.53743952614101,331319.8064836512
2014-01-22,SZ159902,132800,2.4453346855983775,324740.4462474645
2014-01-22,SZ159915,238900,1.399,334221.1
2014-01-23,SH511880,3200,103.57975109440282,331455.203502089
2014-01-23,SZ159902,132800,2.461983772819473,326951.445030426
2014-01-23,SZ159915,238900,1.43,341627.0
2014-01-24,SH511880,3200,103.62206266266465,331590.6005205269
2014-01-24,SZ159902,132800,2.501525354969574,332202.5671399594
2014-01-24,SZ159915,238900,1.453,347121.7
2014-01-27,SH511880,3200,103.63754250471165,331640.1360150773
