symbol,net_pnl,return_contribution,holding_days,average_weight_when_held,maximum_weight,average_portfolio_weight,is_risk_asset,share_of_positive_contribution
SZ159949,324333.08252999996,0.19218472012732446,223,0.23931126798684013,0.34491704503034687,0.017479991077977514,True,0.11194790473655057
SH510230,171121.91162237755,0.1397189102610759,145,0.1502408281308924,0.3141024108003524,0.007135578145751522,True,0.05906501831760071
SZ159869,141904.99085999996,0.09057465028651128,104,0.18081513978670719,0.3133607068761697,0.006159441381532115,True,0.048980407038702094
SH518880,127134.53776000006,0.0974147235501035,772,0.361266384615259,0.42865352664775613,0.09135199768194562,True,0.04388218744403114
SH510180,124160.75133450686,0.1134260101900503,64,0.35300097428730837,0.3893573602791511,0.007399954914637319,True,0.04285574525419635
SH515220,123801.02305364126,0.07899094709709976,287,0.215772309206787,0.33464044474037175,0.020283869224483417,True,0.042731580222978294
SZ159583,119834.86438000006,0.06481335239129628,94,0.173001119868266,0.2095468378518761,0.0053265985154330175,True,0.041362607468477496
SH511260,103296.6282200382,0.0635326013666214,1406,0.4517989359310375,0.9983773182195778,0.20806724661612797,False,0.03565421388832295
SH510050,100002.45733726693,0.08697520504440076,494,0.34586031580387294,0.41550340490869914,0.05596298591782288,True,0.03451718671461092
SH512690,91656.6010517099,0.04579139149300517,195,0.22222775459258934,0.2894653349145871,0.014194042628743834,True,0.031636502705713804
SH510300,89984.30788943058,0.07038909277752643,319,0.3703852159821642,0.39292689345244836,0.03870058430996081,True,0.031059288336577978
SH516150,89003.14400999995,0.05116222626105542,45,0.23151806005496442,0.29533821699507906,0.0034124836889857187,True,0.03072062649040234
SH515880,88209.82222999998,0.04702960321757803,173,0.17668647591836648,0.27400491777986785,0.010012040725148183,True,0.030446800859171362
SH510060,81603.44776000001,0.05779555506778694,101,0.17369249782943216,0.24626441764281587,0.00574613242082301,True,0.028166522282430342
SH588170,77572.05239999997,0.04024004255064972,49,0.14082180578194747,0.17830184797779272,0.002260160001085957,True,0.026775032212419024
SH515210,70749.54323000004,0.03491268555995778,61,0.1870357520627801,0.23575187912700474,0.003737039264929442,True,0.02442015185094141
SZ159667,69984.65005000001,0.03610917687919709,27,0.17411866022235378,0.19728343471528503,0.001539863683591075,True,0.024156138731526246
SH515700,67355.30395000006,0.034196564141478085,147,0.17431086143102315,0.2427607057547746,0.008392956642764626,True,0.023248584730478607
SH513090,62620.298009999984,0.03851106355818107,142,0.18237732488455355,0.26048258734894675,0.008482666273700165,True,0.02161423405072919
SH510500,57014.04806749994,0.05733087206206643,241,0.2648743507283297,0.40049716470246577,0.020908849828210764,True,0.01967916184163922
SZ159939,53347.149910000044,0.03377000434265492,114,0.19001924419619146,0.23944138013229987,0.007095379573654054,True,0.018413482859981647
SH511010,52160.21517489451,0.04785469668671315,1079,0.4851418956366842,0.9991391795556289,0.17146023759973214,False,0.018003796448661562
SH512880,50051.99777000003,0.0448278650039041,131,0.2311502432819283,0.4085330232709101,0.00991833667537917,True,0.017276116992202675
SH512980,47358.44583000003,0.0314249485615117,30,0.18327693591827696,0.26473875430370447,0.0018009525311327575,True,0.01634640148606346
