trade_date,symbol,net_pnl_contribution,return_contribution
2014-01-06,SZ159901,-7654.864585380569,-0.0076548645853805695
2014-01-06,SZ159902,-7636.027039229251,-0.007636027039229251
2014-01-06,SZ159915,-4128.42540000002,-0.00412842540000002
2014-01-06,SH511880,-177.41744999999196,-0.00017741744999999197
2014-01-07,SZ159901,0.0,0.0
2014-01-07,SZ159902,2749.3886409736633,0.0028043446382242394
2014-01-07,SZ159915,3862.5000000000205,0.0039397053598451024
2014-01-07,SH511880,65.9999999999954,6.731923721676562e-05
2014-01-08,SZ159901,601.6036171816395,0.000609477361250729
2014-01-08,SZ159902,1749.6109533468332,0.0017725097333303474
2014-01-08,SZ159915,7879.499999999989,0.00798262631875957
2014-01-08,SH511880,-13.500000000000512,-1.3676687011010653e-05
2014-01-09,SZ159901,-3609.6217030896814,-0.003619399987248925
2014-01-09,SZ159902,-4124.082961460415,-0.004135254895366657
2014-01-09,SZ159915,-4171.499999999986,-0.004182800384285511
2014-01-09,SH511880,19.500000000007844,1.9552824522018588e-05
2014-01-10,SZ159901,-4211.225320271322,-0.004273565252214135
2014-01-10,SZ159902,-5498.777281947274,-0.005580177201318768
2014-01-10,SZ159915,-3708.000000000003,-0.0037628905484898326
2014-01-10,SH511880,40.500000000001535,4.109953268981766e-05
2014-01-13,SZ159901,183.9703861341639,0.00018926309811254538
2014-01-13,SZ159902,-1559.351813002076,-0.001604213381174076
2014-01-13,SZ159915,2806.040440000012,0.0028867684536803234
2014-01-13,SH511880,-181.02063000001334,-0.00018622847935483575
2014-01-14,SZ159902,4560.184989858096,0.0046853551915591865
2014-01-14,SZ159915,9794.899999999981,0.010063755235339934
2014-01-14,SH511880,96.00000000000364,9.86350552422865e-05
2014-01-15,SZ159902,4145.6227180526585,0.004197096391522845
2014-01-15,SZ159915,3105.699999999976,0.0031442615861762145
2014-01-15,SH511880,48.00000000000182,4.859598677800984e-05
2014-01-16,SZ159902,-2072.811359026359,-0.0020831537851879875
2014-01-16,SZ159915,-4539.099999999978,-0.004561748132636755
2014-01-16,SH511880,134.4000000000051,0.0001350705974810879
2014-01-17,SZ159902,-4283.810141987765,-0.004333394154378028
2014-01-17,SZ159915,-955.6000000000008,-0.0009666608268503124
2014-01-17,SH511880,-12.800000000061118,-1.2948156743138416e-05
2014-01-20,SZ159902,-2901.9359026369966,-0.0029512048328584986
2014-01-20,SZ159915,-5972.499999999979,-0.006073900821941127
2014-01-20,SH511880,-105.6757217075301,-0.00010746987910231748
2014-01-21,SZ159902,3040.1233265720443,0.0031202341705741325
2014-01-21,SZ159915,9317.09999999998,0.009562616600635216
2014-01-21,SH511880,72.65205867392979,7.456652631673442e-05
2014-01-22,SZ159902,7738.495740365129,0.007842365917757712
2014-01-22,SZ159915,4300.2000000000035,0.00435791955581674
2014-01-22,SH511880,181.63014668489268,0.000184068082452899
2014-01-23,SZ159902,2210.998782961465,0.00221326610652542
2014-01-23,SZ159915,7405.89999999998,0.0074134945639190986
2014-01-23,SH511880,135.39701843778857,0.00013553586466997966
2014-01-24,SZ159902,5251.122109533451,0.0052056875375867725
2014-01-24,SZ159915,5494.700000000032,0.005447157905707047
2014-01-24,SH511880,135.39701843783405,0.00013422551538624607
2014-01-27,SZ159902,-1381.8742393508865,-0.0013552980765274647
2014-01-27,SZ159915,-1911.2000000000016,-0.0018744438604456652
2014-01-27,SH511880,49.53549455040047,4.8582829444400265e-05
2014-01-28,SZ159902,-1658.2490872210988,-0.0016315479053113425
2014-01-28,SZ159915,-955.6000000000008,-0.0009402128970432777
2014-01-28,SH511880,72.65205867397526,7.148221281081668e-05
2014-01-29,SZ159902,2210.998782961465,0.0021808499394925115
2014-01-29,SZ159915,5972.499999999979,0.005891059897451779
2014-01-29,SH511880,439.214718347057,0.00043322565318123645
2014-01-30,SZ159902,-3869.247870182564,-0.0037843013979865477
2014-01-30,SZ159915,-716.6999999999741,-0.0007009653821451583
2014-01-30,SH511880,518.4715096277614,0.000507088851510554
2014-02-07,SZ159902,6479.676465517208,0.006362732046466771
2014-02-07,SZ159915,8361.49999999998,0.008210592656848831
2014-02-07,SH511880,-214.60055906181486,-0.0002107274740642941
2014-02-10,SZ159902,12331.042393509171,0.011937046240916113
2014-02-10,SZ159915,4300.2000000000035,0.004162801862736888
2014-02-10,SH511880,-52.01226927795233,-5.0350395664255703e-05
2014-02-11,SZ159902,-1522.3509127788755,-0.0014504307278170498
2014-02-11,SZ159915,-5733.600000000005,-0.0054627284361340855
2014-02-11,SH511880,2.8895705154639018,2.753058989646866e-06
2014-02-12,SZ159902,4262.582555780812,0.004089465908064824
2014-02-12,SZ159915,3344.6000000000026,0.0032087654601702324
2014-02-12,SH511880,92.46625649408884,8.871091612434178e-05
2014-02-13,SZ159902,-5632.698377281911,-0.005364311235309494
2014-02-13,SZ159915,-13378.400000000012,-0.012740945213738858
2014-02-13,SH511880,78.01840391692849,7.430097844054104e-05
2014-02-14,SZ159902,6241.638742393474,0.006053385091289356
2014-02-14,SZ159915,6928.100000000033,0.0067191420365479045
2014-02-14,SH511880,320.7423272139465,0.0003110684392089347
2014-02-17,SZ159902,4719.287829614664,0.004517840110329947
2014-02-17,SZ159915,10033.799999999956,0.009605496790122625
2014-02-17,SH511880,205.44411827328162,0.00019667452197807294
2014-02-18,SZ159902,-1522.3509127788757,-0.0014367928869726283
2014-02-18,SZ159915,-3344.600000000003,-0.0031566292958019626
2014-02-18,SH511880,140.660164733832,0.00013275488750557428
2014-02-19,SZ159902,2283.526369168281,0.0021648459881575804
2014-02-19,SZ159915,-238.8999999999737,-0.00022648378996348526
2014-02-19,SH511880,-191.53724559498073,-0.00018158259230440722
2014-02-20,SZ159902,-8220.694929006006,-0.00777977820168441
2014-02-20,SZ159915,-5494.699999999978,-0.005199991929388373
2014-02-20,SH511880,-182.55893720768768,-0.00017276739405567155
2014-02-21,SZ159902,-1979.0561866125968,-0.0018978713917703377
2014-02-21,SZ159915,0.0,0.0
2014-02-21,SH511880,116.71800903443881,0.00011193000570135671
2014-02-24,SZ159902,-608.9403651115633,-0.0005850052132584466
2014-02-24,SZ159915,5255.799999999952,0.0050492143007803535
2014-02-24,SH511880,-473.1718158561409,-0.0004545732142294335
2014-02-24,SH511010,203.5150792533068,0.0001955156681362025
2014-02-25,SZ159902,-15832.449492900643,-0.015146442458866548
2014-02-25,SZ159915,-17439.69999999999,-0.016684052121457318
2014-02-25,SH511010,646.6016745002819,0.0006185849549696547
2014-02-26,SZ159902,761.1754563894706,0.00075165493488094
2014-02-26,SZ159915,-238.89999999997326,-0.0002359119207479487
2014-02-26,SH511010,0.0,0.0
2014-02-27,SZ159902,-8372.930020283911,-0.008263942213224408
2014-02-27,SZ159915,-10989.400000000009,-0.010846354422884449
2014-02-27,SH511010,733.6442076060763,0.0007240945907867324
2014-02-28,SZ159902,5784.933468559753,0.005816577572321082
2014-02-28,SZ159915,3583.4999999999773,0.003603102065684054
2014-02-28,SH511010,-111.91182827885342,-0.00011252399599442401
2014-03-03,SZ159902,4254.762573164309,0.004238587313366502
2014-03-03,SZ159915,7167.000000000006,0.007139753335826061
2014-03-03,SH511010,-290.51749056472056,-0.00028941303507398883
2014-03-04,SZ159902,-3366.237322515177,-0.00331666173244815
2014-03-04,SZ159915,-2150.0999999999754,-0.002118434830259813
2014-03-04,SH511010,-1267.030421419271,-0.0012483704831093361
2014-03-05,SZ159902,0.0,0.0
2014-03-05,SZ159915,1433.4000000000012,0.0014217923894205792
2014-03-05,SH511010,-178.99875759662365,-0.00017754923347747896
2014-03-06,SZ159902,-1346.4949290061168,-0.001333931336958495
2014-03-06,SZ159915,-238.90000000002692,-0.00023667092206180356
2014-03-06,SH511010,259.7236874931568,0.0002573003122657606
2014-03-07,SZ159902,-1346.4949290060595,-0.0013356854953196933
2014-03-07,SZ159915,477.8000000000004,0.00047396430236454167
2014-03-07,SH511010,-186.01831671807645,-0.00018452499311492128
2014-03-10,SZ159902,-12549.88106561869,-0.01246217124091398
2014-03-10,SZ159915,-15274.162239999952,-0.01516741269507782
2014-03-10,SH511010,-125.65010827372964,-0.0001247719526232344
2014-03-11,SZ159902,-998.3208924949666,-0.0010196432729959
2014-03-11,SZ159915,-1921.500000000032,-0.001962539864477025
2014-03-11,SH511010,159.14343322459536,0.00016254245738901932
2014-03-12,SZ159902,-1996.6417849898623,-0.002045052860229352
2014-03-12,SZ159915,274.5000000000307,0.00028115559553706834
2014-03-12,SH511010,16.144985979292414,1.6536441340419196e-05
2014-03-13,SZ159902,5657.15172413805,0.00580445892143668
2014-03-13,SZ159915,11254.499999999978,0.011547557166015802
2014-03-13,SH511010,618.1223203504913,0.0006342176755820023
2014-03-14,SZ159902,-3189.251959740017,-0.0032144808392501937
2014-03-14,SZ159915,-1921.5000000000323,-0.0019367002076320307
