dimension,value,trial_count,positive_annualized_ratio,median_annualized_return,q25_annualized_return,q75_annualized_return,median_maximum_drawdown,median_sharpe,q25_sharpe,q75_sharpe,median_annualized_turnover
top_k,2,324,1.0,0.061669907501681887,0.049896429342418225,0.07358623414257542,0.356585602720721,0.47789190008326293,0.3936288019076773,0.5471677650289389,17.881277250191232
top_k,3,324,1.0,0.06896583394001143,0.06273925118247492,0.08139952595808919,0.37067434563731094,0.5191092283990344,0.4507881186724948,0.5831576810755384,20.050739433874863
top_k,4,324,1.0,0.06616586280333292,0.05591338611299518,0.07718324150736267,0.37534466992107873,0.4953638490755745,0.42899707635341555,0.5573026054850678,20.646805447145603
top_k,5,324,1.0,0.06703689251251577,0.061123976793450274,0.07498925435860637,0.40968927936281707,0.49841408517146996,0.4460279395770674,0.5453524024719694,20.99493053437697
lookbacks,42/84/168,432,1.0,0.07838179718226024,0.0682451963947851,0.09117426309051496,0.39996943801734214,0.560328341168861,0.5093511019924069,0.6250415238445668,22.915576385286293
lookbacks,63/126/252,432,1.0,0.05877462463312133,0.04989562862529723,0.06645730224922564,0.3891280796072504,0.4451335655293164,0.3875193704065406,0.499734509119312,19.523132848629412
lookbacks,84/168/252,432,1.0,0.06615469900902948,0.056365098180718554,0.07331649863768391,0.34519685658770854,0.49045905012167057,0.4314261383618781,0.5393152723375132,18.419786493501775
max_pair_corr,0.85,432,1.0,0.06844408293319781,0.059014739614773104,0.07858616930786999,0.3828590228353109,0.5129919645402201,0.4460427965391623,0.5634242507516866,20.854418379990115
max_pair_corr,0.9,432,1.0,0.06652581873826746,0.05691642189030105,0.07723114601408243,0.38122810373792826,0.49593855404349574,0.43060056313463835,0.5573171964465192,19.966963204575002
max_pair_corr,0.95,432,1.0,0.06515845976702805,0.05363351140283695,0.07524694787393338,0.36824846721670956,0.47953232492227815,0.40874043741112037,0.5487050023450197,18.9880414386824
target_portfolio_vol,0.15,324,1.0,0.06700390434995607,0.059345279000327655,0.0751110599686668,0.32770177316098015,0.5513178763143325,0.5090020195876817,0.6140209991250449,19.00446278036796
target_portfolio_vol,0.18,324,1.0,0.06677863916845783,0.05686691044147907,0.07725398570235398,0.36810532734773416,0.5037623395443074,0.4473181264141164,0.5611655702742036,19.77167591911005
target_portfolio_vol,0.2,324,1.0,0.06806556965615906,0.05619394098523717,0.07808758085467787,0.38504969038456266,0.48221933665436856,0.42152562697781243,0.5375737285897147,20.25288979370928
target_portfolio_vol,0.25,324,1.0,0.06501556610224368,0.05104442470755466,0.07730416655741268,0.41820619691045613,0.43138006393067796,0.3630760320117725,0.48992916245031415,20.938029987378343
min_adv20,10000000.0,432,1.0,0.05636798258003628,0.04869168931640061,0.06561001585620874,0.35946476178489084,0.4515894986051213,0.39074461487623324,0.5155507486002736,20.264318251353572
min_adv20,20000000.0,432,1.0,0.06633968274157764,0.05877337301197727,0.07472687305564907,0.3725349275870326,0.4959450271583917,0.4342997474416104,0.5441868360494451,20.14209124827416
min_adv20,50000000.0,432,1.0,0.0789408367618819,0.06905604752979011,0.09159530131283383,0.4125011135596559,0.5465543936958046,0.4788889245091248,0.6171508234228544,19.496529476734036
rank_buffer,1,432,1.0,0.06587523505865867,0.05554014995797785,0.07410217076680697,0.3829510521596917,0.48986217758178763,0.42914388430517797,0.5458384451380909,21.481466973073836
rank_buffer,2,432,1.0,0.06757033704799331,0.057372649280979904,0.07738460431238314,0.3767989935082587,0.49958339758260745,0.4343555772862718,0.5588205074821816,19.84385329302678
rank_buffer,3,432,1.0,0.06740333905735685,0.05690244351557816,0.08109084533555994,0.3715794914166031,0.5072839157370098,0.4270523958622399,0.57506203311712,18.535599822177762
