case,excluded_count,excluded_symbols,trial,top_k,lookbacks,max_pair_corr,target_portfolio_vol,min_adv20,rank_buffer,initial_cash,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio
baseline,0,,baseline,3,63/126/252,0.9,0.18,20000000.0,2,1000000.0,3053,1.0268967882130773,0.06005017925893563,0.37075200543936315,0.4561935854700904,0.7232013791413463,0.1619685891861127,0.15383609873372178,229.875230452619,18.97430660794628,467635.0860571472,0.008999162311728847,0.5779224981427187,1177,-0.33124626576991467,0.5237471339665902
exclude_top_1,1,SZ159949,exclude_top_1,3,63/126/252,0.9,0.18,20000000.0,2,1000000.0,3053,0.9385067918491783,0.05615597359919833,0.3590954734713202,0.43190672033067845,0.6824362554226248,0.15638173618939621,0.154048698592732,230.02906444802713,18.9870043370137,454831.3842978357,0.008875496055998218,0.5821661061332644,1177,-0.32255958867749246,0.5237471339665902
exclude_top_3,3,SZ159949;SH510230;SZ159869,exclude_top_3,3,63/126/252,0.9,0.18,20000000.0,2,1000000.0,3053,1.0215687025904692,0.059819895142926294,0.3522431854057526,0.4538680571998641,0.7187914598941951,0.16982555694872883,0.15430884701527414,235.6052279156608,19.44727069595366,472475.64949169033,0.009018079218643778,0.5815618646642451,1177,-0.3161823653335837,0.5230920406157877
exclude_top_5,5,SZ159949;SH510230;SZ159869;SH518880;SH510180,exclude_top_5,3,63/126/252,0.9,0.18,20000000.0,2,1000000.0,3053,0.8170411587320372,0.05052991695950104,0.3929553357342934,0.394973877497382,0.6257828962520424,0.12858946644681296,0.1554789527889574,227.26874497644187,18.75916270359101,448085.9987053381,0.007733410425621148,0.5264262093730724,1235,-0.3562486913473064,0.5188339338355715
