trial,top_k,lookbacks,max_pair_corr,target_portfolio_vol,min_adv20,rank_buffer,initial_cash,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio
grid_0001,2,42/84/168,0.85,0.15,10000000.0,1,1000000.0,3053,1.0890511908876137,0.06269628181260689,0.3240670640670248,0.5557369085411054,0.9309704548521459,0.19346699731151884,0.12303463765688942,263.6408118362162,21.761377197093505,468935.95596681844,0.007893627427627349,0.4072767232421418,1124,-0.30726479267458107,0.523419587291189
grid_0002,2,42/84/168,0.85,0.15,10000000.0,2,1000000.0,3053,0.7243264872175512,0.04599832830931394,0.3557014895686995,0.42962674144822993,0.7053610834400259,0.12931722148560165,0.12199236698771018,246.04184447718367,20.308727418359084,435203.9804601149,0.007023890361523199,0.40871391247579225,1342,-0.3185141719883984,0.5237471339665902
grid_0003,2,42/84/168,0.85,0.15,10000000.0,3,1000000.0,3053,0.618683747039954,0.040553946169023414,0.3353185116029732,0.3844499620471877,0.6279611298046452,0.12094156679617037,0.12311622524620336,229.39917719939643,18.935012333523716,366844.84158577747,0.007481140854416805,0.4194537581934469,1322,-0.2770744050078756,0.5165411071077629
grid_0004,2,42/84/168,0.85,0.15,20000000.0,1,1000000.0,3053,1.1481362311218626,0.06514557573592783,0.35975457412822454,0.55123845544629,0.9075144778364712,0.18108338412038785,0.12977666317235337,269.2028688290825,22.22047918274772,515408.3516939229,0.007350637174039653,0.448351314912116,1147,-0.3435347915239597,0.522109400589584
grid_0005,2,42/84/168,0.85,0.15,20000000.0,2,1000000.0,3053,1.4432287604247152,0.07652282681668154,0.3378195525533657,0.6450248801392937,1.068214992137082,0.22651982763665862,0.12678656872187996,239.64059918787203,19.780357351897724,496894.2815426262,0.007815811341588765,0.4430280643447049,1128,-0.3138681150528495,0.524729773992794
grid_0006,2,42/84/168,0.85,0.15,20000000.0,3,1000000.0,3053,1.5393257772127993,0.07995627364037494,0.32573730894079167,0.6678875216653082,1.1069717693838452,0.24546243689545666,0.12731605125408338,225.00530004077734,18.572333969956073,474168.5700066263,0.00760349324524812,0.4431813110265591,956,-0.28322078503730774,0.522109400589584
grid_0007,2,42/84/168,0.85,0.15,50000000.0,1,1000000.0,3053,1.729528280134585,0.08641421353270173,0.3675586591321697,0.6719319025504995,1.1070716857362743,0.23510319070357752,0.1374202562678387,265.3263066006731,21.90050090513253,575643.0674205383,0.006721084396548024,0.5114657642736464,1043,-0.345344819957369,0.5280052407468064
grid_0008,2,42/84/168,0.85,0.15,50000000.0,2,1000000.0,3053,1.6099195664485415,0.08240337297634626,0.39382531089537776,0.638467123146566,1.0450710525547422,0.2092383874185203,0.13922118496063884,234.08699197706622,19.321952826145,504296.95616523793,0.006340121986963791,0.5190892028488046,1046,-0.3741024471571127,0.5280052407468064
grid_0009,2,42/84/168,0.85,0.15,50000000.0,3,1000000.0,3053,1.8033005685430448,0.08880835064572756,0.34804719059727585,0.6847033177382355,1.127711795293498,0.255161808642459,0.13823609191701938,213.68736710796304,17.63813184120756,498470.6295281459,0.006828177249744046,0.5166299857325006,980,-0.33286027639234217,0.5293154274484114
grid_0010,2,42/84/168,0.85,0.18,10000000.0,1,1000000.0,3053,1.0757224450365008,0.06213497858228556,0.3647854971473051,0.5008238115144025,0.8303644288065638,0.17033291912149306,0.13989138304148876,275.112029470222,22.70823171519684,474846.98098606104,0.008075236174586229,0.44309481803472495,1201,-0.3443473388403425,0.522109400589584
