implementation,capital,trial,top_k,lookbacks,max_pair_corr,target_portfolio_vol,min_adv20,rank_buffer,initial_cash,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio,maximum_trade_adv_participation,risk_trade_count_above_0_5pct_adv,position_days_outside_lifecycle
target-holding-cap-only,200000,capital_200000,3,63/126/252,0.9,0.18,20000000.0,2,200000.0,3053,1.3618628844637222,0.07351742746618029,0.4667524865400683,0.4915096875756524,0.7906436336836296,0.15750837882225013,0.17583567527761834,245.5878998132841,20.271258025859023,110014.11400739818,0.015075145845253787,0.6875223803327029,1177,-0.43120481655385356,0.5276776940714052,0.03152985030930181,11,0
target-holding-cap-only,1000000,baseline,3,63/126/252,0.9,0.18,20000000.0,2,1000000.0,3053,1.0268967882130773,0.06005017925893563,0.37075200543936315,0.4561935854700904,0.7232013791413463,0.1619685891861127,0.15383609873372178,229.875230452619,18.97430660794628,467635.0860571472,0.008999162311728847,0.5779224981427187,1177,-0.33124626576991467,0.5237471339665902,0.04220529579015783,61,0
target-holding-cap-only,5000000,capital_5000000,3,63/126/252,0.9,0.18,20000000.0,2,5000000.0,3053,0.5000706197704561,0.03403817020458977,0.2653294436161522,0.34598204844911123,0.5355254814733555,0.12828644171821443,0.11634646528138037,200.63991492004595,16.56117214538211,1610233.1183836877,0.008563340784193147,0.41182841677136833,1320,-0.23509852212703009,0.524729773992794,0.04871844462310362,85,0
target-holding-cap-only,10000000,capital_10000000,3,63/126/252,0.9,0.18,20000000.0,2,10000000.0,3053,0.2599362505225842,0.019255228465126173,0.2473813895559911,0.24659007273929756,0.37469881631665586,0.07783620465422295,0.09610151510338209,184.80447357721363,15.25408691171236,2724444.3664982514,0.009588499542860916,0.3114360518421146,1463,-0.22552026503066036,0.5263675073698002,0.09248688685134644,106,0
target-holding-cap-only,50000000,capital_50000000,3,63/126/252,0.9,0.18,20000000.0,2,50000000.0,3053,0.30350049725617834,0.02211904707947343,0.11323392180723224,0.42432801359131844,0.6559878455826935,0.1953394064821721,0.05514131656461754,141.67983757462474,11.694503461777083,10391356.746184643,0.00922230240365039,0.10156839155405863,1092,-0.07203087708093225,0.5433999344906649,0.09248688685134644,120,0
