test_year,train_start,train_end,test_start,test_end,selected_trial,trial,top_k,lookbacks,max_pair_corr,target_portfolio_vol,min_adv20,rank_buffer,initial_cash,is_sharpe,oos_annualized_return,oos_maximum_drawdown,oos_sharpe
2019,2014-01-02,2018-12-28,2019-01-02,2019-12-31,grid_0441,grid_0441,3,63/126/252,0.85,0.15,50000000.0,3,1000000.0,0.9012059586988305,0.1861590748358406,0.09732610967035171,1.2772555585425869
2020,2014-01-02,2019-12-31,2020-01-02,2020-12-31,grid_1087,grid_1087,5,63/126/252,0.85,0.15,50000000.0,1,1000000.0,1.0761926549375003,0.4551237480965491,0.09442809927411089,2.205251669329002
2021,2014-01-02,2020-12-31,2021-01-04,2021-12-31,grid_1087,grid_1087,5,63/126/252,0.85,0.15,50000000.0,1,1000000.0,1.2779964213673929,0.04051735477260099,0.1492332126646866,0.3200508799544828
2022,2014-01-02,2021-12-31,2022-01-04,2022-12-30,grid_1089,grid_1089,5,63/126/252,0.85,0.15,50000000.0,3,1000000.0,1.1300985374768617,-0.3010032626687754,0.29354031652757706,-2.3708636679368156
2023,2014-01-02,2022-12-30,2023-01-03,2023-12-29,grid_1087,grid_1087,5,63/126/252,0.85,0.15,50000000.0,1,1000000.0,0.7333344957643504,-0.09913210190192423,0.17189693290300512,-0.7340684149374912
2024,2014-01-02,2023-12-29,2024-01-02,2024-12-31,grid_0045,grid_0045,2,42/84/168,0.9,0.15,50000000.0,3,1000000.0,0.6667501107749557,0.13868382691346204,0.13814372221842552,0.883079047509243
2025,2014-01-02,2024-12-31,2025-01-02,2025-12-31,grid_0045,grid_0045,2,42/84/168,0.9,0.15,50000000.0,3,1000000.0,0.6889611513502643,0.23233252101758572,0.11072299781720973,1.491996837535262
2026,2014-01-02,2025-12-31,2026-01-05,2026-07-24,grid_0045,grid_0045,2,42/84/168,0.9,0.15,50000000.0,3,1000000.0,0.7607709990046065,0.16613280335612957,0.10977791026593064,0.8837954080476529
