regime,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio
bull,1410,0.9295402722113264,0.12464973007885494,0.27027541680025124,0.7448098222331081,1.1725071073258913,0.46119521913818046,0.1794264811505035,103.15896487791113,18.43692138243518,220264.3259512238,0.007874110405331683,0.566148801694699,626,0.03194637369761377,0.5361702127659574
bear,748,0.09288913850380931,0.0303771748014654,0.20900505416479276,0.31207990035263283,0.49793633219134553,0.14534181923425699,0.11833676010684503,56.65764813299899,19.087870761384686,107934.02989735767,0.008496425792327634,0.5789325452517105,403,,0.5187165775401069
sideways,895,-0.0388267462030788,-0.01108818133563394,0.2610077729602117,-0.01484887815272245,-0.02417758433968431,-0.042482188211782616,0.13528117216421306,70.30235292037727,19.794628978698405,139436.73020856577,0.01119175460729545,0.5956268520580061,381,-0.14827544637660228,0.5083798882681564
