scenario,trade_date,cash,shares,positions_value,total_value,external_flow,net_contributions,daily_return,exposure
source-cost-calibration,2012-06-01,100000.0,0,0.0,100000.0,0.0,100000.0,0.0,0.0
source-cost-calibration,2012-06-04,100000.0,0,0.0,100000.0,0.0,100000.0,0.0,0.0
source-cost-calibration,2012-06-05,100000.0,0,0.0,100000.0,0.0,100000.0,0.0,0.0
source-cost-calibration,2012-06-06,100000.0,0,0.0,100000.0,0.0,100000.0,0.0,0.0
source-cost-calibration,2012-06-07,100000.0,0,0.0,100000.0,0.0,100000.0,0.0,0.0
source-cost-calibration,2012-06-08,105000.0,0,0.0,105000.0,5000.0,105000.0,0.0,0.0
source-cost-calibration,2012-06-11,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-06-12,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-06-13,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-06-14,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-06-15,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-06-18,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-06-19,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-06-20,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-06-21,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-06-25,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-06-26,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-06-27,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-06-28,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-06-29,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-07-02,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-07-03,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-07-04,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-07-05,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-07-06,105000.0,0,0.0,105000.0,0.0,105000.0,0.0,0.0
source-cost-calibration,2012-07-09,110000.0,0,0.0,110000.0,5000.0,110000.0,0.0,0.0
source-cost-calibration,2012-07-10,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-07-11,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-07-12,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-07-13,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-07-16,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-07-17,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-07-18,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-07-19,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-07-20,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-07-23,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-07-24,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-07-25,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-07-26,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-07-27,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-07-30,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-07-31,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-08-01,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-08-02,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-08-03,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-08-06,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-08-07,110000.0,0,0.0,110000.0,0.0,110000.0,0.0,0.0
source-cost-calibration,2012-08-08,115000.0,0,0.0,115000.0,5000.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-09,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-10,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-13,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-14,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-15,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-16,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-17,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-20,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-21,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-22,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-23,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-24,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-27,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-28,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-29,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-30,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-08-31,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-09-03,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-09-04,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-09-05,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-09-06,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-09-07,115000.0,0,0.0,115000.0,0.0,115000.0,0.0,0.0
source-cost-calibration,2012-09-10,120000.0,0,0.0,120000.0,5000.0,120000.0,0.0,0.0
source-cost-calibration,2012-09-11,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-09-12,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-09-13,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-09-14,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-09-17,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-09-18,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-09-19,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-09-20,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-09-21,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-09-24,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-09-25,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-09-26,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-09-27,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-09-28,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-10-08,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-10-09,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-10-10,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-10-11,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-10-12,120000.0,0,0.0,120000.0,0.0,120000.0,0.0,0.0
source-cost-calibration,2012-10-15,125000.0,0,0.0,125000.0,5000.0,125000.0,0.0,0.0
source-cost-calibration,2012-10-16,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-10-17,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-10-18,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-10-19,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-10-22,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-10-23,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-10-24,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-10-25,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-10-26,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-10-29,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-10-30,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-10-31,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-11-01,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-11-02,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-11-05,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-11-06,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-11-07,125000.0,0,0.0,125000.0,0.0,125000.0,0.0,0.0
source-cost-calibration,2012-11-08,130000.0,0,0.0,130000.0,5000.0,130000.0,0.0,0.0
source-cost-calibration,2012-11-09,130000.0,0,0.0,130000.0,0.0,130000.0,0.0,0.0
source-cost-calibration,2012-11-12,130000.0,0,0.0,130000.0,0.0,130000.0,0.0,0.0
source-cost-calibration,2012-11-13,130000.0,0,0.0,130000.0,0.0,130000.0,0.0,0.0
source-cost-calibration,2012-11-14,130000.0,0,0.0,130000.0,0.0,130000.0,0.0,0.0
source-cost-calibration,2012-11-15,130000.0,0,0.0,130000.0,0.0,130000.0,0.0,0.0
source-cost-calibration,2012-11-16,130000.0,0,0.0,130000.0,0.0,130000.0,0.0,0.0
source-cost-calibration,2012-11-19,130000.0,0,0.0,130000.0,0.0,130000.0,0.0,0.0
source-cost-calibration,2012-11-20,130000.0,0,0.0,130000.0,0.0,130000.0,0.0,0.0
