capital_rmb,adv_participation,annualized_return,maximum_drawdown,sharpe,average_exposure,unfilled_value,average_completion_delay,maximum_completion_delay,incomplete_rebalances,order_count,rejected_order_count,fallback_count
200000,0.005,0.46602246613431575,0.1907524478256043,1.4236132953381426,0.9898764425979704,0.0,0.6071428571428571,2,0,117,4,0
200000,0.01,0.46602246613431575,0.1907524478256043,1.4236132953381426,0.9898764425979704,0.0,0.6071428571428571,2,0,117,4,0
200000,0.05,0.46602246613431575,0.1907524478256043,1.4236132953381426,0.9898764425979704,0.0,0.6071428571428571,2,0,117,4,0
1000000,0.005,0.4541581010737399,0.19120303219722357,1.3941957012410364,0.9892204959705524,0.0,1.1071428571428572,3,0,154,7,0
1000000,0.01,0.4653494855679301,0.19122064675007377,1.4204113495130386,0.9907024766809075,0.0,1.0,2,0,143,5,0
1000000,0.05,0.4684317762743795,0.19122361467220195,1.427658510547964,0.9909187518791867,0.0,0.8928571428571429,2,0,135,4,0
2000000,0.005,0.4015277064227607,0.19277878788938496,1.2732123306814012,0.9862304518487536,0.0,1.75,5,0,203,10,0
2000000,0.01,0.45482030496636505,0.19124199704590517,1.3960377180880095,0.9893123448613549,0.0,1.2857142857142858,3,0,164,9,0
2000000,0.05,0.4685058519309566,0.19125352438833532,1.4277392387037426,0.9910220337086645,0.0,0.9642857142857143,2,0,140,4,0
10000000,0.005,0.4220755912137166,0.1934729298041893,1.378838758241079,0.90424786671681,55115956.22749563,3.642857142857143,5,14,360,23,0
10000000,0.01,0.41979482611439334,0.19333261148850844,1.3450974607070685,0.9581952362725372,19584464.321548887,3.1785714285714284,5,9,318,18,0
10000000,0.05,0.4535437859735436,0.19125969886888405,1.3930781088094004,0.989429098480723,0.0,1.3928571428571428,4,0,172,6,0
