segment,annualized_return,maximum_drawdown,sharpe,observation_count,cumulative_log_return_contribution
bull,0.456654546279724,0.19188706817222267,1.3051085217698908,398,0.5988187004386107
bear,0.22039532290368924,0.14153742299727912,1.2841190576601538,395,0.3146962494500162
sideways,0.3032904308683193,0.09399159361546205,1.8841460357445383,391,0.41429134964942405
liquidity-contraction,1.1047981197226715,0.003411990031275791,3.8610273199352623,4,0.011907512918644477
extreme-market-day,-0.6939550756345698,0.13533081257808566,-2.6063631219426027,22,-0.10419405710153479
