joinquant_symbol,local_symbol,display_name,etf_category,listing_date,last_trade_date,lifecycle_status,profile_quality_grade,daily_bar_count,first_bar_date,last_bar_date,median_daily_amount,p05_daily_amount,historical_ohlcv_amount_complete,is_qdii
518880.XSHG,SH518880,黄金ETF华安,commodity,2013-07-29,2026-07-24,active,B,3158,2013-07-29,2026-07-24,861557238.0,9197450.55,True,False
159985.XSHE,SZ159985,豆粕ETF华夏,commodity,2019-12-05,2026-07-24,active,B,1608,2019-12-05,2026-07-24,59559319.0,9303643.950000001,True,False
513100.XSHG,SH513100,纳指ETF国泰,cross_border,2013-07-31,2026-07-24,active,B,3155,2013-07-31,2026-07-24,69790401.0,1005850.2,True,True
510300.XSHG,SH510300,沪深300ETF华泰柏瑞,broad_equity,2012-05-28,2026-07-24,active,B,3441,2012-05-28,2026-07-24,1458792282.0,338736028.0,True,False
159915.XSHE,SZ159915,创业板ETF易方达,broad_equity,2011-12-09,2026-07-24,active,B,3549,2011-12-09,2026-07-24,729309353.0,39879448.800000004,True,False
159992.XSHE,SZ159992,创新药ETF银华,sector_equity,2020-04-10,2026-07-24,active,B,1525,2020-04-10,2026-07-24,229615571.0,105127361.4,True,False
515700.XSHG,SH515700,新能源车ETF平安,sector_equity,2020-02-10,2026-07-24,active,B,1568,2020-02-10,2026-07-24,145323644.5,42432243.75,True,False
510150.XSHG,SH510150,消费ETF招商,sector_equity,2011-02-25,2026-07-24,active,B,3731,2011-02-25,2026-07-24,2989797.0,17609.5,True,False
515790.XSHG,SH515790,光伏ETF华泰柏瑞,sector_equity,2020-12-18,2026-07-24,active,B,1356,2020-12-18,2026-07-24,564830744.0,213295855.0,True,False
515880.XSHG,SH515880,通信ETF国泰,broad_equity,2019-09-06,2026-07-24,active,B,1666,2019-09-06,2026-07-24,134659034.0,33107101.25,True,False
512720.XSHG,SH512720,计算机ETF国泰,sector_equity,2019-08-16,2026-07-24,active,B,1681,2019-08-16,2026-07-24,52863075.0,27893592.0,True,False
512660.XSHG,SH512660,军工ETF国泰,sector_equity,2016-08-08,2026-07-24,active,B,2418,2016-08-08,2026-07-24,276155386.0,11816507.4,True,False
159740.XSHE,SZ159740,恒生科技ETF大成,cross_border,2021-05-27,2026-07-24,active,B,1252,2021-05-27,2026-07-24,435526665.5,16983038.5,True,True
