test_year,train_start,train_end,train_observation_count,selected_variant,selected_train_sharpe,selected_test_annualized_return,selected_test_maximum_drawdown,selected_test_sharpe,test_observation_count,frozen_baseline_variant,frozen_baseline_test_annualized_return,frozen_baseline_test_maximum_drawdown,frozen_baseline_test_sharpe
2023,2021-09-01,2022-12-30,323,m34-n2-w0.3,1.090824217817096,0.22155390817367038,0.1562057415076632,1.121500393698392,242,m34-n3-w0.2,0.2613784128234602,0.06381059607850637,1.9290985780780996
2024,2021-09-01,2023-12-29,565,m34-n3-w0.3,1.2272725409167395,0.14248815299011475,0.10396277743455351,0.9798909038791229,242,m34-n3-w0.2,0.1472871085778582,0.10341210664964018,1.0017369059641794
2025,2021-09-01,2024-12-31,807,m34-n3-w0.3,1.1559626836740666,0.9039486788955684,0.12109728377423667,2.2216097845901963,243,m34-n3-w0.2,0.8926033953182202,0.12664328734123065,2.186099516968643
2026,2021-09-01,2025-12-31,1050,m34-n3-w0.3,1.4699885843068077,0.38606709575158193,0.1785414948132268,1.0833533111333091,134,m34-n3-w0.2,0.3724635105802636,0.19097486960705568,1.0356690666106567
