trial,seed,status,annualized_return,maximum_drawdown,sharpe,fallback_count,weight_build_count,fallback_share
1,20260825,ok,0.1822359879916391,0.24975217044206277,0.7903800430406246,2,59,0.03389830508474576
2,20260826,ok,0.21944985268569628,0.21391176660493616,0.9505750532316847,1,59,0.01694915254237288
3,20260827,ok,0.1908784757341302,0.3135016228437446,0.7857733330170346,0,59,0.0
4,20260828,ok,0.22419276959790801,0.19080696080452642,0.9886521328236283,1,59,0.01694915254237288
5,20260829,ok,0.17996438811838011,0.250003001968786,0.7792641009493776,2,59,0.03389830508474576
6,20260830,ok,0.19066309563320671,0.2729481083761116,0.8240417262527703,0,59,0.0
7,20260831,ok,0.10512751992864322,0.35860615859773826,0.516542239321847,0,59,0.0
8,20260832,ok,0.2506269221091624,0.2143549730382498,1.0258113001646791,0,59,0.0
9,20260833,ok,0.1782348433848493,0.20353923556058884,0.8020432466776752,0,59,0.0
10,20260834,ok,0.2569182451278451,0.2500449427140544,1.0230273804497647,0,58,0.0
11,20260835,ok,0.15317655979571132,0.3088907228123672,0.6926558347403854,0,59,0.0
12,20260836,ok,0.18133900079339926,0.2022744103423506,0.8094055244287847,2,59,0.03389830508474576
13,20260837,ok,0.18772467984723473,0.27290668912354876,0.7948902919932005,1,59,0.01694915254237288
14,20260838,ok,0.2205753712673746,0.2635549046020761,0.9181528212699237,0,59,0.0
15,20260839,ok,0.1592421498628338,0.21231043010641837,0.7354761817123175,2,58,0.034482758620689655
16,20260840,ok,0.2529021634657873,0.25140924663300335,1.0371370014901162,1,59,0.01694915254237288
17,20260841,ok,0.3017632729867845,0.19084149457883737,1.2151428770524066,2,59,0.03389830508474576
18,20260842,ok,0.18985046199978384,0.28911077389052364,0.8191926744741064,0,58,0.0
19,20260843,ok,0.19574736499265644,0.2514121972232979,0.8262390304733328,1,59,0.01694915254237288
20,20260844,ok,0.216941335710797,0.21930100670625907,0.9424933118156705,0,59,0.0
21,20260845,ok,0.1613374900668052,0.2755560991821594,0.7068100568882564,0,59,0.0
22,20260846,ok,0.14041148717465113,0.27492542691404676,0.656110914104445,0,59,0.0
23,20260847,ok,0.212544673474659,0.29047746099852123,0.8692996123045569,0,59,0.0
24,20260848,ok,0.18609916052249065,0.250609924174541,0.7981243103271387,1,59,0.01694915254237288
