model,dimension,regime,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,longest_underwater_trading_days
buy-hold,trend_regime,downtrend,185,-0.1055212232956676,-0.14092606639483696,0.2462532744880649,-0.41532244808443164,-0.7967313141707306,-0.5722809846399309,0.27568113510683684,180
buy-hold,trend_regime,transition,20,0.4757510431580352,133.76125471871248,0.18893030121210863,4.7619685320052705,15.899009545247315,707.9925975904794,1.1649288722113187,17
buy-hold,trend_regime,uptrend,446,0.4800286014800814,0.247976561486708,0.3009472551298157,0.7832087451480366,1.3327076326678304,0.8239867859228076,0.3699845170030443,118
buy-hold,volatility_regime,high-vol,243,0.9937919477853796,1.0454039530553163,0.3009472551298158,1.59110420943642,3.2590552274235907,3.4737115399320513,0.5377885642060144,58
buy-hold,volatility_regime,normal-vol,408,-0.020118834929390594,-0.012474582463019246,0.33023895371165846,0.09593394377444073,0.17122016974923243,-0.03777441250589468,0.28295763082566117,351
risk-core__trend-150-vol-20-target-0p15,trend_regime,downtrend,185,0.0,0.0,-0.0,,,,0.0,0
risk-core__trend-150-vol-20-target-0p15,trend_regime,transition,20,0.10974663233635185,2.71381555430296,0.02874798978375981,4.190092213396487,27.112384291537165,94.4001850117547,0.3254835748516358,18
risk-core__trend-150-vol-20-target-0p15,trend_regime,uptrend,446,0.2354165552854255,0.12687732238961713,0.12923817702525642,0.8268765471181387,1.365549629840611,0.9817325291180955,0.15994482513289524,120
risk-core__trend-150-vol-20-target-0p15,volatility_regime,high-vol,243,0.20909290136994585,0.21762549616105353,0.0860312340317565,1.3292404102913074,2.8726968410430085,2.5296103050285432,0.15731438772297754,51
risk-core__trend-150-vol-20-target-0p15,volatility_regime,normal-vol,408,0.13390737817349296,0.08071127510487242,0.14179817367145908,0.6386619518339788,0.9786916152716039,0.5691982697314377,0.13603919142217613,90
risk-core__trend-150-vol-20-target-0p2,trend_regime,downtrend,185,0.0,0.0,-0.0,,,,0.0,0
risk-core__trend-150-vol-20-target-0p2,trend_regime,transition,20,0.14550723643627994,4.538252435125763,0.0382096591327683,4.189530171729383,26.843155661624017,118.77238735254231,0.42982469094347847,18
risk-core__trend-150-vol-20-target-0p2,trend_regime,uptrend,446,0.298891899750767,0.1592344961037402,0.15320633639120074,0.8197835570786985,1.3823605431020414,1.0393466736072,0.2061090869476587,120
risk-core__trend-150-vol-20-target-0p2,volatility_regime,high-vol,243,0.2792554311646316,0.29097743062315873,0.11364948481150128,1.3246147758773488,2.852950009659068,2.5603057603452677,0.20899774581814612,51
risk-core__trend-150-vol-20-target-0p2,volatility_regime,normal-vol,408,0.16309068092710666,0.09780709247933683,0.16932840174677988,0.6279647420694111,0.9857087213814545,0.5776177621141271,0.17212899703480702,90
risk-core__trend-150-vol-60-target-0p15,trend_regime,downtrend,185,0.0,0.0,-0.0,,,,0.0,0
risk-core__trend-150-vol-60-target-0p15,trend_regime,transition,20,0.14144987344357562,4.296100746398044,0.045892607499878335,4.026293645776652,21.782789828601782,93.612042994276,0.43678650987519996,18
risk-core__trend-150-vol-60-target-0p15,trend_regime,uptrend,446,0.37175582220340764,0.1955410065661749,0.09871742477933931,1.193537006687184,2.224072786167907,1.980815514619258,0.16033536115061126,118
risk-core__trend-150-vol-60-target-0p15,volatility_regime,high-vol,243,0.2858252004640407,0.297853606876594,0.09306303145526462,1.4531320340101688,3.31874723282883,3.2005577533735527,0.19181225816356476,47
risk-core__trend-150-vol-60-target-0p15,volatility_regime,normal-vol,408,0.21773201293962208,0.12938176230978327,0.11253859623546403,1.0343110034161649,1.9043328105372284,1.149665684820507,0.12509724851188592,90
risk-core__trend-150-vol-60-target-0p2,trend_regime,downtrend,185,0.0,0.0,-0.0,,,,0.0,0
risk-core__trend-150-vol-60-target-0p2,trend_regime,transition,20,0.18675879165447995,7.649021309654293,0.06086246752315616,4.022114115333716,21.496318259173858,125.67714752518197,0.5753106612865144,18
risk-core__trend-150-vol-60-target-0p2,trend_regime,uptrend,446,0.4201117032358104,0.21917382904357963,0.1299112365207128,1.0742565349352997,1.9237338485230582,1.6871044792852463,0.20367468400740815,120
risk-core__trend-150-vol-60-target-0p2,volatility_regime,high-vol,243,0.38006140692823576,0.3966250706477479,0.12291372158882219,1.4383742877231656,3.2645929961402222,3.2268575511411175,0.25407040361863253,47
risk-core__trend-150-vol-60-target-0p2,volatility_regime,normal-vol,408,0.22119931800553294,0.1313668756957309,0.1475004840514842,0.8842949588464432,1.5162496712631819,0.8906199633207852,0.15260758646693157,90
risk-core__trend-200-vol-20-target-0p15,trend_regime,downtrend,185,0.0,0.0,-0.0,,,,0.0,0
risk-core__trend-200-vol-20-target-0p15,trend_regime,transition,20,0.12493991631514567,3.407877557064702,0.02874798978375981,4.717163408313078,30.28385632091277,118.54316015479682,0.3256576340723869,18
risk-core__trend-200-vol-20-target-0p15,trend_regime,uptrend,446,0.2629302983998285,0.1409894376762284,0.13715858499692257,0.8672657505089676,1.4633011855498799,1.027930097699621,0.16846513059722978,116
risk-core__trend-200-vol-20-target-0p15,volatility_regime,high-vol,243,0.2926586903809012,0.3050071840585111,0.0765255356242841,1.7555755907146173,3.8216407933677194,3.985691593927533,0.15875466606732222,45
risk-core__trend-200-vol-20-target-0p15,volatility_regime,normal-vol,408,0.09906869830823606,0.06008056222376834,0.1759990793470675,0.4724178190271622,0.7344608573177434,0.3413686165101489,0.14610121234762213,90
risk-core__trend-200-vol-20-target-0p2,trend_regime,downtrend,185,0.0,0.0,-0.0,,,,0.0,0
risk-core__trend-200-vol-20-target-0p2,trend_regime,transition,20,0.16827439172661696,6.0968430449779545,0.0382096591327683,4.774133521848,30.652014788960823,159.56287450231008,0.4295016785518343,15
risk-core__trend-200-vol-20-target-0p2,trend_regime,uptrend,446,0.33091382733092467,0.17529664956703894,0.17600987820987835,0.8593341089259174,1.4722842900003619,0.9959477919643298,0.21476905678602703,118
risk-core__trend-200-vol-20-target-0p2,volatility_regime,high-vol,243,0.3980037651180266,0.4154597975571097,0.10128680996569284,1.751411004472888,3.799562985440272,4.101815406150429,0.21092184979506226,45
risk-core__trend-200-vol-20-target-0p2,volatility_regime,normal-vol,408,0.11220912336692446,0.06789100155653416,0.20142772117092111,0.45131651873452183,0.7124482971113353,0.33704894818784836,0.18223464718304117,90
risk-core__trend-200-vol-60-target-0p15,trend_regime,downtrend,185,0.0,0.0,-0.0,,,,0.0,0
risk-core__trend-200-vol-60-target-0p15,trend_regime,transition,20,0.16019798880908187,5.502862399232625,0.045892607499878335,4.509274423242754,24.544221487604034,119.90738158094882,0.43576812162451767,18
risk-core__trend-200-vol-60-target-0p15,trend_regime,uptrend,446,0.4243455786182342,0.22122624595866025,0.13648121167682858,1.2848365917671856,2.4186441853398972,1.6209282086570123,0.16625072623596193,102
risk-core__trend-200-vol-60-target-0p15,volatility_regime,high-vol,243,0.38443273134809797,0.40121297311429815,0.08972506777206468,1.8412719252120413,4.226968617020427,4.471581722663387,0.19318824964591924,47
risk-core__trend-200-vol-60-target-0p15,volatility_regime,normal-vol,408,0.19364620487759465,0.11553191946361907,0.13160704464628903,0.8919966765688029,1.618196953404438,0.8778551313429008,0.1322483546332763,86
risk-core__trend-200-vol-60-target-0p2,trend_regime,downtrend,185,0.0,0.0,-0.0,,,,0.0,0
risk-core__trend-200-vol-60-target-0p2,trend_regime,transition,20,0.21290123183245702,10.381526339743274,0.06086246752315616,4.512996216229512,24.26804390904541,170.57353673334796,0.5740023484953153,18
risk-core__trend-200-vol-60-target-0p2,trend_regime,uptrend,446,0.4764399194376978,0.24626589157662204,0.17847488814706325,1.1465716698321067,2.0759040976932983,1.3798349680079307,0.21141688773305864,115
risk-core__trend-200-vol-60-target-0p2,volatility_regime,high-vol,243,0.5224307572900957,0.5463158207497365,0.11851858528892423,1.8283314471240126,4.171666089577951,4.609537140676541,0.25591299577680565,47
risk-core__trend-200-vol-60-target-0p2,volatility_regime,normal-vol,408,0.17626091593167414,0.10546852655613526,0.17188581482831866,0.6985325646429886,1.1845136006876464,0.613596454492061,0.16218761303697726,90
risk-core__trend-250-vol-20-target-0p15,trend_regime,downtrend,185,0.0,0.0,-0.0,,,,0.0,0
risk-core__trend-250-vol-20-target-0p15,trend_regime,transition,20,0.054276497540860946,0.9463772352517899,0.028484442005699995,4.528425559600412,13.649763547384714,33.224355775072276,0.14958315443228729,13
risk-core__trend-250-vol-20-target-0p15,trend_regime,uptrend,446,0.2584782130343659,0.13871504833370807,0.13813532300675024,0.8542491446120115,1.4427324306411438,1.0041967927850683,0.16875112942855183,116
risk-core__trend-250-vol-20-target-0p15,volatility_regime,high-vol,243,0.142845877581536,0.14851152452813077,0.07653662702446007,1.1253936916239962,2.0168814667085724,1.940398085228769,0.13060554600572818,45
risk-core__trend-250-vol-20-target-0p15,volatility_regime,normal-vol,408,0.16094744592950994,0.09655719116836536,0.17233793930421748,0.6941259303000172,1.0971818211196516,0.5602782043129745,0.1487414960443775,90
risk-core__trend-250-vol-20-target-0p2,trend_regime,downtrend,185,0.0,0.0,-0.0,,,,0.0,0
