generation,config,fold,test_start,test_end,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,longest_underwater_trading_days
G0,risk-core__trend-150-vol-20-target-0p15,1,2023-12-25,2024-03-29,63,0.0,0.0,-0.0,,,,0.0,0
G0,risk-core__trend-150-vol-20-target-0p15,2,2024-04-01,2024-07-04,63,0.0,0.0,-0.0,,,,0.0,0
G0,risk-core__trend-150-vol-20-target-0p15,3,2024-07-05,2024-10-10,63,0.10835589325365191,0.5090962477016687,0.014907875392736192,2.37147972424959,19.78410753970905,34.14948369837623,0.18010686313657912,2
G0,risk-core__trend-150-vol-20-target-0p15,4,2024-10-11,2025-01-08,63,-0.025331273214115435,-0.097539658312924,0.06509718009643573,-0.7337834522301855,-1.1240171381968544,-1.4983699473376204,0.12869699067787674,41
G0,risk-core__trend-150-vol-20-target-0p15,5,2025-01-09,2025-04-16,63,-0.0362306227096687,-0.1372350533061676,0.121851646305291,-0.6043633213714258,-0.7697276801294047,-1.1262470181349418,0.2080023133578641,34
G0,risk-core__trend-150-vol-20-target-0p15,6,2025-04-17,2025-07-18,63,-0.01936686581527125,-0.07524592577727873,0.02646976418615765,-1.6341123138414153,-1.8923971993661435,-2.8427123584511778,0.04718956941690027,51
G0,risk-core__trend-150-vol-20-target-0p15,7,2025-07-21,2025-10-23,63,0.247908968599708,1.4251110128555515,0.04422923338470219,4.268934529352113,10.874485107735564,32.22101998603626,0.21301158833415632,16
G0,risk-core__trend-150-vol-20-target-0p15,8,2025-10-24,2026-01-22,63,0.07323604813831786,0.3267252840366883,0.06282309430357202,1.9519855907078731,3.920200711555251,5.200719379690141,0.15061336618359264,46
G0,risk-core__trend-150-vol-20-target-0p15,9,2026-01-23,2026-04-30,63,-0.030209796934578814,-0.11547284554562709,0.08159350008703126,-0.9089470363862575,-1.3203307619570215,-1.4152211318604866,0.12629085926149808,60
G0,risk-core__trend-150-vol-20-target-0p15,10,2026-05-06,2026-08-03,63,0.04366281383369697,0.18642650009286132,0.07654397031542626,1.0385204039894231,1.9912539590816236,2.4355478207444112,0.17997089977358835,24
G0,risk-core__trend-150-vol-20-target-0p15,11,2026-08-04,2026-09-01,21,-0.009384451193384491,-0.10697897235346887,0.03219517363176161,-1.0668112063366144,-1.5552726614119632,-3.322826383142427,0.10142835592995109,11
G0,risk-core__trend-150-vol-20-target-0p2,1,2023-12-25,2024-03-29,63,0.0,0.0,-0.0,,,,0.0,0
G0,risk-core__trend-150-vol-20-target-0p2,2,2024-04-01,2024-07-04,63,0.0,0.0,-0.0,,,,0.0,0
G0,risk-core__trend-150-vol-20-target-0p2,3,2024-07-05,2024-10-10,63,0.14370199530737993,0.7110059315908388,0.01985740637525646,2.372144506978349,19.58595918486771,35.8055789439247,0.23772104762072974,2
G0,risk-core__trend-150-vol-20-target-0p2,4,2024-10-11,2025-01-08,63,-0.0315711965002623,-0.12042922297301073,0.083684328050051,-0.6766652260473582,-1.0546983743736587,-1.4390893226863564,0.16880416123585718,41
G0,risk-core__trend-150-vol-20-target-0p2,5,2025-01-09,2025-04-16,63,-0.03865307214460134,-0.14587669647961066,0.14828895654163765,-0.4800574886277388,-0.6375774169323946,-0.9837327059392338,0.25821108253761615,34
G0,risk-core__trend-150-vol-20-target-0p2,6,2025-04-17,2025-07-18,63,-0.018228611756718194,-0.07094487107507441,0.027676449018029903,-1.3069566051279775,-1.5509146280771293,-2.5633660961656304,0.05514373303035112,51
G0,risk-core__trend-150-vol-20-target-0p2,7,2025-07-21,2025-10-23,63,0.2963055841781834,1.8237716096411454,0.05894025074897058,3.991021778830539,10.216126404809179,30.9427188799837,0.2693364293053347,16
G0,risk-core__trend-150-vol-20-target-0p2,8,2025-10-24,2026-01-22,63,0.09739426268362905,0.45027627116040425,0.08311631709612277,1.9512008220921784,3.921045417456335,5.417423279711329,0.2007855170873232,46
G0,risk-core__trend-150-vol-20-target-0p2,9,2026-01-23,2026-04-30,63,-0.04095410594310467,-0.1540249371418334,0.10784248245429229,-0.9096836871477182,-1.3219075313463708,-1.428239907284358,0.168388059972599,60
G0,risk-core__trend-150-vol-20-target-0p2,10,2026-05-06,2026-08-03,63,0.05662614255336296,0.24648026354605457,0.10127254353745829,1.0361725411731229,1.9867467067468096,2.4338310753979178,0.2399908349266971,24
G0,risk-core__trend-150-vol-20-target-0p2,11,2026-08-04,2026-09-01,21,-0.012654990156639623,-0.14172349026104858,0.042757130039327684,-1.0658765391816285,-1.5544188586723178,-3.314616536018493,0.13514470727527594,11
G0,risk-core__trend-150-vol-60-target-0p15,1,2023-12-25,2024-03-29,63,0.0,0.0,-0.0,,,,0.0,0
G0,risk-core__trend-150-vol-60-target-0p15,2,2024-04-01,2024-07-04,63,0.0,0.0,-0.0,,,,0.0,0
G0,risk-core__trend-150-vol-60-target-0p15,3,2024-07-05,2024-10-10,63,0.13885537450847596,0.6821871172086709,0.02371870308398416,2.2966236370438673,15.899419247133567,28.761569078762637,0.23817699155156702,2
G0,risk-core__trend-150-vol-60-target-0p15,4,2024-10-11,2025-01-08,63,-0.0014899966557101463,-0.005946679309414504,0.03366421557755295,-0.017408695284789246,-0.032535587221257836,-0.17664689960516136,0.09399655104710711,41
G0,risk-core__trend-150-vol-60-target-0p15,5,2025-01-09,2025-04-16,63,-0.012298867099773347,-0.04829531413866528,0.09871742477933887,-0.20720660433713792,-0.3038404983572307,-0.4892278566485993,0.16985109749497165,34
G0,risk-core__trend-150-vol-60-target-0p15,6,2025-04-17,2025-07-18,63,-0.006198945920814269,-0.024566173449310003,0.014535017648993898,-0.7342948288833376,-0.9792795468805956,-1.6901371599648833,0.03313471399168665,51
