generation,config,archetype,objective,params,top_five_positive_day_share,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns,calmar,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,maximum_volume_participation,total_turnover,positive_fold_ratio,worst_fold_return,median_fold_return,slippage_10bp_annualized,slippage_20bp_annualized,next_close_annualized,second_next_open_annualized,candidate,pareto
G0,risk-core__trend-150-vol-20-target-0p15,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.15, ""trend_period"": 150, ""vol_period"": 20}",0.14891325513479242,0.3709993617605749,0.12991735286026596,0.12923817702525664,0.9184200277838873,0.14427650404124714,5.571237885593235,0.7210111761356104,1.0,121,"{'2023': 0.0, '2024': 0.10298616695675666, '2025': 0.1406193054875271, '2026': 0.08974897420351224}",1.0052552260534948,0.27898882386438945,0.6082949308755761,383,0,0.0005151418767897883,14.392364537782525,0.36363636363636365,-0.0362306227096687,0.0,0.12503318280011144,0.11893244358544952,0.11635789462766688,0.07408320271906099,False,False
G0,risk-core__trend-150-vol-20-target-0p2,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.2, ""trend_period"": 150, ""vol_period"": 20}",0.15234731782038813,0.4878900705129723,0.1662767490969348,0.15320633639120007,0.9165517348370457,0.18665698341814627,6.643732470477635,0.6405210392642555,1.0,121,"{'2023': 0.0, '2024': 0.13842229939087325, '2025': 0.16959654755107567, '2026': 0.11745842382914606}",1.0853124812825004,0.3594789607357445,0.6082949308755761,374,0,0.0005274224148973392,17.16297554873389,0.36363636363636365,-0.04095410594310467,0.0,0.16042900456460574,0.15314647054465347,0.14197964468083413,0.08751250018641032,False,False
G0,risk-core__trend-150-vol-60-target-0p15,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.15, ""trend_period"": 150, ""vol_period"": 60}",0.18072561544281004,0.5657905096495721,0.18954471068466083,0.0987174247793392,1.2072275645613784,0.15335430138423153,3.797416528576597,0.7365375214143904,1.0,119,"{'2023': 0.0, '2024': 0.14591958642167202, '2025': 0.25336390280650556, '2026': 0.09019034404808468}",1.9200734936952193,0.26346247858560945,0.6082949308755761,378,0,0.0002662207087141257,9.809992698822876,0.36363636363636365,-0.027272931912842524,0.0,0.1861748740098108,0.18201597027365568,0.16010558085304427,0.1113784764143908,False,False
G0,risk-core__trend-150-vol-60-target-0p2,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.2, ""trend_period"": 150, ""vol_period"": 60}",0.1771758518034522,0.6853300489465177,0.22390869006978598,0.1299112365207129,1.1238557203377002,0.19663433673042674,4.697235791152386,0.6601178605321192,1.0,121,"{'2023': 0.0, '2024': 0.19275174838859943, '2025': 0.26441607462970595, '2026': 0.11749321241295885}",1.7235513729721619,0.3398821394678809,0.6082949308755761,377,0,0.000366600759332368,12.134525793810331,0.36363636363636365,-0.037158337837514654,0.0,0.21972617117957172,0.21452643296119134,0.184708070534634,0.12009211352488225,False,False
G0,risk-core__trend-200-vol-20-target-0p15,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 20}",0.12995707859058034,0.42072070419376195,0.14560692307886325,0.14097849706219323,0.9756728822144536,0.1509628228061955,5.328517264752692,0.6396063584027702,1.0,119,"{'2023': 0.0, '2024': 0.10298616695675666, '2025': 0.1868431813109268, '2026': 0.0852887587617781}",1.0328307232175142,0.36039364159722986,0.706605222734255,409,0,0.0004436485827075136,13.765336267277789,0.45454545454545453,-0.051135781146217085,0.0,0.14082758045925692,0.13486968992865545,0.13617181776156162,0.09803923037845252,False,False
G0,risk-core__trend-200-vol-20-target-0p2,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.2, ""trend_period"": 200, ""vol_period"": 20}",0.13521053783962148,0.5548725420655807,0.18632705938380467,0.15760143428298334,0.9791047630458767,0.1934790469655982,6.212414189736799,0.554870372866697,1.0,119,"{'2023': 0.0, '2024': 0.13842229939087325, '2025': 0.2293261910039539, '2026': 0.11102611107902138}",1.1822675360253552,0.44512962713330295,0.706605222734255,388,0,0.0004587623270083725,16.048736656820065,0.5454545454545454,-0.06866030587494631,0.0014679924104357145,0.18077861205832546,0.17382685245289897,0.1676306745906373,0.11880782413821045,False,False
G0,risk-core__trend-200-vol-60-target-0p15,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}",0.1613890268307118,0.652522875681983,0.21463050995025457,0.12134665954113966,1.309996146307728,0.15779387450933097,3.588257822963198,0.6765339112797473,1.0,103,"{'2023': 0.0, '2024': 0.14591958642167202, '2025': 0.3214801382712287, '2026': 0.09127120905715036}",1.7687385113183876,0.3234660887202527,0.706605222734255,430,0,0.0003018374921100924,9.26966604265493,0.6363636363636364,-0.04356379851397629,0.01588422105232956,0.21136210206332073,0.20726630037572424,0.18937098875454828,0.14314640168221637,True,False
G0,risk-core__trend-200-vol-60-target-0p2,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.2, ""trend_period"": 200, ""vol_period"": 60}",0.1585372087513401,0.7907757970125986,0.2530010602812782,0.15916618478206013,1.213640064932485,0.2024123262113272,4.365423547581232,0.5858414173095132,1.0,116,"{'2023': 0.0, '2024': 0.19275174838859943, '2025': 0.3421169105060924, '2026': 0.11866694581714476}",1.5895402696728733,0.4141585826904868,0.706605222734255,427,0,0.00041978647238235476,11.27734416458485,0.5454545454545454,-0.05884873938952773,0.021090456280984382,0.24891530460205424,0.2438402188029225,0.21817947797300175,0.15716734619261064,False,True
G0,risk-core__trend-250-vol-20-target-0p15,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.15, ""trend_period"": 250, ""vol_period"": 20}",0.10046858925718599,0.3267840026693549,0.115669528207472,0.13717805813287298,0.8411841629218091,0.14214633339493302,3.3335035711403784,0.6352398039513512,1.0,117,"{'2023': 0.0, '2024': -0.019426132412786234, '2025': 0.20198453716159692, '2026': 0.12569576098338753}",0.843207213907581,0.3647601960486488,0.7127496159754224,409,1,0.00013349110466899058,8.611550892112644,0.36363636363636365,-0.02534463257002595,0.0,0.11271902733157746,0.1090600698463946,0.12808856186818351,0.12020257714882909,False,False
G0,risk-core__trend-250-vol-20-target-0p2,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.2, ""trend_period"": 250, ""vol_period"": 20}",0.10525873542287464,0.41717794686651355,0.14450024814307993,0.15245157544971666,0.8344604093903019,0.1814497762628922,3.7756781598532605,0.5496151167762606,1.0,119,"{'2023': 0.0, '2024': -0.024036321824013274, '2025': 0.24483066793900088, '2026': 0.16648847225541719}",0.9478435871641134,0.4503848832237394,0.7127496159754224,386,1,0.00016261233212496544,9.75383524628759,0.45454545454545453,-0.031587637686082526,0.0,0.14114348205826155,0.13701882277193556,0.15428659287904622,0.14618798514201536,False,False
