generation,config,block_length,repetitions,annualized_difference_ci_low,annualized_difference_ci_high,probability_return_above_benchmark,probability_drawdown_below_benchmark,probability_sharpe_above_benchmark
G2,keltner-overlay__multiplier-2-floor-0p25,60,1000,-0.6230178309135475,0.21539754098076494,0.341,1.0,0.979
G2,keltner-overlay__multiplier-2-floor-0p5,20,1000,-0.7499783599196054,0.24840119937150285,0.343,1.0,0.959
G2,keltner-overlay__multiplier-2-floor-0p5,60,1000,-0.5870819420753282,0.20770914975407734,0.282,1.0,0.977
G2,keltner-overlay__multiplier-2p5-floor-0p25,20,1000,-0.72122908824581,0.23157746442034544,0.329,1.0,0.908
G2,keltner-overlay__multiplier-2p5-floor-0p25,60,1000,-0.7174203792663056,0.20057422898158805,0.276,1.0,0.951
G2,keltner-overlay__multiplier-2p5-floor-0p5,20,1000,-0.7726056751916218,0.24366696617897676,0.352,1.0,0.94
G2,keltner-overlay__multiplier-2p5-floor-0p5,60,1000,-0.6730516557146138,0.20988995739679592,0.288,1.0,0.967
G2,fixed-ensemble__core-macd-keltner,20,1000,-0.7209590635489856,0.2529110790439814,0.379,1.0,0.984
G2,fixed-ensemble__core-macd-keltner,60,1000,-0.6521138029976189,0.20228318661764944,0.352,1.0,0.995
G3,production-core__buffer-0p02-threshold-0p1,20,1000,-0.8686697532193381,0.22264101431534652,0.287,1.0,0.71
G3,production-core__buffer-0p02-threshold-0p1,60,1000,-0.7264978942202898,0.18921473224043375,0.255,1.0,0.731
G3,production-core__buffer-0p02-smooth-5-threshold-0p05,20,1000,-0.8819952268074963,0.22796582525668801,0.308,1.0,0.738
G3,production-core__buffer-0p02-smooth-5-threshold-0p05,60,1000,-0.7511901186849979,0.1991279546179829,0.274,1.0,0.698
G3,production-core__buffer-0p02-schedule-5-threshold-0p1,20,1000,-0.8881028777504868,0.2175965795022311,0.262,1.0,0.639
G3,production-core__buffer-0p02-schedule-5-threshold-0p1,60,1000,-0.7363554529910289,0.18750225973708998,0.264,1.0,0.649
G3,risk-guard__volatility-shock,20,1000,-0.7161877477561982,0.24118674528599074,0.368,1.0,0.939
G3,risk-guard__volatility-shock,60,1000,-0.5855135122024939,0.21445074876345036,0.345,1.0,0.942
G3,risk-guard__drawdown-63d-0p12,20,1000,-0.674118249591824,0.22302594845242216,0.33,1.0,0.872
G3,risk-guard__drawdown-63d-0p12,60,1000,-0.5740228095614679,0.18849880757546608,0.269,1.0,0.842
G3,production-ensemble__threshold-0p1,20,1000,-0.7293108171424885,0.2471794938116225,0.342,1.0,0.95
G3,production-ensemble__threshold-0p1,60,1000,-0.5975315535227917,0.19829999514538557,0.323,1.0,0.992
