model,execution_date,target_weight,execution,delay,config
risk-core__trend-150-vol-20-target-0p15,2024-12-16,0.5237266148154208,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-12-17,0.528253026785374,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-12-18,0.5773370081494364,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-12-19,0.5659641654743299,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-12-20,0.5623980420196841,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-12-23,0.6440554867158692,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-12-24,0.6476461368489386,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-12-25,0.6396118926487305,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-12-26,0.7481948831505177,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-12-27,0.7473606012704799,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-12-30,0.8168587387258366,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-12-31,0.8239285184253338,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-02,0.7196570142809549,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-03,0.6243017915408559,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-06,0.6134456144336707,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-07,0.6329162488551153,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-08,0.5730607612114615,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-09,0.579093621392456,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-10,0.5792637968629077,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-13,0.5781673388697219,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-14,0.596311464842292,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-15,0.5521266476253838,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-16,0.5527507707383644,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-17,0.5421188589053734,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-20,0.5450122015037202,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-21,0.5659020371129492,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-22,0.5665755024539229,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-23,0.5836944270845338,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-24,0.5831503859259299,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-01-27,0.5838350282998047,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-05,0.5687854278710539,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-06,0.5263266110365259,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-07,0.5269311873893445,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-10,0.5945081429916478,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-11,0.6101065368046156,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-12,0.5952196611618703,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-13,0.6253953318412034,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-14,0.5796367879202371,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-17,0.580879446758185,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-18,0.5856147232200419,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-19,0.5436292052054202,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-20,0.5623394721449761,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-21,0.5646827085380965,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-24,0.46733732155285845,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-25,0.4671268056935649,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-26,0.4667804999089483,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-27,0.4613352902068033,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-02-28,0.4618848760607093,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-03,0.40627924103162916,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-04,0.40062889861150086,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-05,0.40966272196532955,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-06,0.41967887950584165,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-07,0.4138128946085554,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-10,0.4083815345291627,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-11,0.4106946654029926,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-12,0.41494917315009744,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-13,0.4172564114030185,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-14,0.4202550522675671,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-17,0.4156141599429792,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-18,0.4168446682864102,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-19,0.43428026533526354,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-20,0.43932527302468005,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-21,0.435738440670123,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-24,0.5482738150254792,open,1,risk-core__trend-150-vol-20-target-0p15
