generation,config,archetype,objective,params
G0,risk-core__trend-150-vol-20-target-0p15,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.15, ""trend_period"": 150, ""vol_period"": 20}"
G0,risk-core__trend-150-vol-20-target-0p2,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.2, ""trend_period"": 150, ""vol_period"": 20}"
G0,risk-core__trend-150-vol-60-target-0p15,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.15, ""trend_period"": 150, ""vol_period"": 60}"
G0,risk-core__trend-150-vol-60-target-0p2,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.2, ""trend_period"": 150, ""vol_period"": 60}"
G0,risk-core__trend-200-vol-20-target-0p15,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 20}"
G0,risk-core__trend-200-vol-20-target-0p2,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.2, ""trend_period"": 200, ""vol_period"": 20}"
G0,risk-core__trend-200-vol-60-target-0p15,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}"
G0,risk-core__trend-200-vol-60-target-0p2,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.2, ""trend_period"": 200, ""vol_period"": 60}"
G0,risk-core__trend-250-vol-20-target-0p15,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.15, ""trend_period"": 250, ""vol_period"": 20}"
G0,risk-core__trend-250-vol-20-target-0p2,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.2, ""trend_period"": 250, ""vol_period"": 20}"
G0,risk-core__trend-250-vol-60-target-0p15,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.15, ""trend_period"": 250, ""vol_period"": 60}"
G0,risk-core__trend-250-vol-60-target-0p2,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.2, ""trend_period"": 250, ""vol_period"": 60}"
G1,risk-friction__buffer-0p01,risk-friction,risk,"{""buffer"": 0.01, ""kind"": ""risk-core"", ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}"
G1,risk-friction__buffer-0p02,risk-friction,risk,"{""buffer"": 0.02, ""kind"": ""risk-core"", ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}"
G1,risk-friction__threshold-0p05,risk-friction,risk,"{""kind"": ""risk-core"", ""rebalance_threshold"": 0.05, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}"
G1,risk-friction__threshold-0p1,risk-friction,risk,"{""kind"": ""risk-core"", ""rebalance_threshold"": 0.1, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}"
G1,risk-friction__threshold-0p15,risk-friction,risk,"{""kind"": ""risk-core"", ""rebalance_threshold"": 0.15, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}"
G1,risk-friction__schedule-5,risk-friction,risk,"{""kind"": ""risk-core"", ""schedule_sessions"": 5, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}"
G1,risk-friction__smooth-3,risk-friction,risk,"{""kind"": ""risk-core"", ""smooth_span"": 3, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}"
G1,risk-friction__smooth-5,risk-friction,risk,"{""kind"": ""risk-core"", ""smooth_span"": 5, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}"
G1,risk-friction__smooth-10,risk-friction,risk,"{""kind"": ""risk-core"", ""smooth_span"": 10, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}"
G1,risk-friction__slope-20,risk-friction,risk,"{""kind"": ""risk-core"", ""slope_sessions"": 20, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}"
G2,macd-overlay__floor-0,macd-overlay,return,"{""floor"": 0.0, ""kind"": ""macd-overlay""}"
G2,macd-overlay__floor-0p25,macd-overlay,return,"{""floor"": 0.25, ""kind"": ""macd-overlay""}"
G2,macd-overlay__floor-0p5,macd-overlay,return,"{""floor"": 0.5, ""kind"": ""macd-overlay""}"
G2,keltner-overlay__multiplier-1p5-floor-0p25,keltner-overlay,return,"{""floor"": 0.25, ""kind"": ""keltner-overlay"", ""multiplier"": 1.5}"
G2,keltner-overlay__multiplier-1p5-floor-0p5,keltner-overlay,return,"{""floor"": 0.5, ""kind"": ""keltner-overlay"", ""multiplier"": 1.5}"
G2,keltner-overlay__multiplier-2-floor-0p25,keltner-overlay,return,"{""floor"": 0.25, ""kind"": ""keltner-overlay"", ""multiplier"": 2.0}"
G2,keltner-overlay__multiplier-2-floor-0p5,keltner-overlay,return,"{""floor"": 0.5, ""kind"": ""keltner-overlay"", ""multiplier"": 2.0}"
G2,keltner-overlay__multiplier-2p5-floor-0p25,keltner-overlay,return,"{""floor"": 0.25, ""kind"": ""keltner-overlay"", ""multiplier"": 2.5}"
G2,keltner-overlay__multiplier-2p5-floor-0p5,keltner-overlay,return,"{""floor"": 0.5, ""kind"": ""keltner-overlay"", ""multiplier"": 2.5}"
G2,fixed-ensemble__core-macd-keltner,fixed-ensemble,balanced,"{""kind"": ""fixed-ensemble""}"
G3,production-core__buffer-0p02-threshold-0p1,production-core,risk,"{""buffer"": 0.02, ""kind"": ""risk-core"", ""rebalance_threshold"": 0.1, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}"
G3,production-core__buffer-0p02-smooth-5-threshold-0p05,production-core,risk,"{""buffer"": 0.02, ""kind"": ""risk-core"", ""rebalance_threshold"": 0.05, ""smooth_span"": 5, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}"
G3,production-core__buffer-0p02-schedule-5-threshold-0p1,production-core,risk,"{""buffer"": 0.02, ""kind"": ""risk-core"", ""rebalance_threshold"": 0.1, ""schedule_sessions"": 5, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}"
G3,risk-guard__volatility-shock,risk-guard,risk,"{""kind"": ""volatility-shock""}"
G3,risk-guard__drawdown-63d-0p12,risk-guard,risk,"{""kind"": ""drawdown-guard""}"
G3,production-ensemble__threshold-0p1,production-ensemble,balanced,"{""kind"": ""fixed-ensemble"", ""rebalance_threshold"": 0.1}"
