generation,config,trial_count,observations,observed_annualized_sharpe,expected_maximum_annualized_sharpe_under_null,skewness,pearson_kurtosis,deflated_sharpe_probability
G0,risk-core__trend-150-vol-20-target-0p15,38,651,0.9184200277838873,1.7049404739986647,1.0286722206617047,25.33021376985235,0.09875751039309338
G0,risk-core__trend-150-vol-20-target-0p2,38,651,0.9165517348370458,1.7049404739986647,1.4116550595352335,24.091591434182753,0.09551429588772647
G0,risk-core__trend-150-vol-60-target-0p15,38,651,1.2072275645613784,1.7049404739986647,3.2765979228641178,35.247196860020345,0.18579226599854182
G0,risk-core__trend-150-vol-60-target-0p2,38,651,1.1238557203377004,1.7049404739986647,2.974487586147105,33.01858555904798,0.1527628948775142
G0,risk-core__trend-200-vol-20-target-0p15,38,651,0.9756728822144538,1.7049404739986647,0.864943542983727,21.326800420338575,0.11670029235980095
G0,risk-core__trend-200-vol-20-target-0p2,38,651,0.9791047630458769,1.7049404739986647,1.225792572195818,21.007891057043157,0.11503746846660529
G0,risk-core__trend-200-vol-60-target-0p15,38,651,1.309996146307728,1.7049404739986647,2.9684065335632552,31.45789991153554,0.24005407200549045
G0,risk-core__trend-200-vol-60-target-0p2,38,651,1.213640064932485,1.7049404739986647,2.6861611937627803,29.448403679580835,0.19410377721259958
G0,risk-core__trend-250-vol-20-target-0p15,38,651,0.8411841629218092,1.7049404739986647,-0.05602190822816889,17.545548122078785,0.08422187510737034
G0,risk-core__trend-250-vol-20-target-0p2,38,651,0.8344604093903019,1.7049404739986647,0.28220356594737994,16.310209572044357,0.08060524955367238
G0,risk-core__trend-250-vol-60-target-0p15,38,651,1.1477618273726917,1.7049404739986647,1.4956744730645741,19.25883406835278,0.17486227972810797
G0,risk-core__trend-250-vol-60-target-0p2,38,651,1.039937352130532,1.7049404739986647,0.9249959380737829,13.60874276302281,0.13695983483400598
G1,risk-friction__buffer-0p01,38,651,1.0551957740506148,1.7049404739986647,1.5068811613509223,20.055929897948616,0.13842611826148543
G1,risk-friction__buffer-0p02,38,651,1.1059517459429,1.7049404739986647,1.5074316087371977,20.063325760252983,0.1576928539641883
G1,risk-friction__threshold-0p05,38,651,1.2923529003810685,1.7049404739986647,2.7418858054883413,28.790250519482324,0.23254339954136427
G1,risk-friction__threshold-0p1,38,651,1.1872446625577426,1.7049404739986647,2.5890652840609607,26.62859035862636,0.18247104717590396
G1,risk-friction__threshold-0p15,38,651,1.1696025065144424,1.7049404739986647,2.28190912603615,24.260007440215475,0.1774127847780999
G1,risk-friction__schedule-5,38,651,1.114475890386342,1.7049404739986647,2.8188252594412075,31.19906994125421,0.15030800385745086
G1,risk-friction__smooth-3,38,651,1.2375375139294922,1.7049404739986647,1.73298145297872,20.027202505864317,0.2135951711398258
G1,risk-friction__smooth-5,38,651,1.2112925686053135,1.7049404739986647,1.6705041362438295,20.666446716998802,0.20181210172390612
G1,risk-friction__smooth-10,38,651,1.1834236492870458,1.7049404739986647,1.7272452783715617,22.004126056863534,0.1887050495711861
G1,risk-friction__slope-20,38,651,1.103397121032929,1.7049404739986647,1.547424612786899,21.07650883074996,0.15647582573098134
G2,macd-overlay__floor-0,38,651,1.685886389191347,1.7049404739986647,5.1486117845145944,56.00884030173089,0.48435132880427106
G2,macd-overlay__floor-0p25,38,651,1.6276800583505155,1.7049404739986647,4.964637190637307,53.488858490386974,0.4378330758481108
G2,macd-overlay__floor-0p5,38,651,1.5390584995964096,1.7049404739986647,4.452131519094534,47.031553816304466,0.37300641653210476
G2,keltner-overlay__multiplier-1p5-floor-0p25,38,651,1.6035695661994598,1.7049404739986647,5.001327183818994,54.06930053380971,0.418751583446744
G2,keltner-overlay__multiplier-1p5-floor-0p5,38,651,1.5236605553364209,1.7049404739986647,4.479977370853595,47.47147452472992,0.3617312335799035
G2,keltner-overlay__multiplier-2-floor-0p25,38,651,1.4537361187781332,1.7049404739986647,5.300776799936723,59.216602660093116,0.30655492611779833
G2,keltner-overlay__multiplier-2-floor-0p5,38,651,1.4302874595665287,1.7049404739986647,4.6637490921138625,50.71702190115259,0.29644850442308357
G2,keltner-overlay__multiplier-2p5-floor-0p25,38,651,1.3765136502890694,1.7049404739986647,5.449313097243966,61.745019565885585,0.2551154840215156
G2,keltner-overlay__multiplier-2p5-floor-0p5,38,651,1.3827010950055505,1.7049404739986647,4.75494331646246,52.29385527668699,0.2656049588724005
G2,fixed-ensemble__core-macd-keltner,38,651,1.4948773947769711,1.7049404739986647,4.617578426698272,49.857519046189694,0.3405012530252245
G3,production-core__buffer-0p02-threshold-0p1,38,651,1.0904003237236972,1.7049404739986647,1.3937193868114617,18.92799187967877,0.15245063073731907
G3,production-core__buffer-0p02-smooth-5-threshold-0p05,38,651,1.1118579048251123,1.7049404739986647,1.7584782277882394,22.34748920083095,0.15808484925677851
G3,production-core__buffer-0p02-schedule-5-threshold-0p1,38,651,1.0203635062406387,1.7049404739986647,1.594642922865399,20.841826607764972,0.12558440248713004
G3,risk-guard__volatility-shock,38,651,1.4096236247476706,1.7049404739986647,3.2130340063632086,34.870539562065915,0.2957969879094674
G3,risk-guard__drawdown-63d-0p12,38,651,1.2533579774813361,1.7049404739986647,3.4455156911909053,38.11168437281079,0.2066331078832585
G3,production-ensemble__threshold-0p1,38,651,1.3945650283702904,1.7049404739986647,4.463654501575253,47.15120184236922,0.2752170440972044
