generation,config,archetype,objective,params,top_five_positive_day_share,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns,calmar,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,maximum_volume_participation,total_turnover,positive_fold_ratio,worst_fold_return,median_fold_return,slippage_10bp_annualized,slippage_20bp_annualized,next_close_annualized,second_next_open_annualized,candidate
G0,risk-core__trend-200-vol-60-target-0p2,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.2, ""trend_period"": 200, ""vol_period"": 60}",0.1585372087513401,0.7907757970125986,0.2530010602812782,0.15916618478206013,1.213640064932485,0.2024123262113272,4.365423547581232,0.5858414173095132,1.0,116,"{'2023': 0.0, '2024': 0.19275174838859943, '2025': 0.3421169105060924, '2026': 0.11866694581714476}",1.5895402696728733,0.4141585826904868,0.706605222734255,427,0,0.00041978647238235476,11.27734416458485,0.5454545454545454,-0.05884873938952773,0.021090456280984382,0.24891530460205424,0.2438402188029225,0.21817947797300175,0.15716734619261064,False
G0,risk-core__trend-250-vol-60-target-0p2,risk-core,risk,"{""kind"": ""risk-core"", ""target_vol"": 0.2, ""trend_period"": 250, ""vol_period"": 60}",0.11326391687097834,0.5578921066794715,0.18721834162434936,0.149516681143385,1.039937352130532,0.1806340031748357,1.7962952234865937,0.5811422511614898,1.0,116,"{'2023': 0.0, '2024': -0.0234549248352367, '2025': 0.3559719230072518, '2026': 0.17650664835865237}",1.2521568843867583,0.4188577488385102,0.7127496159754224,424,1,0.00011235312878588437,4.640429327340367,0.5454545454545454,-0.030998478665815843,0.008093908349339207,0.18560102413725033,0.18359581781643697,0.19319583057904843,0.18534757015745296,False
G1,risk-friction__threshold-0p05,risk-friction,risk,"{""kind"": ""risk-core"", ""rebalance_threshold"": 0.05, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}",0.15750696542258055,0.6606394397148099,0.2169363863228726,0.11978153345997611,1.2923529003810685,0.16192732529335033,2.814673923944099,0.6676450081883216,1.0,114,"{'2023': 0.0, '2024': 0.1437475964284758, '2025': 0.30867356931052736, '2026': 0.10946555233111233}",1.8111004263888464,0.3323549918116783,0.706605222734255,31,0,0.0002984691524024141,7.271240970188923,0.6363636363636364,-0.04077954323143962,0.013712816988583176,0.21434332414148094,0.21113080579197807,0.19315802620719613,0.14670631825954472,True
G1,risk-friction__threshold-0p1,risk-friction,risk,"{""kind"": ""risk-core"", ""rebalance_threshold"": 0.1, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}",0.1569065849000085,0.605646305542022,0.20117533792602038,0.12400380185003967,1.1872446625577426,0.16580677174256586,2.6858912866183595,0.6641506948495194,1.0,114,"{'2023': 0.0, '2024': 0.13776730631075962, '2025': 0.30695062957163777, '2026': 0.07978490497343405}",1.622332016636924,0.33584930515048056,0.706605222734255,20,0,0.0002954090552728354,6.938552490430762,0.6363636363636364,-0.045127144970934174,0.013716343200756986,0.19877557203971485,0.19575941470995217,0.17407457580855112,0.12975959476306964,True
G1,risk-friction__threshold-0p15,risk-friction,risk,"{""kind"": ""risk-core"", ""rebalance_threshold"": 0.15, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}",0.14795822214913737,0.6130661840611085,0.20332098818689892,0.12717092185594425,1.1696025065144422,0.17051973215188745,2.5081980005191022,0.6554961535855907,1.0,103,"{'2023': 0.0, '2024': 0.13776730631075962, '2025': 0.2944070473818299, '2026': 0.09528683565879836}",1.598800930429799,0.3445038464144093,0.706605222734255,16,0,0.00028990557687441827,6.4795115013410145,0.6363636363636364,-0.04497573957745715,0.01648900596169689,0.20107202233512944,0.1982568895972212,0.1783659045259225,0.13364753520385575,True
G1,risk-friction__schedule-5,risk-friction,risk,"{""kind"": ""risk-core"", ""schedule_sessions"": 5, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}",0.16673954318468812,0.5436814437004498,0.18301450911630868,0.11621900278735264,1.114475890386342,0.16245836038739186,2.60271558118586,0.6815887574909288,1.0,115,"{'2023': 0.0, '2024': 0.0812929536460738, '2025': 0.3307198194429597, '2026': 0.07282203622370731}",1.5747382504320107,0.3184112425090711,0.6912442396313364,90,0,0.0002832823931789309,6.723681918063472,0.5454545454545454,-0.05501017706386513,0.017290741923064123,0.18063086911223802,0.1776834968438814,0.16884193819569493,0.15945707239634932,False
G1,risk-friction__smooth-3,risk-friction,risk,"{""kind"": ""risk-core"", ""smooth_span"": 3, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}",0.12987975015955058,0.5495052834270722,0.1847401879486399,0.11636026328099958,1.237537513929492,0.1454789033398862,2.3351544689816714,0.6769340389013409,1.0,103,"{'2023': 0.0, '2024': 0.06251631957593973, '2025': 0.3300155995009788, '2026': 0.09648000738444584}",1.5876570122784008,0.3230659610986592,0.7158218125960062,459,0,0.00013745036483642494,6.032482378202651,0.7272727272727273,-0.03645447148683978,0.01595566698249362,0.18266405347559034,0.1800363342807969,0.17341340421771823,0.15243196846618656,True
G1,risk-friction__smooth-5,risk-friction,risk,"{""kind"": ""risk-core"", ""smooth_span"": 5, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}",0.12423330849841678,0.5277206301945934,0.1782645645203056,0.11438404466554053,1.2112925686053135,0.14392409790505906,1.9781383680712827,0.6773136853231222,1.0,103,"{'2023': 0.0, '2024': 0.03952510784139962, '2025': 0.33743572201541716, '2026': 0.09884400016031569}",1.5584740427876282,0.32268631467687775,0.7158218125960062,457,1,8.912204972689375e-05,5.110190784184147,0.7272727272727273,-0.032895100163034985,0.016097303344043246,0.17647891028980078,0.17429176602416985,0.1722187641808779,0.15829721295505728,True
G1,risk-friction__smooth-10,risk-friction,risk,"{""kind"": ""risk-core"", ""smooth_span"": 10, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}",0.1263240808718721,0.5151724686500081,0.1745088277069775,0.11289191957459188,1.1834236492870458,0.14470518964452128,1.6397082712813436,0.6782598669429677,1.0,103,"{'2023': 0.0, '2024': 0.024263207343377946, '2025': 0.3434976666368448, '2026': 0.10106658072959318}",1.5458044150952102,0.3217401330570323,0.7158218125960062,461,1,4.676789903127141e-05,4.235913034143471,0.7272727272727273,-0.027873505202485216,0.014026974687977756,0.1730550621773892,0.17123440585148075,0.17188274131541004,0.16453849705554502,True
G2,macd-overlay__floor-0,macd-overlay,return,"{""floor"": 0.0, ""kind"": ""macd-overlay""}",0.2417862859596824,0.7563652185110039,0.24362547826539793,0.07514900980920425,1.6858863891913467,0.13459753136953634,6.091733720585987,0.8124842281132618,1.0,99,"{'2023': 0.0, '2024': 0.12817839309290235, '2025': 0.30741702650251646, '2026': 0.1907563709217468}",3.241898714087364,0.1875157718867381,0.3671274961597542,228,0,0.00048047518430462805,15.736978778180466,0.5454545454545454,-0.02569093880743356,0.06204464825068867,0.23797312549255611,0.23092802246821997,0.19545780110781186,0.14755353902391954,False
