generation,config,archetype,objective,params,top_five_positive_day_share,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns,calmar,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,maximum_volume_participation,total_turnover,positive_fold_ratio,worst_fold_return,median_fold_return,slippage_10bp_annualized,slippage_20bp_annualized,next_close_annualized,second_next_open_annualized,candidate,pareto,probability_return_above_benchmark,probability_drawdown_below_benchmark,probability_sharpe_above_benchmark,deflated_sharpe_probability
G1,risk-friction__threshold-0p05,risk-friction,risk,"{""kind"": ""risk-core"", ""rebalance_threshold"": 0.05, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}",0.15750696542258055,0.6606394397148099,0.2169363863228726,0.11978153345997611,1.2923529003810685,0.16192732529335033,2.814673923944099,0.6676450081883216,1.0,114,"{'2023': 0.0, '2024': 0.1437475964284758, '2025': 0.30867356931052736, '2026': 0.10946555233111233}",1.8111004263888464,0.3323549918116783,0.706605222734255,31,0,0.0002984691524024141,7.271240970188923,0.6363636363636364,-0.04077954323143962,0.013712816988583176,0.21434332414148094,0.21113080579197807,0.19315802620719613,0.14670631825954472,True,True,0.351,1.0,0.9,0.23254339954136427
G1,risk-friction__threshold-0p1,risk-friction,risk,"{""kind"": ""risk-core"", ""rebalance_threshold"": 0.1, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}",0.1569065849000085,0.605646305542022,0.20117533792602038,0.12400380185003967,1.1872446625577426,0.16580677174256586,2.6858912866183595,0.6641506948495194,1.0,114,"{'2023': 0.0, '2024': 0.13776730631075962, '2025': 0.30695062957163777, '2026': 0.07978490497343405}",1.622332016636924,0.33584930515048056,0.706605222734255,20,0,0.0002954090552728354,6.938552490430762,0.6363636363636364,-0.045127144970934174,0.013716343200756986,0.19877557203971485,0.19575941470995217,0.17407457580855112,0.12975959476306964,True,True,0.309,1.0,0.857,0.18247104717590396
G1,risk-friction__threshold-0p15,risk-friction,risk,"{""kind"": ""risk-core"", ""rebalance_threshold"": 0.15, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}",0.14795822214913737,0.6130661840611085,0.20332098818689892,0.12717092185594425,1.1696025065144422,0.17051973215188745,2.5081980005191022,0.6554961535855907,1.0,103,"{'2023': 0.0, '2024': 0.13776730631075962, '2025': 0.2944070473818299, '2026': 0.09528683565879836}",1.598800930429799,0.3445038464144093,0.706605222734255,16,0,0.00028990557687441827,6.4795115013410145,0.6363636363636364,-0.04497573957745715,0.01648900596169689,0.20107202233512944,0.1982568895972212,0.1783659045259225,0.13364753520385575,True,True,0.334,1.0,0.856,0.1774127847780999
G1,risk-friction__smooth-3,risk-friction,risk,"{""kind"": ""risk-core"", ""smooth_span"": 3, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}",0.12987975015955058,0.5495052834270722,0.1847401879486399,0.11636026328099958,1.237537513929492,0.1454789033398862,2.3351544689816714,0.6769340389013409,1.0,103,"{'2023': 0.0, '2024': 0.06251631957593973, '2025': 0.3300155995009788, '2026': 0.09648000738444584}",1.5876570122784008,0.3230659610986592,0.7158218125960062,459,0,0.00013745036483642494,6.032482378202651,0.7272727272727273,-0.03645447148683978,0.01595566698249362,0.18266405347559034,0.1800363342807969,0.17341340421771823,0.15243196846618656,True,True,0.355,1.0,0.846,0.2135951711398258
G1,risk-friction__smooth-5,risk-friction,risk,"{""kind"": ""risk-core"", ""smooth_span"": 5, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}",0.12423330849841678,0.5277206301945934,0.1782645645203056,0.11438404466554053,1.2112925686053135,0.14392409790505906,1.9781383680712827,0.6773136853231222,1.0,103,"{'2023': 0.0, '2024': 0.03952510784139962, '2025': 0.33743572201541716, '2026': 0.09884400016031569}",1.5584740427876282,0.32268631467687775,0.7158218125960062,457,1,8.912204972689375e-05,5.110190784184147,0.7272727272727273,-0.032895100163034985,0.016097303344043246,0.17647891028980078,0.17429176602416985,0.1722187641808779,0.15829721295505728,True,True,0.325,1.0,0.797,0.20181210172390612
G1,risk-friction__smooth-10,risk-friction,risk,"{""kind"": ""risk-core"", ""smooth_span"": 10, ""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}",0.1263240808718721,0.5151724686500081,0.1745088277069775,0.11289191957459188,1.1834236492870458,0.14470518964452128,1.6397082712813436,0.6782598669429677,1.0,103,"{'2023': 0.0, '2024': 0.024263207343377946, '2025': 0.3434976666368448, '2026': 0.10106658072959318}",1.5458044150952102,0.3217401330570323,0.7158218125960062,461,1,4.676789903127141e-05,4.235913034143471,0.7272727272727273,-0.027873505202485216,0.014026974687977756,0.1730550621773892,0.17123440585148075,0.17188274131541004,0.16453849705554502,True,True,0.337,1.0,0.765,0.1887050495711861
G3,production-ensemble__threshold-0p1,production-ensemble,balanced,"{""kind"": ""fixed-ensemble"", ""rebalance_threshold"": 0.1}",0.19855750972816255,0.6418582138778544,0.2115901542870906,0.08040063294733124,1.3945650283702904,0.14501406429354868,3.005629660623028,0.7596374199662541,1.0,101,"{'2023': 0.0, '2024': 0.13439999438915984, '2025': 0.3008791807344424, '2026': 0.11258313131830788}",2.6316976189192296,0.24036258003374586,0.706605222734255,36,0,0.00015128983432792604,7.764543289942823,0.6363636363636364,-0.003231392939949451,0.007935028620099871,0.20887694902600162,0.20550779642805783,0.17730366221897365,0.13004125461110605,True,True,0.342,1.0,0.95,0.2752170440972044
