experiment,variant,status,annualized_return,maximum_drawdown,sharpe,sortino,turnover,average_cash_ratio,momentum_days,stock_num,epo_w,error,selected_for_promotion,delay_sessions,commission_rate,slippage_rate,excluded_symbols,rolling_minimum_return,rolling_median_return,rolling_maximum_return,rolling_observation_count,bootstrap_samples,bootstrap_block_size,pbo,split_count,strategy_count,median_logit,observed_annualized_sharpe,expected_max_daily_sharpe,deflated_sharpe_probability,skew,kurtosis,trial_count
parameter-neighborhood,m34-n3-w0.1,ok,0.3162778276710969,0.2057171227482305,1.2890777426391131,1.6841765998180598,59.27519329016855,0.04272227566500503,34.0,3.0,0.1,,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,m34-n3-w0.2,ok,0.3236121887566996,0.19097486960705645,1.3355744959167075,1.7623960839596127,59.93129959244321,0.04209922458949064,34.0,3.0,0.2,,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,m34-n3-w0.3,ok,0.3244718578202528,0.17854149481322723,1.3627001172256847,1.8106628316164146,60.96919871795354,0.041982890738805546,34.0,3.0,0.3,,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,m34-n4-w0.1,ok,0.2770851968542243,0.20610422344153523,1.1698168279087908,1.5554802982507336,57.582534677974024,0.04048995773241548,34.0,4.0,0.1,,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,m34-n4-w0.2,ok,0.28070829252672436,0.19463524157728174,1.1949960782161781,1.5837253669351734,57.777316648539724,0.04029900960669603,34.0,4.0,0.2,,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,m34-n4-w0.3,ok,0.285078008076608,0.18391209148203536,1.228343848678137,1.628601838568646,58.46533111217081,0.03889083197713589,34.0,4.0,0.3,,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,m40-n2-w0.1,failed,,,,,,,40.0,2.0,0.1,EPO produced no positive weights,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,m40-n2-w0.2,failed,,,,,,,40.0,2.0,0.2,EPO produced no positive weights,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,m40-n2-w0.3,failed,,,,,,,40.0,2.0,0.3,EPO produced no positive weights,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,m40-n3-w0.1,ok,0.2793024850777792,0.20991539722606278,1.117884684370435,1.4575456978178978,63.918508566293816,0.04592827875023968,40.0,3.0,0.1,,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,m40-n3-w0.2,failed,,,,,,,40.0,3.0,0.2,EPO produced no positive weights,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,m40-n3-w0.3,ok,0.2901069325736434,0.21243048118787689,1.182237209939667,1.5434917885477608,65.01767342030088,0.048313295729480135,40.0,3.0,0.3,,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,m40-n4-w0.1,ok,0.27467935693471746,0.2158373295659034,1.1345685571222393,1.4436363908772716,53.767935791499376,0.03515802222753964,40.0,4.0,0.1,,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,m40-n4-w0.2,ok,0.28369928242121567,0.2205393279919624,1.1749401308944123,1.4861572857218723,53.3536492798757,0.03449118306701971,40.0,4.0,0.2,,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,m40-n4-w0.3,ok,0.28556672201573563,0.22166332641025221,1.2000209069443741,1.5101138840052633,53.46692754435344,0.03520114710960136,40.0,4.0,0.3,,False,,,,,,,,,,,,,,,,,,,,
execution-delay,delay-0,ok,0.3236121887566996,0.19097486960705645,1.3355744959167075,1.7623960839596127,59.93129959244321,0.04209922458949064,,,,,,0.0,,,,,,,,,,,,,,,,,,,
execution-delay,delay-1,ok,0.32215472011438884,0.1938853282112084,1.3113963631040038,1.7333855917856464,66.00316062186646,0.03987154932232374,,,,,,1.0,,,,,,,,,,,,,,,,,,,
execution-delay,delay-2,ok,0.23391780173160814,0.20587625402908172,0.996549293861195,1.2755305579745955,66.53063375413154,0.04505595737282513,,,,,,2.0,,,,,,,,,,,,,,,,,,,
execution-delay,delay-3,ok,0.205178247511133,0.2988187184954991,0.8854557480872016,1.106656314490677,69.21920827967486,0.03465625003757223,,,,,,3.0,,,,,,,,,,,,,,,,,,,
execution-delay,delay-5,ok,0.19211118510445346,0.2804045959484309,0.840123335678151,1.0383635848017732,69.28223374839118,0.04084528101044434,,,,,,5.0,,,,,,,,,,,,,,,,,,,
cost-stress,published,ok,0.3334139112069756,0.19094064564665492,1.3696469064355201,1.808524926894475,59.82091210393251,0.04269338815553422,,,,,,,0.0002,0.0,,,,,,,,,,,,,,,,,
cost-stress,baseline,ok,0.3236121887566996,0.19097486960705645,1.3355744959167075,1.7623960839596127,59.93129959244321,0.04209922458949064,,,,,,,0.0003,0.0005,,,,,,,,,,,,,,,,,
cost-stress,double,ok,0.31067427040261353,0.1909906176529632,1.290566628247809,1.701720489881507,60.034935909260426,0.04144264865466494,,,,,,,0.0006,0.001,,,,,,,,,,,,,,,,,
module-ablation,equal-top3,ok,0.22482605295103797,0.21275635935921433,1.0415809428399947,1.4695655551220923,66.73919435368067,0.026335403317814293,,,,,,,,,,,,,,,,,,,,,,,,,
module-ablation,equal-pool,ok,0.0420374821623668,0.32890183800613304,0.31151297855644905,0.4674458023286513,3.6401458246239224,0.018973778224398764,,,,,,,,,,,,,,,,,,,,,,,,,
pool-perturbation,drop-SH518880,failed,,,,,,,,,,EPO produced no positive weights,False,,,,SH518880,,,,,,,,,,,,,,,,
pool-perturbation,drop-SZ159985,failed,,,,,,,,,,EPO produced no positive weights,False,,,,SZ159985,,,,,,,,,,,,,,,,
pool-perturbation,drop-SH513100,ok,0.21234965061611843,0.3149192013544153,0.8632325016945096,1.131975119526675,59.562632896166775,0.054332887695288004,,,,,False,,,,SH513100,,,,,,,,,,,,,,,,
pool-perturbation,drop-SH510300,ok,0.3265023743688775,0.19095771083657254,1.3472435096789255,1.7739192372809487,59.60678012169617,0.04701604315231734,,,,,False,,,,SH510300,,,,,,,,,,,,,,,,
pool-perturbation,drop-SZ159915,ok,0.31692585682660135,0.1884313669826735,1.331436009050205,1.7586264681017794,56.91906833145239,0.041422918426033094,,,,,False,,,,SZ159915,,,,,,,,,,,,,,,,
pool-perturbation,drop-SZ159992,ok,0.3069714951195004,0.19097406480745693,1.2828883285282742,1.6863348447336204,61.53252803365023,0.0478203619254463,,,,,False,,,,SZ159992,,,,,,,,,,,,,,,,
pool-perturbation,drop-SH515700,ok,0.34369140129352127,0.19095368671552093,1.3771359314984817,1.8112564081235203,55.40873695851895,0.04183981139526176,,,,,False,,,,SH515700,,,,,,,,,,,,,,,,
pool-perturbation,drop-SH510150,ok,0.3151240711043699,0.1909615724750987,1.3019936578353137,1.7130501977316708,59.60581163112476,0.04136827514943466,,,,,False,,,,SH510150,,,,,,,,,,,,,,,,
pool-perturbation,drop-SH515790,ok,0.3208937985837852,0.19097442007093024,1.3409742664143327,1.7752185034792198,59.67426385031513,0.04328369574237849,,,,,False,,,,SH515790,,,,,,,,,,,,,,,,
pool-perturbation,drop-SH515880,ok,0.22361027714032922,0.15455218372987045,1.1509233537328272,1.4745988012538949,63.116703485931176,0.04735215692398065,,,,,False,,,,SH515880,,,,,,,,,,,,,,,,
pool-perturbation,drop-SH512720,ok,0.3007341337931757,0.19097644448286366,1.263406419672494,1.6579591641499145,59.063912954872926,0.03448282397594323,,,,,False,,,,SH512720,,,,,,,,,,,,,,,,
pool-perturbation,drop-SH512660,ok,0.32293293934695777,0.19097093664706255,1.3322200629646652,1.7687962322149882,59.680568463010474,0.04185884177166862,,,,,False,,,,SH512660,,,,,,,,,,,,,,,,
pool-perturbation,drop-SZ159740,ok,0.3164196636146257,0.19097269995684085,1.308354097410602,1.7072705220142703,60.04491662064958,0.0395290306958419,,,,,False,,,,SZ159740,,,,,,,,,,,,,,,,
year-slice,2021,ok,0.07826695087688562,0.05713585063964399,1.3998693873350534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2022,ok,0.11057867234465713,0.14153742299728012,0.6777627249287306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2023,ok,0.25204039707334824,0.06381059607850781,1.9290985780780971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2024,ok,0.14225378560905622,0.10341210664964062,1.001736905964184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2025,ok,0.8590965531177248,0.1266432873412311,2.1860995169686466,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2026,ok,0.1849511108403179,0.19097486960705634,1.0356690666106598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolling-window,rolling-1y,ok,,,,,,,,,,,,,,,,-0.029980971887804686,0.2297547334640817,1.5531798837445323,935.0,,,,,,,,,,,,
rolling-window,rolling-3y,ok,,,,,,,,,,,,,,,,0.48337565346040345,1.4396063665911973,2.7974168188415427,435.0,,,,,,,,,,,,
rolling-window,rolling-5y,insufficient,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
moving-block-bootstrap,q0.025,ok,0.13443171225258188,0.13322765571070005,,,,,,,,,,,,,,,,,,1000.0,20.0,,,,,,,,,,
moving-block-bootstrap,q0.500,ok,0.3473773288058193,0.19203605966691828,,,,,,,,,,,,,,,,,,1000.0,20.0,,,,,,,,,,
moving-block-bootstrap,q0.975,ok,0.6600376488973699,0.3249843736222189,,,,,,,,,,,,,,,,,,1000.0,20.0,,,,,,,,,,
multiple-testing,pbo-27-neighborhood,ok,,,,,,,,,,,,,,,,,,,,,,0.5,70.0,14.0,0.14384103622589042,,,,,,
multiple-testing,deflated-sharpe-27-trials,ok,,,,,,,,,,,,,,,,,,,,,,,,,,1.3355744959167075,0.059008995103791324,0.8089051244038458,0.1570871580545799,10.78578765374147,27.0
top-contributor-ablation,remove-top-1,ok,0.22361027714032922,0.15455218372987045,1.1509233537328272,1.4745988012538949,63.116703485931176,0.04735215692398065,,,,,False,,,,SH515880,,,,,,,,,,,,,,,,
top-contributor-ablation,remove-top-3,failed,,,,,,,,,,EPO produced no positive weights,False,,,,SH515880|SH518880|SH513100,,,,,,,,,,,,,,,,
