total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,scenario,method,cost_label,period_start,period_end,initial_cash,sortino,trade_count,order_count,rejected_order_count,unfilled_shares,total_fees,commission_rate,minimum_commission,slippage_rate,maximum_volume_ratio,execution_policy,parameter_selection_used_oos,yearly_returns_json
1.4021363178813706,0.47268038497234666,0.18574216245129593,1.4867731739664238,0.2884116616248808,28.479361129091043,0.047367902128815226,1.0,140,frozen-original-cost,epo,published zero slippage,2024-03-25,2026-07-24,100000.0,1.9689185416130124,82,88,6,311300,967.9037691731369,0.0002,5.0,0.0,1.0,source-sequential,False,"{""2024"": 0.0820626726, ""2025"": 0.8310758465778787, ""2026"": 0.21238038060079112}"
1.3754534813508723,0.4654323745675233,0.19056349232310998,1.444174115869644,0.2947969588926895,30.29344635121789,0.011146568473616121,1.0,143,causal-baseline-cost,epo,realistic baseline,2024-03-25,2026-07-24,100000.0,1.9053481282793983,85,89,4,255600,1463.8300891860522,0.0003,5.0,0.0005,0.01,sell-first,False,"{""2024"": 0.0827727319723528, ""2025"": 0.8259218039312459, ""2026"": 0.20150904668712455}"
1.3168303613247483,0.4493469657853415,0.19049052931401578,1.4064975788618777,0.2948458472712649,30.342488723594766,0.01088159144976736,1.0,157,causal-double-cost,epo,double friction,2024-03-25,2026-07-24,100000.0,1.858125548694095,85,89,4,252700,2799.5218074693057,0.0006,5.0,0.001,0.01,sell-first,False,"{""2024"": 0.07383896340260132, ""2025"": 0.8049226723194298, ""2026"": 0.19535383053134514}"
0.5873988353076625,0.22642854879478147,0.21052666118952157,0.9198910727170159,0.25818897422300885,32.62565333879004,0.01165163917248951,1.0,254,equal-top3-baseline-cost,equal-top3,realistic baseline,2024-03-25,2026-07-24,100000.0,1.2640477116064326,116,121,5,152600,1271.3264324528916,0.0003,5.0,0.0005,0.01,sell-first,False,"{""2024"": -0.08530412540564625, ""2025"": 0.5588015979309633, ""2026"": 0.11331611299075028}"
0.4643166001363064,0.1834783822663526,0.13924410098340556,0.9137781775201699,0.2080050674694709,2.0844028328680624,0.023993815377576028,1.0,163,equal-pool-baseline-cost,equal-pool,realistic baseline,2024-03-25,2026-07-24,100000.0,1.3210637650729053,288,293,5,3300,1440.0,0.0003,5.0,0.0005,0.01,sell-first,False,"{""2024"": 0.11566240113237769, ""2025"": 0.33345709195226014, ""2026"": -0.015709840910732242}"
