date,code,amount,avg_cost,last_price,market_value
2014-02-11,159902.XSHE,154300,2.3139040178916397,2.46,379578.0
2014-02-11,511880.XSHG,4100,74.54233172722374,74.861,306930.10000000003
2014-02-12,159915.XSHE,246200,1.2960219419192387,1.506,370777.2
2014-02-12,159902.XSHE,154300,2.3139040178916397,2.488,383898.4
2014-02-12,511880.XSHG,4100,74.54233172722374,74.885,307028.5
2014-02-13,159915.XSHE,246200,1.2960219419192387,1.45,356990.0
2014-02-13,159902.XSHE,154300,2.3139040178916397,2.451,378189.3
2014-02-13,511880.XSHG,4100,74.54233172722374,74.905,307110.5
2014-02-14,159915.XSHE,246200,1.2960219419192387,1.479,364129.80000000005
2014-02-14,159902.XSHE,154300,2.3139040178916397,2.492,384515.6
2014-02-14,511880.XSHG,4100,74.54233172722374,74.988,307450.8
2014-02-17,159915.XSHE,246700,1.2964241734921629,1.521,375230.69999999995
2014-02-17,159902.XSHE,146400,2.3139040178916397,2.522,369220.8
2014-02-17,511880.XSHG,4300,74.56589532130634,75.041,322676.3
2014-02-18,159915.XSHE,246700,1.2964241734921629,1.507,371776.89999999997
2014-02-18,159902.XSHE,146400,2.3139040178916397,2.513,367903.2
2014-02-18,511880.XSHG,4300,74.56589532130634,75.076,322826.8
2014-02-19,159915.XSHE,246700,1.2964241734921629,1.506,371530.2
2014-02-19,159902.XSHE,146400,2.3139040178916397,2.527,369952.80000000005
2014-02-19,511880.XSHG,4300,74.56589532130634,75.029,322624.7
2014-02-20,159915.XSHE,246700,1.2964241734921629,1.483,365856.10000000003
2014-02-20,159902.XSHE,146400,2.3139040178916397,2.474,362193.60000000003
2014-02-20,511880.XSHG,4300,74.56589532130634,74.983,322426.9
2014-02-21,159915.XSHE,246700,1.2964241734921629,1.483,365856.10000000003
2014-02-21,159902.XSHE,146400,2.3139040178916397,2.461,360290.39999999997
2014-02-21,511880.XSHG,4300,74.56589532130634,75.012,322551.6
2014-02-24,159915.XSHE,242300,1.2964241734921629,1.505,364661.5
2014-02-24,159902.XSHE,146600,2.3141230396953345,2.457,360196.19999999995
2014-02-24,511010.XSHG,3500,94.19732572249998,94.261,329913.5
2014-02-25,159915.XSHE,242300,1.2964241734921629,1.432,346973.6
2014-02-25,159902.XSHE,146600,2.3141230396953345,2.354,345096.4
2014-02-25,511010.XSHG,3500,94.19732572249998,94.462,330617.0
2014-02-26,159915.XSHE,242300,1.2964241734921629,1.431,346731.3
2014-02-26,159902.XSHE,146600,2.3141230396953345,2.359,345829.4
