cash,daily_return,date,market_value,total_value
4493.4237958602025,0.010744823795860059,2014-01-02,1006251.3999999999,1010744.8237958602
4493.4237958602025,0.0015554865708793386,2014-01-03,1007823.6000000001,1012317.0237958604
7655.639330260165,-0.02000261181983598,2014-01-06,984412.3999999999,992068.0393302601
7655.639330260165,0.00682382632200329,2014-01-07,991182.0999999999,998837.7393302601
7655.639330260165,0.010231491660349645,2014-01-08,1001401.7,1009057.3393302602
7655.639330260165,-0.012024886522359113,2014-01-09,989267.8999999999,996923.5393302601
7655.639330260165,-0.013462015360792723,2014-01-10,975847.3,983502.9393302603
1258.6887566101213,0.0014030963926652262,2014-01-13,983624.2,984882.8887566101
1258.6887566101213,0.014884815410396435,2014-01-14,998284.0,999542.6887566102
1258.6887566101213,0.0072791288274549615,2014-01-15,1005559.8,1006818.4887566102
1258.6887566101213,-0.006518354671957716,2014-01-16,998997.0,1000255.6887566102
1258.6887566101213,-0.005208868150979207,2014-01-17,993786.7999999999,995045.4887566101
5330.98845841012,-0.009515545173750195,2014-01-20,980246.1000000001,985577.0884584102
5330.98845841012,0.013328333373238799,2014-01-21,993382.2,998713.1884584101
5330.98845841012,0.012962179882677338,2014-01-22,1006327.7000000001,1011658.6884584102
5330.98845841012,0.010174182377343355,2014-01-23,1016620.5,1021951.4884584101
5330.98845841012,0.011346037586863478,2014-01-24,1028215.6000000001,1033546.5884584102
7984.816858410121,-0.0033581181910502522,2014-01-27,1022091.0,1030075.8168584101
7984.816858410121,-0.0026513582352892806,2014-01-28,1019359.9000000001,1027344.7168584103
7984.816858410121,0.008769792506989171,2014-01-29,1028369.4999999999,1036354.31685841
7984.816858410121,-0.0043287319085993925,2014-01-30,1023883.4000000001,1031868.2168584103
1876.4729584101224,0.014585250184195875,2014-02-07,1045041.8,1046918.2729584102
2356.0866584101223,0.015978433209240972,2014-02-10,1061290.3,1063646.38665841
2356.0866584101223,-0.007005899792891568,2014-02-11,1053838.5,1056194.58665841
2356.0866584101223,0.007447112586408178,2014-02-12,1061704.1,1064060.1866584101
2356.0866584101223,-0.018245490474527504,2014-02-13,1042289.8,1044645.8866584102
2356.0866584101223,0.013216344577934747,2014-02-14,1056096.2,1058452.28665841
6315.496551040129,0.01416314186438905,2014-02-17,1067127.8,1073443.2965510401
6315.496551040129,-0.004304745313373326,2014-02-18,1062506.9,1068822.39655104
6315.496551040129,0.0014977231064445817,2014-02-19,1064107.7,1070423.19655104
6315.496551040129,-0.012734309237617425,2014-02-20,1050476.6,1056792.0965510402
6315.496551040129,-0.0016829232597446175,2014-02-21,1048698.1,1055013.5965510402
4681.342181970249,0.004207477178911567,2014-02-24,1054771.1999999997,1059452.54218197
4681.342181970249,-0.030283753846983674,2014-02-25,1022687.0,1027368.3421819702
4681.342181970249,0.00047762811043772224,2014-02-26,1023177.7,1027859.0421819702
4681.342181970249,-0.01791179455980374,2014-02-27,1004766.8999999999,1009448.2421819702
4681.342181970249,0.008997786731855806,2014-02-28,1013849.7,1018531.0421819702
4237.976180350255,0.010764653745743535,2014-03-03,1025257.2000000001,1029495.1761803504
4237.976180350255,-0.006680167288899752,2014-03-04,1018380.0,1022617.9761803503
4237.976180350255,0.0011611374214595127,2014-03-05,1019567.4000000001,1023805.3761803504
4237.976180350255,-0.0012957540865330408,2014-03-06,1018240.7999999999,1022478.7761803502
4237.976180350255,-0.0010905849842337556,2014-03-07,1017125.7,1021363.6761803502
3338.0605108402815,-0.02748973389626619,2014-03-10,989948.6,993286.6605108402
3338.0605108402815,-0.00282617305920152,2014-03-11,987141.4,990479.4605108403
3338.0605108402815,-0.001765407633085192,2014-03-12,985392.8,988730.8605108403
3338.0605108402815,0.018014204584246185,2014-03-13,1003204.0,1006542.0605108403
3338.0605108402815,-0.005050260887677349,2014-03-14,998120.7,1001458.7605108402
6033.085632270377,0.01270139682530913,2014-03-17,1008145.6000000001,1014178.6856322705
6033.085632270377,0.0005632143606368878,2014-03-18,1008716.8,1014749.8856322705
6033.085632270377,-0.0052557778773998365,2014-03-19,1003383.5,1009416.5856322704
6033.085632270377,-0.013062892157394868,2014-03-20,990197.5999999999,996230.6856322703
6033.085632270377,0.0012900626516882951,2014-03-21,991482.7999999998,997515.8856322702
2449.510632270377,-0.006601072819834131,2014-03-24,988481.7,990931.2106322703
2449.510632270377,-0.0003242404685134259,2014-03-25,988160.4,990609.9106322704
2449.510632270377,0.007550802712266158,2014-03-26,995640.2999999999,998089.8106322703
2449.510632270377,-0.015492493596547696,2014-03-27,980177.4,982626.9106322704
2449.510632270377,-0.012766900503394352,2014-03-28,967632.3,970081.8106322704
7056.95683453038,0.0011739692361798504,2014-03-31,964163.7,971220.6568345303
7056.95683453038,0.007096842464682451,2014-04-01,971056.3,978113.2568345304
7056.95683453038,-0.009409339803639005,2014-04-02,961852.8999999999,968909.8568345302
7056.95683453038,0.0006001590301702997,2014-04-03,962434.4000000001,969491.3568345305
7056.95683453038,0.005601597127932845,2014-04-04,967865.1000000001,974922.0568345304
8992.51433453038,0.0016384463648162484,2014-04-08,967526.8999999999,976519.4143345302
8992.51433453038,0.006056305602516243,2014-04-09,973441.0,982433.5143345303
