amount,code,date,fees,price,reason,requested_amount,side,status,value
400,511010.XSHG,2014-03-03,11.366114759999997,94.71762299999999,,400,buy,filled,37887.049199999994
1500,511010.XSHG,2014-03-10,42.364243349999995,94.14276299999999,,1500,sell,filled,141214.1445
47800,159915.XSHE,2014-03-10,20.210910719999998,1.4094079999999998,,47800,buy,filled,67369.7024
32400,159902.XSHE,2014-03-10,22.39781544,2.304302,,32400,buy,filled,74659.3848
170100,159902.XSHE,2014-03-17,115.05953528999999,2.254743,,170100,sell,filled,383531.7843
8100,159915.XSHE,2014-03-17,5.0,1.4024009999999998,,8100,buy,filled,11359.448099999998
3900,511010.XSHG,2014-03-17,110.77394327999997,94.67858399999999,,3900,buy,filled,369246.4775999999
2600,159915.XSHE,2014-03-24,5.0,1.376375,,2600,buy,filled,3578.575
200,511010.XSHG,2014-03-31,5.656597739999999,94.276629,,200,sell,filled,18855.3258
11000,159915.XSHE,2014-03-31,5.0,1.2942929999999997,,11000,buy,filled,14237.222999999996
1500,159915.XSHE,2014-04-08,5.0,1.2937049999999999,,1500,sell,filled,1940.5575
3100,159915.XSHE,2014-04-14,5.0,1.327671,,3100,sell,filled,4115.7801
100,511010.XSHG,2014-04-14,5.0,94.61652199999999,,100,buy,filled,9461.652199999999
1400,159915.XSHE,2014-04-21,5.0,1.33133,,1400,buy,filled,1863.8619999999999
296700,159915.XSHE,2014-04-28,111.59584244999998,1.2537449999999999,,296700,sell,filled,371986.14149999997
3900,511010.XSHG,2014-04-28,111.10304204999996,94.95986499999998,,3900,buy,filled,370343.4734999999
4100,511010.XSHG,2014-05-05,117.07843437,95.185719,,4100,sell,filled,390261.4479
307900,159915.XSHE,2014-05-05,115.85534960999998,1.2542529999999998,,307900,buy,filled,386184.49869999994
3400,159915.XSHE,2014-05-12,5.0,1.2372359999999998,,3400,buy,filled,4206.602399999999
100,511010.XSHG,2014-05-19,5.0,95.647257,,100,sell,filled,9564.725699999999
6100,159915.XSHE,2014-05-19,5.0,1.196195,,6100,buy,filled,7296.789499999999
11900,159915.XSHE,2014-05-26,5.0,1.273725,,11900,sell,filled,15157.3275
200,511010.XSHG,2014-05-26,5.753627879999999,95.89379799999999,,200,buy,filled,19178.759599999998
900,159915.XSHE,2014-06-03,5.0,1.289709,,900,sell,filled,1160.7381
3300,159915.XSHE,2014-06-09,5.0,1.313685,,3300,sell,filled,4335.1605
5100,159915.XSHE,2014-06-16,5.0,1.350648,,5100,sell,filled,6888.304800000001
100,511010.XSHG,2014-06-16,5.0,96.53643999999998,,100,buy,filled,9653.643999999998
100,511010.XSHG,2014-06-23,5.0,96.52737599999999,,100,sell,filled,9652.737599999999
6700,159915.XSHE,2014-06-23,5.0,1.3063049999999998,,6700,buy,filled,8752.243499999999
7000,159915.XSHE,2014-06-30,5.0,1.355643,,7000,sell,filled,9489.501
100,511010.XSHG,2014-06-30,5.0,96.707611,,100,buy,filled,9670.7611
6200,511010.XSHG,2014-07-07,179.14513553999998,96.314589,,6200,sell,filled,597150.4518
100000,159915.XSHE,2014-07-07,41.208749999999995,1.373625,,100000,sell,filled,137362.5
148700,159902.XSHE,2014-07-07,100.65149093999997,2.2562539999999998,,148700,buy,filled,335504.96979999996
327000,510050.XSHG,2014-07-07,120.88186109999998,1.2322309999999999,cash_limited,327500,buy,partial,402939.53699999995
148700,159902.XSHE,2014-07-14,98.13298877999998,2.199798,,148700,sell,filled,327109.96259999997
327000,510050.XSHG,2014-07-14,119.75832179999998,1.220778,,327000,sell,filled,399194.40599999996
101000,159915.XSHE,2014-07-14,40.308968699999994,1.3303289999999999,,101000,buy,filled,134363.229
6100,511010.XSHG,2014-07-14,176.00772188999997,96.17908299999999,,6100,buy,filled,586692.4062999999
296900,159915.XSHE,2014-07-21,113.8955904,1.27872,,296900,sell,filled,379651.96800000005
100,511010.XSHG,2014-07-21,5.0,95.39750699999999,,100,sell,filled,9539.750699999999
312700,510050.XSHG,2014-07-21,116.06510915999998,1.2372359999999998,,312700,buy,filled,386883.69719999994
4000,511010.XSHG,2014-07-28,114.84863639999999,95.707197,,4000,sell,filled,382828.788
9800,510050.XSHG,2014-07-28,5.0,1.304694,,9800,sell,filled,12786.0012
298100,159901.XSHE,2014-07-28,118.79228360999998,1.3283269999999998,,298100,buy,filled,395974.27869999997
1700,510050.XSHG,2014-08-04,5.0,1.3486500000000001,,1700,sell,filled,2292.7050000000004
298100,159901.XSHE,2014-08-04,122.75394318,1.3726260000000001,,298100,sell,filled,409179.8106
35500,510500.XSHG,2014-08-04,37.152365249999995,3.4884849999999994,,35500,buy,filled,123841.21749999998
187200,159915.XSHE,2014-08-04,72.23776559999997,1.2862849999999997,,187200,buy,filled,240792.55199999994
500,511010.XSHG,2014-08-04,14.476111649999998,96.50741099999999,,500,buy,filled,48253.7055
300,511010.XSHG,2014-08-11,8.67532599,96.392511,,300,sell,filled,28917.7533
45400,510050.XSHG,2014-08-11,18.2325492,1.3386600000000002,,45400,sell,filled,60775.16400000001
187200,159915.XSHE,2014-08-11,75.62797632,1.3466520000000002,,187200,sell,filled,252093.25440000003
2100,510500.XSHG,2014-08-11,5.0,3.5735699999999992,,2100,buy,filled,7504.4969999999985
