execution_date,symbol,shares,market_value_at_open
2019-01-02,SZ002072,160200,999908.2981109619
2019-01-02,SZ002200,178200,999466.9901847839
2019-01-02,SZ300029,215000,999703.3739089966
2019-01-02,SZ300069,103700,999850.3009796143
2019-01-02,SZ300106,189500,999551.976442337
2019-01-02,SZ300321,83000,998896.5969085693
2019-01-02,SZ300354,126000,999494.0843582153
2019-01-02,SZ300405,260700,999702.5887012482
2019-01-02,SZ300489,128400,999974.1931915283
2019-01-02,SZ300592,110100,999366.6380882263
2019-02-01,SZ002072,193900,939691.9542789459
2019-02-01,SZ002200,178400,939998.6267089844
2019-02-01,SZ002633,129200,939455.5124282837
2019-02-01,SZ002890,113100,939592.5825119019
2019-02-01,SZ300029,220900,939994.9372768402
2019-02-01,SZ300106,181500,939610.3627681732
2019-02-01,SZ300321,80500,938862.756729126
2019-02-01,SZ300405,264400,939677.8259277344
2019-02-01,SZ300489,124900,939482.5924873352
2019-02-01,SZ300592,112400,939761.3998413086
2019-03-01,SH600306,160000,1147438.8122558594
2019-03-01,SZ002072,174600,1147068.0802345276
2019-03-01,SZ002200,182000,1147074.3112564087
2019-03-01,SZ002633,131500,1146917.5581932068
2019-03-01,SZ300029,215100,1147346.7059612274
2019-03-01,SZ300106,186700,1147141.163110733
2019-03-01,SZ300321,81800,1147483.9151382446
2019-03-01,SZ300405,267100,1147564.3831253052
2019-03-01,SZ300489,128000,1147021.6064453125
2019-03-01,SZ300592,112900,1146733.1133842468
2019-04-01,SH600306,165900,1254606.4092636108
2019-04-01,SZ002072,206800,1254697.1952438354
2019-04-01,SZ002200,183000,1254252.6097297668
2019-04-01,SZ300029,212100,1254754.752445221
2019-04-01,SZ300106,188700,1254299.39661026
2019-04-01,SZ300405,269600,1254614.7319793701
2019-04-01,SZ300489,122100,1254587.2346878052
2019-04-01,SZ300592,110000,1254380.5503845215
2019-04-01,SZ300665,154100,1254296.3104248047
2019-04-01,SZ300680,169200,1252617.1892166138
2019-05-06,SH603029,122100,1285311.236858368
2019-05-06,SH603269,28600,253907.5071334839
2019-05-06,SH603286,88600,1285119.0134048462
2019-05-06,SZ002072,206800,1021830.7464599609
2019-05-06,SZ002890,135900,1285037.6546859741
2019-05-06,SZ300029,241400,1285200.6793022156
2019-05-06,SZ300321,90000,1284966.0873413086
2019-05-06,SZ300354,140400,1285602.8411865234
2019-05-06,SZ300442,175400,1285330.6265830994
2019-05-06,SZ300592,130200,1285633.8603973389
2019-05-06,SZ300665,177700,1285605.2092552185
2019-06-03,SH600306,179900,1403485.1037979126
2019-06-03,SH603029,122100,1313123.5659599304
2019-06-03,SH603269,28600,252312.51468658447
2019-06-03,SH603286,88600,1350192.9189682007
2019-06-03,SZ000691,343300,1403609.2317581177
2019-06-03,SZ000835,267800,1160257.4138641357
2019-06-03,SZ002473,167800,1403205.128288269
2019-06-03,SZ002890,135900,1370585.5911254883
2019-06-03,SZ300029,217800,1403520.8046913147
2019-06-03,SZ300592,130200,1564952.7780532837
2019-06-03,SZ300665,182500,1403129.1329860687
2019-07-01,SH600306,179900,1444398.79322052
2019-07-01,SH603029,122100,1363273.1609344482
2019-07-01,SH603269,28600,263207.3293685913
2019-07-01,SH603286,88600,1394332.5464248657
2019-07-01,SZ000691,347700,1432763.038444519
2019-07-01,SZ002473,170700,1432550.5737304688
2019-07-01,SZ002890,135900,1395475.5861282349
2019-07-01,SZ300029,209500,1432447.9784965515
2019-07-01,SZ300321,88300,1304241.7345046997
2019-07-01,SZ300592,128700,1432090.5398368835
2019-07-01,SZ300665,176900,1432185.892868042
2019-08-01,SH600306,214000,1348013.6079788208
2019-08-01,SZ000691,337200,1348270.3594207764
2019-08-01,SZ002209,198800,1347833.3280563354
2019-08-01,SZ002473,171600,1348072.325706482
2019-08-01,SZ002633,149900,1346196.568107605
2019-08-01,SZ002890,139700,1347844.4853782654
2019-08-01,SZ300029,207800,1348319.6387290955
2019-08-01,SZ300321,93300,1347371.9029426575
2019-08-01,SZ300592,128000,1348269.1650390625
2019-08-01,SZ300665,179800,1347793.798160553
2019-09-02,SH600306,223600,1297330.1956176758
2019-09-02,SH603269,154900,1297570.9826469421
2019-09-02,SZ000691,339800,1297585.1308822632
2019-09-02,SZ002209,204000,1297508.8005065918
2019-09-02,SZ002473,160900,1297462.3282432556
