trial,top_k,universe,lookback,r2_threshold,score_max,buffer_ratio,ordinal_rank_buffer_extra,rebalance_interval_days,rebalance_phase,regime_use_hysteresis,cost_bp,initial_cash,adv_participation,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return,use_r2,use_ordinary_filters,use_buffer,use_regime,weak_pool_switch,use_mainline,use_retention,regime_filter_relaxation,regime_dynamic_lookback,regime_buffer_disable
S_top1_r20_weak0_d1_rank0,1,original_like,25,0.4,5.0,0.9,0,1,0,False,10.0,200000.0,,2808,-0.9026810400964518,-0.18867061098067006,0.3245099908763497,-0.4815594609395914,0.9434465601275568,2428.302027325351,217.92454091381356,249238.21545643237,0.0054506746358107625,0.9945493253641892,2713,-0.7479895797486131,False,True,True,False,False,False,False,False,False,False
S_top1_r20_weak0_d1_rank2,1,original_like,25,0.4,5.0,0.9,2,1,0,False,10.0,200000.0,,2808,-0.8100659078403665,-0.1384921543222748,0.3189607448284859,-0.3078528209361773,0.8936094745489255,2030.3722130796998,182.21289091740897,262836.4125881397,0.004606349194069259,0.9953936508059307,2655,-0.7629566839567103,False,True,True,False,False,False,False,False,False,False
S_top1_r20_weak0_d1_rank4,1,original_like,25,0.4,5.0,0.9,4,1,0,False,10.0,200000.0,,2808,-0.804581161918944,-0.1362883413374265,0.3156802997439752,-0.3062612621252747,0.8921261909064431,1925.4607216054478,172.79775706715557,221151.217432647,0.004004480304583573,0.9959955196954164,2713,-0.6834846581621987,False,True,True,False,False,False,False,False,False,False
S_top1_r20_weak0_d5_rank0,1,original_like,25,0.4,5.0,0.9,0,5,0,False,10.0,200000.0,,2808,0.23472620352344298,0.01910253099222614,0.3237741638830969,0.22114561592824403,0.8163913738103828,835.7900037918077,75.00679521208531,330285.8701516099,0.0010311931539949573,0.9989688068460051,1160,-0.7713494269819829,False,True,True,False,False,False,False,False,False,False
S_top1_r20_weak0_d5_rank2,1,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,200000.0,,2808,0.2469134311635759,0.020001226212652545,0.31600146558669123,0.22097363219037625,0.8009757733608613,788.805969436575,70.79027930841058,286057.72894670273,0.0011456639112001803,0.9988543360887999,1160,-0.7213001556723564,False,True,True,False,False,False,False,False,False,False
S_top1_r20_weak0_d5_rank4,1,original_like,25,0.4,5.0,0.9,4,5,0,False,10.0,200000.0,,2808,0.5591685582125365,0.04066492313203085,0.3110611246093192,0.2838480343439214,0.7594842059440027,762.9238377043573,68.46752389654489,324975.6669292331,0.0012689986377042068,0.9987310013622958,1160,-0.6895294884934507,False,True,True,False,False,False,False,False,False,False
S_top1_r20_weak0_d10_rank0,1,original_like,25,0.4,5.0,0.9,0,10,0,False,10.0,200000.0,,2808,0.3829533837479522,0.029524234643886205,0.31272956890748954,0.24994735069840915,0.6412780997507008,493.1236290027164,44.254684654089935,166980.103476313,0.0021833145343696583,0.9978166854656304,1175,-0.5934993591007912,False,True,True,False,False,False,False,False,False,False
S_top1_r20_weak0_d10_rank2,1,original_like,25,0.4,5.0,0.9,2,10,0,False,10.0,200000.0,,2808,0.22237310191215554,0.018183326068784478,0.31068940754983976,0.21393866639029102,0.6881964049474166,473.43434573513605,42.48769769417888,173126.37819798072,0.0020767826849625724,0.9979232173150374,1175,-0.638527305023209,False,True,True,False,False,False,False,False,False,False
S_top1_r20_weak0_d10_rank4,1,original_like,25,0.4,5.0,0.9,4,10,0,False,10.0,200000.0,,2808,0.12257957986919954,0.010431010080249381,0.30618100453054925,0.1873663853066479,0.71872198665914,454.8669204922284,40.8213903005846,172833.79568513154,0.001995626955575668,0.9980043730444242,1175,-0.6739871295719414,False,True,True,False,False,False,False,False,False,False
S_top1_r20_weak0_d20_rank0,1,original_like,25,0.4,5.0,0.9,0,20,0,False,10.0,200000.0,,2808,3.1129273737479073,0.1353143286073697,0.3252100476543022,0.5529450579775503,0.5285966674461637,272.6217551965013,24.46605495353217,100447.42555378252,0.002042053889090396,0.9979579461109096,1483,-0.4002163114936397,False,True,True,False,False,False,False,False,False,False
S_top1_r20_weak0_d20_rank2,1,original_like,25,0.4,5.0,0.9,2,20,0,False,10.0,200000.0,,2808,4.068654316943638,0.15680351315676044,0.33208227114640254,0.6047564002241441,0.5950998263598272,262.61156321626686,23.56770439120344,104033.23302731683,0.0018848499122373044,0.9981151500877626,1248,-0.4715530542942834,False,True,True,False,False,False,False,False,False,False
S_top1_r20_weak0_d20_rank4,1,original_like,25,0.4,5.0,0.9,4,20,0,False,10.0,200000.0,,2808,6.197968554628851,0.19379319138711892,0.3348466135031271,0.6965163223889104,0.5802715590824172,256.1035634786311,22.98365313269766,129212.06053423451,0.0016471708602841648,0.9983528291397158,1130,-0.4521919492315709,False,True,True,False,False,False,False,False,False,False
S_top1_r20_weak1_d1_rank0,1,original_like,25,0.4,5.0,0.9,0,1,0,False,10.0,200000.0,,2808,-0.2561812065779301,-0.026210695125248873,0.28309882360696115,0.04754778159077095,0.6947368663237241,2600.776769592696,233.40304342498555,421681.6521036992,0.005449695261424208,0.9945503047385758,2590,-0.5563137859853179,False,True,True,True,True,False,False,False,False,False
S_top1_r20_weak1_d1_rank2,1,original_like,25,0.4,5.0,0.9,2,1,0,False,10.0,200000.0,,2808,0.14606869954118018,0.012310581388603081,0.27313177680692186,0.18111421183738893,0.6449695087557894,2303.187174820296,206.69628491977016,466240.5248918708,0.004607368997261394,0.9953926310027386,2590,-0.5189590685010297,False,True,True,True,True,False,False,False,False,False
S_top1_r20_weak1_d1_rank4,1,original_like,25,0.4,5.0,0.9,4,1,0,False,10.0,200000.0,,2808,-0.09281723820327947,-0.008703943467127884,0.2710187293903931,0.10311949094266816,0.6321240600840861,2197.9075812204583,197.24811626337447,411208.26429655566,0.0051640203413905045,0.9948359796586096,2590,-0.4261292289637859,False,True,True,True,True,False,False,False,False,False
S_top1_r20_weak1_d5_rank0,1,original_like,25,0.4,5.0,0.9,0,5,0,False,10.0,200000.0,,2808,3.1167296839332916,0.1354084814411065,0.28342776573471123,0.5898337872308762,0.4176023677082604,863.4981840251364,77.49342677148661,422432.0310110977,0.0021937146588010934,0.9978062853411989,871,-0.23724143891606564,False,True,True,True,True,False,False,False,False,False
S_top1_r20_weak1_d5_rank2,1,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,200000.0,,2808,4.412691947364249,0.16364134402543673,0.281887415455346,0.6783412393453782,0.3446265443179296,813.8452993097131,73.0373986559999,396415.36457301653,0.0023382170230192446,0.9976617829769808,736,-0.20371639192455593,False,True,True,True,True,False,False,False,False,False
S_top1_r20_weak1_d5_rank4,1,original_like,25,0.4,5.0,0.9,4,5,0,False,10.0,200000.0,,2808,3.7788525249778075,0.15070749283628482,0.2755030962231164,0.6473702464321254,0.3928648928486095,775.966521735946,69.63802118143106,409798.2992399802,0.001955437117946654,0.9980445628820533,495,-0.10924250569446259,False,True,True,True,True,False,False,False,False,False
S_top1_r20_weak1_d10_rank0,1,original_like,25,0.4,5.0,0.9,0,10,0,False,10.0,200000.0,,2808,1.2753590419015874,0.07657165966032675,0.2842808679785064,0.40232980153123626,0.535363538507568,488.2660254025812,43.81874586946242,149256.5904120843,0.005171561573213558,0.9948284384267865,1470,-0.4755438604018214,False,True,True,True,True,False,False,False,False,False
