regime,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return
bull,1224,0.8411480393892599,0.1339060886820087,0.2536280515205628,0.6227423482781521,0.41590945887445663,362.98086061021183,74.73135365504362,150005.58143916473,0.006895853241426144,0.993104146758574,515,-0.21679998410128665
bear,659,0.4193522222100161,0.14329661155743834,0.21005280876921234,0.742343012320426,0.2101376998207939,170.03691469068644,65.02170334150681,57093.22353505189,0.028811645609634035,0.9711883543903659,213,
sideways,925,0.828555086480611,0.17870936251530622,0.22627017119936302,0.83985988506911,0.17379457931014253,247.93715214401894,67.54612144896517,83028.49008693252,0.021207442830276566,0.9787925571697235,220,0.07105782818527984
