year,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return
2015,244,0.4097573517865296,0.42572034612418097,0.2729362753869085,1.4386527838287289,0.13027994998315195,59.969844948140604,61.936069372669806,15668.098077838778,0.031120106993087638,0.9688798930069124,54,
2016,244,-0.06414154663075211,-0.0661734042646076,0.18099990600243224,-0.2875800779079663,0.14318053604208347,57.444726823474475,59.328160489817904,15127.222474404134,0.03251729610978374,0.9674827038902163,218,
2017,244,0.0776432955188473,0.08028858342090284,0.11297177541386676,0.739862118859601,0.060766061863982146,49.34881084129432,50.96680463936955,13749.027999658018,0.011987161049742238,0.9880128389502577,73,
2018,243,-0.033208993759359595,-0.03441754765668992,0.15018425847615477,-0.15820049433139532,0.1120960448287478,52.7250606986903,54.677840724567716,14943.299850042036,0.006464210673527674,0.9935357893264724,116,
2019,244,0.3109650629895595,0.32265495868138383,0.17673992293639929,1.670898266323388,0.08798509435610069,62.42871867291136,64.47556190808878,20354.848410518796,0.02344492869510604,0.9765550713048939,75,
2020,243,0.04313406452288171,0.044766868649970926,0.276279541449103,0.2971983172316865,0.2066921189687373,75.59268980904027,78.39241906122695,29078.119168559508,0.0008431616215831803,0.9991568383784168,117,
2021,243,-0.07376502010081787,-0.07638999354285103,0.23384373495077573,-0.2231331201178234,0.23522003555660764,78.55315599881159,81.46253214691572,27625.946539241697,0.011508350205408835,0.9884916497945911,236,
2022,242,0.056952621842751405,0.0593745859856496,0.24647483317400878,0.3564119473829116,0.21013769982079378,67.109030570319,69.88213100710905,23832.485886154464,0.039332153598351634,0.9606678464016484,127,
2023,242,0.06948731096478111,0.07246034058372919,0.19717530986851364,0.45288379544119284,0.1303821829131815,59.17376637286674,61.61896333042321,22260.275186361192,0.014414048535901483,0.9855859514640986,130,
2024,242,0.2978895953998606,0.31194913282621406,0.2722154384350864,1.1326794803980662,0.14769962236797152,73.53645971155211,76.57515639384765,34250.702286060085,0.0013966910635066147,0.9986033089364934,59,
2025,243,0.16054083108543438,0.16695807974632038,0.31565331845514577,0.6464572443967167,0.24939615121496705,81.4864306263389,84.50444657546257,41050.83876037202,0.00021546632269498807,0.999784533677305,103,
2026,134,0.6119182596535806,1.4543056943156296,0.3307213211347997,2.882331453504554,0.1261199382330943,42.5305141502449,79.9827579541919,32186.430421938407,0.03658334439938535,0.9634166556006147,52,
