trade_date,daily_return,total_value,gross_traded,transaction_cost,cash_ratio,exposure
2019-01-02,0.0038900505751371384,1.0038900505751371,0.0,0.0,,
2019-01-03,0.010920388624072075,1.014852920063257,0.0,0.0,,
2019-01-04,-0.005226978566497564,1.009548305601939,0.0,0.0,,
2019-01-07,-0.004203554708510637,1.005304614068457,0.0,0.0,,
2019-01-08,-0.004573074169456959,1.0007072815054245,0.0,0.0,,
2019-01-09,-0.002458046656101942,0.9982474963183833,0.0,0.0,,
2019-01-10,-9.789464456844144e-06,0.9982377240099989,0.0,0.0,,
2019-01-11,0.00017621208098717034,0.9984136255566666,0.0,0.0,,
2019-01-14,9.787835733732209e-05,0.9985113486422793,0.0,0.0,,
2019-01-15,2.9360633561736904e-05,0.9985406655680941,0.0,0.0,,
2019-01-16,9.78659008978866e-05,0.9986383886499131,0.0,0.0,,
2019-01-17,9.785632755665574e-06,0.9986481609584401,0.0,0.0,,
2019-01-18,8.806983532849699e-05,0.9987361117375269,0.0,0.0,,
2019-01-21,9.784675057744607e-05,0.9988338348207447,0.0,0.0,,
2019-01-22,0.00012718833750113845,0.9989608748356354,0.0,0.0,,
2019-01-23,0.0006410517380572855,0.9996012604407001,0.0,0.0,,
2019-01-24,0.0072209956124424934,1.0068193767565343,0.0,0.0,,
2019-01-25,0.000512087601236999,1.0073349564760565,0.0,0.0,,
2019-01-28,0.004606429487466812,1.011975173923324,0.0,0.0,,
2019-01-29,0.004075828939676285,1.0160998116234348,0.0,0.0,,
2019-01-30,-0.013700083829462528,1.0021791590250926,0.0,0.0,,
2019-01-31,0.008745796978473663,1.0109440144859836,0.0,0.0,,
2019-02-01,0.018359938636422157,1.0295048845568044,0.0,0.0,,
2019-02-11,0.0385618731379509,1.0692045213099848,0.0,0.0,,
2019-02-12,0.0028932522982358932,1.0722979997485491,0.0,0.0,,
2019-02-13,0.01058217417448759,1.0836452439488429,0.0,0.0,,
2019-02-14,0.016650328412652016,1.1016882931433996,0.0,0.0,,
2019-02-15,-0.013108965009450912,1.087246299857261,0.0,0.0,,
2019-02-18,0.03414849191904068,1.1243741213419436,0.0,0.0,,
2019-02-19,-0.009171533398330212,1.1140618865358378,0.0,0.0,,
2019-02-20,0.006942471489310265,1.12179622942044,0.0,0.0,,
2019-02-21,-0.005515223369002342,1.1156092726406817,0.0,0.0,,
2019-02-22,0.003235055599361658,1.1192183306648378,0.0,0.0,,
2019-02-25,0.046987373381853104,1.1718074602636008,0.0,0.0,,
2019-02-26,-0.022879309952259064,1.1449973141758605,0.0,0.0,,
2019-02-27,0.01756127178668976,1.1651049232051325,0.0,0.0,,
2019-02-28,-0.003540142672136426,1.1609802855489777,0.0,0.0,,
2019-03-01,0.030642209574580193,1.1965552867707254,0.0,0.0,,
2019-03-04,0.009479506872594357,1.2078980408351077,0.0,0.0,,
2019-03-05,0.005122085101902485,1.2140849973946863,0.0,0.0,,
