trial,top_k,universe,lookback,r2_threshold,score_max,buffer_ratio,ordinal_rank_buffer_extra,rebalance_interval_days,rebalance_phase,regime_use_hysteresis,cost_bp,initial_cash,adv_participation,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return,use_r2,use_ordinary_filters,use_buffer,use_regime,weak_pool_switch,use_mainline,use_retention,regime_filter_relaxation,regime_dynamic_lookback,regime_buffer_disable
universe_fixed_only,3,fixed_only,25,0.4,5.0,0.9,2,5,0,False,10.0,200000.0,,2808,3.1567003434394243,0.13639347405511915,0.22426517287826458,0.6820271111168497,0.3661750575303234,741.8405963735557,66.57543813608834,251917.19230433344,0.024601572885458823,0.9753984271145413,845,-0.07756364291485462,False,True,True,True,True,False,False,False,False,False
universe_original_like,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,200000.0,,2808,3.7784488345768663,0.15069876895252166,0.23499829814747336,0.7150834853515078,0.3436213551719747,785.7128145460065,70.51268848489802,290127.29506114917,0.01675366219453713,0.9832463378054629,875,-0.14541358041886276,False,True,True,True,True,False,False,False,False,False
universe_pit_all_etf,3,pit_all_etf,25,0.4,5.0,0.9,2,5,0,False,10.0,200000.0,,2808,3.4485347057837954,0.14333452768813548,0.24872865672179517,0.6631074462011814,0.41436208319753687,817.6751947011085,73.38110721676615,347823.3105150924,0.015409244497557638,0.9845907555024422,1017,-0.2878755233317606,False,True,True,True,True,False,False,False,False,False
universe_listed_by_2023_end,3,listed_by_2023_end,25,0.4,5.0,0.9,2,5,0,False,10.0,200000.0,,2808,2.92129341484474,0.1304633299520932,0.24665752010199507,0.6207904006816674,0.41436208319753687,815.463508282494,73.18262253817254,345860.75911340903,0.015280116701106183,0.9847198832988938,1017,-0.2878755233317606,False,True,True,True,True,False,False,False,False,False
