trial,top_k,universe,lookback,r2_threshold,score_max,buffer_ratio,ordinal_rank_buffer_extra,rebalance_interval_days,rebalance_phase,regime_use_hysteresis,cost_bp,initial_cash,adv_participation,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return,use_r2,use_ordinary_filters,use_buffer,use_regime,weak_pool_switch,use_mainline,use_retention,regime_filter_relaxation,regime_dynamic_lookback,regime_buffer_disable
capacity_200000_0.005,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,200000.0,0.005,2808,3.9542420642951708,0.1544357059165402,0.21646068623948164,0.7719108147786569,0.29546935216833026,700.5938792578316,62.87380967698489,256031.7552971159,0.10236779409885427,0.8976322059011457,864,-0.15488559786271705,False,True,True,True,True,False,False,False,False,False
capacity_200000_0.01,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,200000.0,0.01,2808,4.102021969123072,0.15748490712270025,0.22519227067272984,0.7622872061670538,0.3045360372600061,741.097746097074,66.50877208563485,276077.3179467921,0.05943206371607017,0.9405679362839297,864,-0.15985297935993903,False,True,True,True,True,False,False,False,False,False
capacity_200000_0.05,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,200000.0,0.05,2808,4.466941776688239,0.16468326465693206,0.2359733614589644,0.7643077627732819,0.3077892936600224,789.3491879833273,70.83902969081143,304859.34731942916,0.007910620565471923,0.992089379434528,869,-0.14133533252847819,False,True,True,True,True,False,False,False,False,False
capacity_1e+06_0.005,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,1000000.0,0.005,2808,3.285719718429056,0.1395150921170507,0.18596009725210835,0.7954487646060123,0.2727823159516267,554.0267603866112,49.72035029110613,904579.7497064734,0.26423044891599895,0.735769551084001,924,-0.18152204083763412,False,True,True,True,True,False,False,False,False,False
capacity_1e+06_0.01,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,1000000.0,0.01,2808,3.643440658253976,0.14774287756937632,0.19979830802282356,0.7897049244472568,0.2911880058885731,624.2661735591623,56.023887370694055,1083206.6694939304,0.1865582001580031,0.8134417998419969,870,-0.16600712542055363,False,True,True,True,True,False,False,False,False,False
capacity_1e+06_0.05,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,1000000.0,0.05,2808,4.099298765738489,0.15742944939745085,0.2252884616032082,0.7618465756364247,0.30438066691083554,742.6454197328565,66.64766587346148,1382505.05842096,0.05696818521484455,0.9430318147851555,864,-0.160386343170001,False,True,True,True,True,False,False,False,False,False
capacity_5e+06_0.005,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,5000000.0,0.005,2808,2.093428800951979,0.10665909436720744,0.1308797366734401,0.8398797045838874,0.20791499265846936,365.7984513858105,32.82806615000864,2531378.296416699,0.4801529204023346,0.5198470795976654,1032,-0.18946364346722067,False,True,True,True,True,False,False,False,False,False
capacity_5e+06_0.01,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,5000000.0,0.01,2808,2.3996244351567375,0.1160727908711996,0.15585521213134776,0.7826512644800674,0.2118499775865087,450.19610674512825,40.40221470789613,3245651.46116682,0.3816025254149241,0.6183974745850759,1024,-0.1934741946436085,False,True,True,True,True,False,False,False,False,False
capacity_5e+06_0.05,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,5000000.0,0.05,2808,3.637186633259354,0.14760406329680564,0.19983671467264513,0.7889861398245787,0.2911506224649717,624.6721738980567,56.06032329854355,5412825.594314965,0.18593053133598023,0.8140694686640197,870,-0.16693945266460497,False,True,True,True,True,False,False,False,False,False
capacity_1e+07_0.005,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,10000000.0,0.005,2808,1.4256056878942633,0.0827673372298321,0.1092733393281634,0.7824403537202493,0.19938866021394663,296.0433464287905,26.567992628224793,3683429.5679853717,0.563464495800625,0.43653550419937504,1126,-0.1849746629870811,False,True,True,True,True,False,False,False,False,False
capacity_1e+07_0.01,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,10000000.0,0.01,2808,2.093497635003888,0.10666130428494025,0.13088329555779712,0.839875681564983,0.20793209399985246,365.8622173386852,32.83378873552303,5063698.828452667,0.48006722403422936,0.5199327759657706,1032,-0.18947571960450782,False,True,True,True,True,False,False,False,False,False
capacity_1e+07_0.05,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,10000000.0,0.05,2808,3.2848921054850777,0.13949534220340687,0.18599314466925762,0.79524739896366,0.27275030390729793,554.4601080505487,49.759240466074885,9049909.946994426,0.263524718518331,0.736475281481669,924,-0.18198338038319029,False,True,True,True,True,False,False,False,False,False
capacity_5e+07_0.005,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,50000000.0,0.005,2808,0.400092626708654,0.030662875592528893,0.05765607389545232,0.5526914075788061,0.1152237356678627,160.25406908874407,14.381775431041136,8349645.211117082,0.7381179387663587,0.2618820612336414,1857,-0.10303776180392143,False,True,True,True,True,False,False,False,False,False
