period,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return
2015-2018,975,0.37455514781273025,0.08569942210444492,0.18886632887352034,0.5307206623857164,0.2187760908453772,218.99006273569597,56.600508522456806,59487.64840194296,0.020536612150671738,0.9794633878493283,757,-0.12305910845084955
2019-2022,972,0.3387760815168932,0.07857464785321588,0.23581527597597607,0.4388459506829642,0.31078933089652516,284.71969042570197,73.8162160362931,100891.40000447446,0.018765803648524718,0.9812341963514752,602,-0.0976579110812702
2023-2026,861,1.5966703968804556,0.32218653428143584,0.2773728224923147,1.145422608590323,0.3436213551719739,261.26965699099725,76.46916789980408,129748.24665473172,0.010198287397200093,0.9898017126028,197,0.8305065868365737
