trial,top_k,universe,lookback,r2_threshold,score_max,buffer_ratio,ordinal_rank_buffer_extra,rebalance_interval_days,rebalance_phase,regime_use_hysteresis,cost_bp,initial_cash,adv_participation,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return,use_r2,use_ordinary_filters,use_buffer,use_regime,weak_pool_switch,use_mainline,use_retention,regime_filter_relaxation,regime_dynamic_lookback,regime_buffer_disable
phase_0,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,200000.0,,2808,3.7784488345768663,0.15069876895252166,0.23499829814747336,0.7150834853515078,0.3436213551719747,785.7128145460065,70.51268848489802,290127.29506114917,0.01675366219453713,0.9832463378054629,875,-0.14541358041886276,False,True,True,True,True,False,False,False,False,False
phase_1,3,original_like,25,0.4,5.0,0.9,2,5,1,False,10.0,200000.0,,2808,1.1785394076064177,0.0723786986983943,0.2322929644487472,0.4173087358886697,0.3759469236470442,756.4061285843172,67.88260128320796,206141.23091429938,0.03150211039532491,0.9684978896046752,2161,-0.25507090600422744,False,True,True,True,True,False,False,False,False,False
phase_2,3,original_like,25,0.4,5.0,0.9,2,5,2,False,10.0,200000.0,,2808,6.344549433106761,0.1959549533481686,0.23695855306611074,0.8737630023393862,0.3735546539244474,790.9282819138091,70.98074324867518,317916.2141261849,0.02028314327695884,0.9797168567230411,974,-0.1665056826400234,False,True,True,True,True,False,False,False,False,False
phase_3,3,original_like,25,0.4,5.0,0.9,2,5,3,False,10.0,200000.0,,2808,4.066682191936937,0.15676311312364266,0.24252925175687406,0.7220027364706921,0.516577095521781,782.0256584748437,70.181789863127,275163.0704841304,0.017250135962431017,0.9827498640375689,1243,-0.4453780528877418,False,True,True,True,True,False,False,False,False,False
phase_4,3,original_like,25,0.4,5.0,0.9,2,5,4,False,10.0,200000.0,,2808,5.549728801615555,0.18372497458726023,0.23878596529085908,0.8261157390668794,0.32841797040656484,805.6981097839379,72.30624062163545,379918.40154694015,0.018698762695133906,0.9813012373048662,608,-0.16177926753199423,False,True,True,True,True,False,False,False,False,False
