trade_date,cash,positions_value,total_value,daily_return,cash_ratio,exposure,gross_traded,transaction_cost,holdings
2015-01-05,98.18745866323297,205344.96432392218,205443.15178258542,0.027215758912927157,0.0004779300639192974,0.9995220699360806,199702.11043090583,199.70211043090586,SH510210;SH510880;SZ159931
2015-01-06,98.18745866323297,203210.39170133672,203308.57915999996,-0.010390088956795274,0.00048294793593516445,0.9995170520640647,0.0,0.0,SH510210;SH510880;SZ159931
2015-01-07,98.18745866323297,203193.84645616586,203292.03391482908,-8.137996556389915e-05,0.00048298724142023904,0.9995170127585798,0.0,0.0,SH510210;SH510880;SZ159931
2015-01-08,98.18745866323297,198298.59141158935,198396.7788702526,-0.024079915726689993,0.0004949045000747998,0.9995050954999252,0.0,0.0,SH510210;SH510880;SZ159931
2015-01-09,98.18745866323297,198765.48449479885,198863.67195346206,0.0023533299576139477,0.0004937425609148499,0.9995062574390853,0.0,0.0,SH510210;SH510880;SZ159931
2015-01-12,113.47343255098531,196652.50262667952,196765.9760592305,-0.01054841175175758,0.0005766923470388373,0.9994233076529612,261191.52250360863,261.1915225036086,SH510300;SH510880;SH510900
2015-01-13,113.47343255098531,194165.3945056777,194278.86793822868,-0.012639929782642723,0.0005840750142061997,0.9994159249857938,0.0,0.0,SH510300;SH510880;SH510900
2015-01-14,113.47343255098531,190890.21041982042,191003.6838523714,-0.016858159204935386,0.0005940902827753313,0.9994059097172246,0.0,0.0,SH510300;SH510880;SH510900
2015-01-15,113.47343255098531,195475.56134816285,195589.03478071385,0.024006609903327814,0.0005801625468329905,0.999419837453167,0.0,0.0,SH510300;SH510880;SH510900
2015-01-16,113.47343255098531,199958.2579219041,200071.73135445509,0.02291895646791775,0.0005671637456365648,0.9994328362543634,0.0,0.0,SH510300;SH510880;SH510900
2015-01-19,292.82824396909564,179079.3,179372.12824396908,-0.10346090859689594,0.0016325180887122647,0.9983674819112878,383554.90972113924,383.5549097211392,SH510060;SH510110;SH510650
2015-01-20,292.82824396909564,178385.2,178678.0282439691,-0.003869608989953588,0.0016388598354648534,0.9983611401645351,0.0,0.0,SH510060;SH510110;SH510650
2015-01-21,292.82824396909564,189581.6,189874.4282439691,0.06266243314881614,0.0015422205437418959,0.9984577794562581,0.0,0.0,SH510060;SH510110;SH510650
2015-01-22,292.82824396909564,189505.8,189798.62824396908,-0.00039921120869745863,0.0015428364613504543,0.9984571635386496,0.0,0.0,SH510060;SH510110;SH510650
2015-01-23,292.82824396909564,191243.9,191536.7282439691,0.009157600432000201,0.001528835992207755,0.9984711640077922,0.0,0.0,SH510060;SH510110;SH510650
2015-01-26,251.06926083632425,193331.79074402625,193582.86000486257,0.010682712290497332,0.0012969601793775425,0.9987030398206225,380130.62835477805,380.130628354778,SH510260;SZ159902;SZ159915
2015-01-27,251.06926083632425,193898.58794866884,194149.65720950515,0.0029279307301708357,0.0012931738559053836,0.9987068261440947,0.0,0.0,SH510260;SZ159902;SZ159915
2015-01-28,251.06926083632425,191114.99913009853,191366.06839093484,-0.014337335736660961,0.001311984214063613,0.9986880157859365,0.0,0.0,SH510260;SZ159902;SZ159915
2015-01-29,251.06926083632425,189338.5616459202,189589.63090675653,-0.009282928259514045,0.001324277386033862,0.9986757226139662,0.0,0.0,SH510260;SZ159902;SZ159915
