trade_date,symbol,net_pnl,return_contribution
2015-01-05,SH510880,2918.279882585413,0.014591399412927064
2015-01-05,SH510210,2906.9337000000046,0.014534668500000023
2015-01-05,SZ159931,-382.0618000000003,-0.0019103090000000015
2015-01-06,SH510880,-126.47262258543401,-0.0006156088508575664
2015-01-06,SH510210,-392.7000000000066,-0.0019114776841799512
2015-01-06,SZ159931,-1615.4000000000058,-0.00786300242175771
2015-01-07,SH510880,-252.94524517087802,-0.0012441444734696363
2015-01-07,SH510210,0.0,0.0
2015-01-07,SZ159931,236.4000000000002,0.0011627645079057777
2015-01-08,SH510880,-1593.5550445765045,-0.007838748099909011
2015-01-08,SH510210,-1252.8999999999949,-0.006163055068478029
2015-01-08,SZ159931,-2048.799999999993,-0.010078112558302973
2015-01-09,SH510880,-430.00691679049964,-0.0021674087615692356
2015-01-09,SH510210,542.2999999999984,0.0027334113138734544
2015-01-09,SZ159931,354.59999999999593,0.001787327405309826
2015-01-12,SH510880,-1365.9043239227153,-0.006868546228203829
2015-01-12,SH510210,-609.9939999999983,-0.003067397851040127
2015-01-12,SZ159931,-496.439999999996,-0.002496383553232249
2015-01-12,SH510900,659.9838000000007,0.0033187750860521653
2015-01-12,SH510300,-285.34137030886734,-0.0014348592053336053
2015-01-13,SH510880,75.88357355126641,0.0003856539380996638
2015-01-13,SH510900,-2434.5999999999963,-0.012373074089125717
2015-01-13,SH510300,-128.39169455307086,-0.0006525096316165066
2015-01-14,SH510880,-227.65072065378922,-0.001171772942007111
2015-01-14,SH510900,-2900.8000000000025,-0.01493111438616328
2015-01-14,SH510300,-146.73336520350054,-0.0007552718767650771
2015-01-15,SH510880,1922.383863298639,0.01006464286199039
2015-01-15,SH510900,828.8000000000008,0.004339183325074443
2015-01-15,SH510300,1834.1670650438198,0.009602783716263113
2015-01-16,SH510880,632.3631129272001,0.0032331214970009892
2015-01-16,SH510900,3263.4000000000087,0.01668498443002592
2015-01-16,SH510300,586.933460814018,0.003000850540890817
2015-01-19,SH510880,-1887.477419465073,-0.009434003528070351
2015-01-19,SH510900,-2600.360000000008,-0.012997138488261024
2015-01-19,SH510300,-3603.5696910209385,-0.018011388548623646
2015-01-19,SH510060,-4146.4,-0.020724566993695234
2015-01-19,SH510650,-4375.895999999995,-0.021871635589774962
2015-01-19,SH510110,-4085.9000000000015,-0.020422175448470817
2015-01-20,SH510060,816.4999999999968,0.004551989252697343
2015-01-20,SH510650,-509.6000000000049,-0.002841021093906427
2015-01-20,SH510110,-1000.9999999999948,-0.005580577148744684
2015-01-21,SH510060,3124.0000000000027,0.017483962805625187
2015-01-21,SH510650,3959.200000000008,0.022158292426386467
2015-01-21,SH510110,4113.2,0.023020177916804566
2015-01-22,SH510060,284.0000000000003,0.001495725372955907
2015-01-22,SH510650,-196.00000000000452,-0.0010322611728850854
2015-01-22,SH510110,-163.80000000000632,-0.0008626754087682633
2015-01-23,SH510060,248.4999999999963,0.001309282381538458
2015-01-23,SH510650,979.9999999999966,0.005163367138461584
2015-01-23,SH510110,509.6000000000005,0.0026849509120000356
2015-01-26,SH510060,-64.2905,-0.00033565625031513666
2015-01-26,SH510650,-181.29999999999575,-0.0009465547504239795
2015-01-26,SH510110,-954.0439999999988,-0.004980997685126946
2015-01-26,SH510260,149.4920000000002,0.000780487384172008
2015-01-26,SZ159915,1750.9345999999973,0.009141508347003568
2015-01-26,SZ159902,1345.3396608934665,0.0070239252451876795
2015-01-27,SH510260,266.00000000000614,0.0013740885943792985
2015-01-27,SZ159915,77.20000000000007,0.0003987956371657124
2015-01-27,SZ159902,223.5972046425794,0.0011550464986257716
2015-01-28,SH510260,-1117.2000000000069,-0.005754323834805675
2015-01-28,SZ159915,-772.0000000000007,-0.003976313999704581
2015-01-28,SZ159902,-894.3888185703081,-0.004606697902150717
2015-01-29,SH510260,-957.6000000000008,-0.005004021914918345
2015-01-29,SZ159915,-617.6000000000006,-0.0032273224046089916
2015-01-29,SZ159902,-201.23748417832337,-0.0010515839399868035
2015-01-30,SH510260,-904.3999999999949,-0.004770303078678362
2015-01-30,SZ159915,-1119.3999999999967,-0.005904331342627789
2015-01-30,SZ159902,-894.3888185703082,-0.004717498601018872
2015-02-02,SH510260,-751.7160000000065,-0.004026946980164675
2015-02-02,SZ159915,-602.5074000000004,-0.003227635642924789
2015-02-02,SZ159902,-420.36274472804695,-0.0022518856662041625
2015-02-02,SH511880,-152.58039128617656,-0.0008173740427531247
2015-02-03,SH511880,69.4768896129915,0.0003760705949092921
2015-02-04,SH511880,73.13356801371214,0.0003957149673520573
2015-02-05,SH511880,29.253427205451032,0.00015822337558273687
2015-02-06,SH511880,10.970035202065276,5.932437934008712e-05
2015-02-09,SH511880,-207.620714573266,-0.00112271648632712
2015-02-09,SH513030,-757.9470000000006,-0.004098625681022268
2015-02-09,SH513500,-92.2432,-0.0004988084238339527
2015-02-10,SH513030,-855.9000000000007,-0.004654936994452737
2015-02-10,SH513500,-568.3999999999915,-0.00309132630873571
2015-02-11,SH513030,1331.400000000001,0.007297541782596044
2015-02-11,SH513500,1136.800000000001,0.006230918956328064
2015-02-12,SH513030,-95.10000000000008,-0.0005142953598867078
2015-02-12,SH513500,-81.20000000000908,-0.0004391249550242409
2015-02-13,SH513030,2282.400000000002,0.012354868019438766
2015-02-13,SH513500,1218.00000000001,0.006593160378407172
2015-02-16,SH513030,285.7755000000003,0.001518166177424736
2015-02-16,SH513500,68.28920000000014,0.0003627825118787068
2015-02-16,SZ159915,2173.7715000000057,0.011548038123456488
2015-02-16,SZ159902,1845.6401908598543,0.009804859106043598
2015-02-16,SH510500,1178.782800000001,0.006262216941235434
2015-02-17,SZ159915,-355.00000000000034,-0.0018318840505365743
2015-02-17,SZ159902,169.63994493071175,0.0008753822801478122
2015-02-17,SH510500,310.40000000000026,0.0016017374909480355
2015-02-25,SZ159915,-603.5000000000044,-0.0031121947866665006
