date,side,symbol,price,units,gross,commission
2014-01-02,buy,SH513100,1.167,85600.0,99895.2,19.97904
2014-01-07,sell,SH513100,1.156,85600.0,98953.59999999999,19.79072
2014-01-07,buy,SZ159915,1.29,76700.0,98943.0,19.788600000000002
2014-02-26,sell,SZ159915,1.406,76700.0,107840.2,21.56804
2014-02-26,buy,SH518880,2.617,41200.0,107820.4,21.56408
2014-04-01,sell,SH518880,2.564,41200.0,105636.8,21.127360000000003
2014-04-01,buy,SH510180,5.067519974777114,20800.0,105404.41547536397,21.080883095072796
2014-05-05,sell,SH510180,5.094517950135543,20800.0,105965.9733628193,21.193194672563862
2014-05-05,buy,SH518880,2.632,40300.0,106069.6,21.21392
2014-05-14,sell,SH518880,2.596,40300.0,104618.8,20.92376
2014-05-14,buy,SH513100,1.184,88300.0,104547.2,20.90944
2014-06-16,sell,SH513100,1.247,88300.0,110110.1,22.02202
2014-06-16,buy,SZ159915,1.352,81400.0,110052.8,22.01056
2014-07-03,sell,SZ159915,1.388,81400.0,112983.2,22.59664
2014-07-03,buy,SH518880,2.633,42900.0,112955.7,22.59114
2014-07-15,sell,SH518880,2.609,42900.0,111926.1,22.385220000000004
2014-07-15,buy,SH513100,1.297,86300.0,111931.09999999999,22.386219999999998
2014-07-24,sell,SH513100,1.307,86300.0,112794.09999999999,22.55882
2014-07-24,buy,SH510180,5.310501753002975,21200.0,112582.63716366306,22.516527432732612
2014-08-21,sell,SH510180,5.704672193236037,21200.0,120939.05049660399,24.1878100993208
2014-08-21,buy,SZ159915,1.39,87100.0,121068.99999999999,24.2138
2014-10-28,sell,SZ159915,1.456,87100.0,126817.59999999999,25.36352
2014-10-28,buy,SH518880,2.425,52200.0,126584.99999999999,25.316999999999997
2014-11-03,sell,SH518880,2.315,52200.0,120843.0,24.1686
2014-11-03,buy,SH510180,6.077927859874331,19900.0,120950.76441149919,24.190152882299838
2014-11-04,sell,SH510180,6.0502757767993804,19900.0,120400.48795830767,24.080097591661534
2014-11-04,buy,SH513100,1.334,90200.0,120326.8,24.065360000000002
2014-11-24,sell,SH513100,1.378,90200.0,124295.59999999999,24.85912
2014-11-24,buy,SH510180,6.351683482316351,19500.0,123857.82790516884,24.77156558103377
2015-01-21,sell,SH510180,8.461537420935148,19500.0,164999.9797082354,32.99999594164708
2015-01-21,buy,SH518880,2.598,63600.0,165232.8,33.04656
2015-01-27,sell,SH518880,2.59,63600.0,164724.0,32.9448
2015-01-27,buy,SZ159915,1.686,97700.0,164722.19999999998,32.94444
2015-04-17,sell,SZ159915,2.391,97700.0,233600.7,46.72014000000001
2015-04-17,buy,SH510180,11.334588852422604,20600.0,233492.53035990565,46.69850607198113
2015-05-07,sell,SH510180,11.199093645355342,20600.0,230701.32909432004,46.14026581886401
2015-05-07,buy,SZ159915,2.71,85100.0,230621.0,46.1242
2015-06-23,sell,SZ159915,3.15,85100.0,268065.0,53.613
2015-06-23,buy,SH510180,11.088485313055536,24100.0,267232.4960446384,53.44649920892768
2015-06-24,sell,SH510180,11.497736142564818,24100.0,277095.44103581214,55.41908820716243
2015-06-24,buy,SZ159915,3.22,86200.0,277564.0,55.512800000000006
2015-06-25,sell,SZ159915,3.215,86200.0,277133.0,55.4266
2015-06-25,buy,SH510180,11.768726556699342,23500.0,276565.0740824345,55.313014816486906
2015-06-26,sell,SH510180,10.950224897680778,23500.0,257330.2850954983,51.46605701909966
2015-06-26,buy,SH513100,1.471,175300.0,257866.30000000002,51.573260000000005
2015-08-24,sell,SH513100,1.405,175300.0,246296.5,49.2593
2015-08-24,buy,SH518880,2.391,103000.0,246273.0,49.2546
2015-09-23,sell,SH518880,2.319,103000.0,238857.0,47.7714
2015-09-23,buy,SH513100,1.45,164600.0,238670.0,47.734
2015-09-30,sell,SH513100,1.383,164600.0,227641.8,45.52836
2015-09-30,buy,SZ159915,1.963,115900.0,227511.7,45.502340000000004
2015-12-08,sell,SZ159915,2.556,115900.0,296240.4,59.24808000000001
2015-12-08,buy,SH513100,1.598,185300.0,296109.4,59.221880000000006
2015-12-23,sell,SH513100,1.579,185300.0,292588.7,58.51774
2015-12-23,buy,SH518880,2.242,130500.0,292581.0,58.516200000000005
2016-01-04,sell,SH518880,2.235,130500.0,291667.5,58.3335
2016-01-04,buy,SZ159915,2.531,115200.0,291571.2,58.314240000000005
2016-01-05,sell,SZ159915,2.24,115200.0,258048.00000000003,51.60960000000001
2016-01-05,buy,SH518880,2.257,114200.0,257749.40000000002,51.54988000000001
2016-03-21,sell,SH518880,2.599,114200.0,296805.80000000005,59.36116000000001
2016-03-21,buy,SH513100,1.516,195800.0,296832.8,59.36656
2016-03-24,sell,SH513100,1.515,195800.0,296637.0,59.327400000000004
2016-03-24,buy,SH510180,7.78266984494548,38100.0,296519.7210924228,59.30394421848456
2016-03-30,sell,SH510180,7.600109924367546,38100.0,289564.1881184035,57.9128376236807
2016-03-30,buy,SZ159915,2.058,140600.0,289354.8,57.870960000000004
2016-04-22,sell,SZ159915,1.989,140600.0,279653.4,55.93068000000001
2016-04-22,buy,SH513100,1.557,179600.0,279637.2,55.927440000000004
2016-04-28,sell,SH513100,1.519,179600.0,272812.39999999997,54.562479999999994
2016-04-28,buy,SH518880,2.588,105300.0,272516.4,54.503280000000004
2016-05-30,sell,SH518880,2.55,105300.0,268515.0,53.703
2016-05-30,buy,SH513100,1.555,172700.0,268548.5,53.709700000000005
2016-06-14,sell,SH513100,1.538,172700.0,265612.60000000003,53.12252000000001
