trade_date,observation_date
2015-01-05,2014-12-31
2015-02-02,2015-01-30
2015-03-02,2015-02-27
2015-04-01,2015-03-31
2015-05-04,2015-04-30
2015-06-01,2015-05-29
2015-07-01,2015-06-30
2015-08-03,2015-07-31
2015-09-01,2015-08-31
2015-10-08,2015-09-30
2015-11-02,2015-10-30
2015-12-01,2015-11-30
2016-01-04,2015-12-31
2016-02-01,2016-01-29
2016-03-01,2016-02-29
2016-04-01,2016-03-31
2016-05-03,2016-04-29
2016-06-01,2016-05-31
2016-07-01,2016-06-30
2016-08-01,2016-07-29
2016-09-01,2016-08-31
2016-10-10,2016-09-30
2016-11-01,2016-10-31
2016-12-01,2016-11-30
2017-01-03,2016-12-30
2017-02-03,2017-01-26
2017-03-01,2017-02-28
2017-04-05,2017-03-31
2017-05-02,2017-04-28
2017-06-01,2017-05-31
2017-07-03,2017-06-30
2017-08-01,2017-07-31
2017-09-01,2017-08-31
2017-10-09,2017-09-29
2017-11-01,2017-10-31
2017-12-01,2017-11-30
2018-01-02,2017-12-29
2018-02-01,2018-01-31
2018-03-01,2018-02-28
2018-04-02,2018-03-30
2018-05-02,2018-04-27
2018-06-01,2018-05-31
2018-07-02,2018-06-29
2018-08-01,2018-07-31
2018-09-03,2018-08-31
2018-10-08,2018-09-28
2018-11-01,2018-10-31
2018-12-03,2018-11-30
2019-01-02,2018-12-28
2019-02-01,2019-01-31
2019-03-01,2019-02-28
2019-04-01,2019-03-29
2019-05-06,2019-04-30
2019-06-03,2019-05-31
2019-07-01,2019-06-28
2019-08-01,2019-07-31
2019-09-02,2019-08-30
2019-10-08,2019-09-30
2019-11-01,2019-10-31
2019-12-02,2019-11-29
2020-01-02,2019-12-31
2020-02-03,2020-01-23
2020-03-02,2020-02-28
2020-04-01,2020-03-31
2020-05-06,2020-04-30
2020-06-01,2020-05-29
2020-07-01,2020-06-30
2020-08-03,2020-07-31
2020-09-01,2020-08-31
2020-10-09,2020-09-30
2020-11-02,2020-10-30
2020-12-01,2020-11-30
2021-01-04,2020-12-31
2021-02-01,2021-01-29
2021-03-01,2021-02-26
2021-04-01,2021-03-31
2021-05-06,2021-04-30
2021-06-01,2021-05-31
2021-07-01,2021-06-30
2021-08-02,2021-07-30
2021-09-01,2021-08-31
2021-10-08,2021-09-30
2021-11-01,2021-10-29
2021-12-01,2021-11-30
