trade_date,cash,positions_value,total_value,cash_ratio,daily_return
2020-08-17,7596.7323270307625,193236.21985805777,200832.95218508854,0.03782612486834123,0.004164760925442712
2020-08-18,7596.7323270307625,193659.89142044343,201256.6237474742,0.03774649591937271,0.0021095719491053266
2020-08-19,7596.7323270307625,193224.58407686494,200821.3164038957,0.03782831655058006,-0.002162946667160104
2020-08-20,7596.7323270307625,191973.6638368732,199570.39616390396,0.03806542690225302,-0.006229021213444597
2020-08-21,5981.594069267998,194625.17620997835,200606.77027924635,0.02981750845667655,0.005193025294649489
2020-08-24,5981.594069267998,196556.20209463593,202537.79616390393,0.02953322383555209,0.009625925794874979
2020-08-25,5981.594069267998,197902.95937392887,203884.55344319687,0.02933814243527034,0.0066494121334423895
2020-08-26,5981.594069267998,196935.08154241095,202916.67561167895,0.02947808035607166,-0.004747185675287424
2020-08-27,5981.594069267998,198131.2952928683,204112.8893621363,0.029305322598493406,0.0058950983050134464
2020-08-28,10904.394069268003,194813.6003987818,205717.9944680498,0.05300651553338749,0.007863810614457067
2020-08-31,10904.394069268003,195327.1170572861,206231.51112655408,0.052874529259384205,0.002496216530946338
2020-09-01,10904.394069268003,195365.36506145174,206269.75913071973,0.0528647248885259,0.00018546149401088563
2020-09-02,10904.394069268003,195987.96389823296,206892.35796750095,0.05270563966882182,0.0030183718612220023
2020-09-03,10904.394069268003,196581.2970376965,207485.69110696448,0.052554920828957276,0.002867834971249872
2020-09-04,10374.779366666753,194570.17094502252,204944.95031168926,0.05062227369295186,-0.012245378376311233
2020-09-07,10374.779366666753,192240.66718598997,202615.4465526567,0.051204286460807935,-0.011366485270750681
2020-09-08,10374.779366666753,192669.99539708515,203044.7747637519,0.051096017510118594,0.002118931297686588
2020-09-09,10374.779366666753,190725.351822334,201100.13118900073,0.051590117347642024,-0.009577412553530618
2020-09-10,10374.779366666753,190905.4493122343,201280.22867890104,0.05154395657616955,0.0008955612750498609
2020-09-11,12696.279366666753,189127.54837247616,201823.8277391429,0.06290773249567282,0.0027007076840570576
2020-09-14,12696.279366666753,189166.96248108227,201863.241847749,0.06289544966409807,0.00019528966944903914
2020-09-15,12696.279366666753,189841.4712572557,202537.75062392245,0.0626859897848947,0.0033414145636390113
2020-09-16,12696.279366666753,189407.18599032826,202103.465356995,0.06282069109621688,-0.0021442188707517795
2020-09-17,12696.279366666753,188758.48222823718,201454.76159490392,0.0630229797804289,-0.0032097607081859048
2020-09-18,12894.779366666753,189982.0160839982,202876.79545066494,0.06355965618454612,0.007058824743098047
2020-09-21,12894.779366666753,189642.92767944606,202537.7070461128,0.063666067690452,-0.0016714006340592391
