model,experiment_id,period,total_return,annualized_return,maximum_drawdown,sharpe,calmar,benchmark_total_return,benchmark_annualized_return,annualized_excess_return
monthly-control,h18-control,development,1.806894043196718,0.14315040044433158,0.5198897566266705,0.6460954696902823,0.27534760710264766,0.38582754135131836,0.04320511921964809,0.09994528122468349
monthly-control,h18-control,selection-validation,0.9123905230672855,0.18284083513175609,0.36519703209302246,0.7712499344558444,0.5006635297221779,0.17734789848327637,0.04319101168069173,0.13964982345106436
monthly-control,h18-control,full,4.367877567463404,0.15623933351675756,0.5198897566266705,0.6882655832123635,0.3005239697941424,0.631600022315979,0.04320035153377222,0.11303898198298534
hard-stop-8pct,h25,development,1.4811239224982602,0.12501453424080888,0.461794871844878,0.6534059189003191,0.2707144272550576,0.38582754135131836,0.04320511921964809,0.08180941502116079
hard-stop-8pct,h25,selection-validation,0.41983651134146016,0.09503659931062569,0.38540623263429796,0.5131938573192176,0.24658812251436388,0.17734789848327637,0.04319101168069173,0.051845587629933965
hard-stop-8pct,h25,full,2.5227903343257765,0.1149249124919347,0.4625046483742198,0.6049542323927485,0.24848379988377362,0.631600022315979,0.04320035153377222,0.07172456095816249
trend-exit-50d,h26,development,0.6630604653708501,0.06815979508280234,0.3787342681260065,0.5280709609779112,0.1799673301812903,0.38582754135131836,0.04320511921964809,0.024954675863154252
trend-exit-50d,h26,selection-validation,0.10077151059859091,0.025177981334881583,0.2197883252800934,0.24192621164903236,0.11455559026074437,0.17734789848327637,0.04319101168069173,-0.018013030345810144
trend-exit-50d,h26,full,0.8306495806830625,0.053626046751156675,0.42947903489908934,0.4311626462199197,0.12486301400895317,0.631600022315979,0.04320035153377222,0.010425695217384456
winner-hold-50d,h27,development,0.6128136395131838,0.06392021642224255,0.41097598163457305,0.48312881448937495,0.15553273008318622,0.38582754135131836,0.04320511921964809,0.020715097202594457
winner-hold-50d,h27,selection-validation,0.23107704697389253,0.05531770929499036,0.20961851998461956,0.446370976519524,0.26389705117204915,0.17734789848327637,0.04319101168069173,0.012126697614298632
winner-hold-50d,h27,full,0.985497852651108,0.06104298186504664,0.4374362597633279,0.47124147918112363,0.13954714659016507,0.631600022315979,0.04320035153377222,0.017842630331274423
