model,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,longest_underwater_trading_days,yearly_returns,annualized_turnover
monthly-control,4.367877567463409,0.15623933351675778,0.5198897566266705,0.6882655832123635,0.26063205066537715,1146,"{'2010': 0.18811217635906474, '2011': -0.23929547187012645, '2012': 0.33313276647043777, '2013': 0.2613439111636249, '2014': 0.17245082256588407, '2015': 0.30242231711188716, '2016': 0.01320524558518077, '2017': 0.1937180428245613, '2018': -0.2989079297589422, '2019': 0.5047613547232126, '2020': 0.7003125057598196, '2021': 0.0661176900814997}",7.873420271578244
hard-stop-8pct,2.5227903343257725,0.11492491249193448,0.46250464837421856,0.6049542323927485,0.220079149589294,1149,"{'2010': 0.14225802522805897, '2011': -0.21417245450403444, '2012': 0.281597512346798, '2013': 0.2203789541566934, '2014': 0.17136512793361613, '2015': 0.20987126147709878, '2016': 0.06033658794346275, '2017': 0.17607610393147133, '2018': -0.34149066391835825, '2019': 0.4838753030086218, '2020': 0.6074772669450665, '2021': -0.09607133900029174}",11.018621652200709
trend-exit-50d,0.8306495806830771,0.05362604675115756,0.4294790348990889,0.4311626462199197,0.1459487849527244,1603,"{'2010': 0.02730447806063796, '2011': -0.13373356467389774, '2012': 0.22141363457675078, '2013': 0.1383347612441126, '2014': 0.16401796229217958, '2015': 0.2199581724191051, '2016': -0.08691210905598012, '2017': 0.03659092647168616, '2018': -0.16587936108149326, '2019': 0.12871605951153708, '2020': 0.2488850932559168, '2021': -0.06381618738853845}",17.65204630688213
winner-hold-50d,0.9854978526511078,0.06104298186504664,0.4374362597633259,0.47124147918112363,0.1495733587127641,1597,"{'2010': -0.0009534645739111003, '2011': -0.13291767429067602, '2012': 0.21248944108902457, '2013': 0.1210292959149617, '2014': 0.13191244586771544, '2015': 0.23883317408721383, '2016': -0.07533153809174176, '2017': 0.05640756190585794, '2018': -0.15187125111901834, '2019': 0.15589112286236717, '2020': 0.2901064973798726, '2021': -0.0266232723067108}",15.145951638426302
