execution_date,observation_date,active_full_market_stocks,merged_point_in_time_rows,eligible_candidates,selected_count,selected_industries,selected_sha256
2019-01-02,2018-12-28,3567,3358,1808,20,17,dd27fc3088880fdbd02c64e2402d2a4078895a28b15f8776f44551f0b34a7814
2019-02-01,2019-01-31,3583,3376,1817,20,17,2094a62aeae514dd7a19da6c3c87a27840ef8837a4ea5c1a12990fb5b3c60a83
2019-03-01,2019-02-28,3589,3386,1723,20,16,396c7aec6be7c7dfcfd1d0fd122c9087086f99584297129ebff61259a66b6857
2019-04-01,2019-03-29,3600,3379,1701,20,15,689967d52fa483eb02eec4cb43b61d81bb1b004266b555f3a5f5bc2368dbc2c8
2019-05-06,2019-04-30,3610,3348,1270,20,11,1d10eba64af66dea2f9d572134a43b7233936bc8e7c6e3e8f41a8ccdb4e66770
2019-06-03,2019-05-31,3622,3354,1277,20,13,a83403a1c09c3bbb9e05e21ff61e3ce0d18ebb4fef2a0fb17b90c8edd88ae177
2019-07-01,2019-06-28,3632,3364,1281,20,12,a38b365a9e1e7ce30999ee9db97056e974ae06cbf4b869210b912edf32ebedc0
2019-08-01,2019-07-31,3666,3377,1297,20,13,ccea1148bde4f8681a073a5d4cf03ca81c5ef3c932bd36b6a14f7fd20eae1408
2019-09-02,2019-08-30,3681,3378,1694,20,13,60c41a4076507828eb3ff5493337cf052fa5856b51c89fbb37c308b4e8710c01
2019-10-08,2019-09-30,3692,3382,1714,20,14,dc87f3499d1f68cb37470dcb27073c8d8eaf486e63beadcc378d957342b841ac
2019-11-01,2019-10-31,3707,3388,1784,20,15,5c9f7f2845b2f928bfa442cae8c8bc85a7ef9d9fca0df31ddb7c83dbc1d0a075
2019-12-02,2019-11-29,3735,3394,1784,20,15,5e2b9cdf1a18c1e4af23a62de81ce247092cb2aff8814365bcbcd47f851c48aa
2020-01-02,2019-12-31,3760,3402,1772,20,15,ae24904fc3c9d461cefc78fd75dba2908adaf9bc13697bf9fc07dbe0e437cbe2
2020-02-03,2020-01-23,3775,3412,1755,20,16,28c5f226e308c79265bc89a7f69de7b6cb8e6374f6079c4adb0e1f7ef5eeea54
2020-03-02,2020-02-28,3796,3426,1766,20,14,d126a3fc986111342aaca72d89ec878188b9f8f08765c92f9a578d8da90fd80c
2020-04-01,2020-03-31,3809,3431,1823,20,12,c1add8f07f6de5abf3204a8c1b92ed60af7323277a077c0badff0fb67e653af9
2020-05-06,2020-04-30,3831,3373,1021,20,15,fdc7e81e5aef7ac82c71a993a0d3f6d1c8bd5ce5472d7459b2c6fe4be3ca3abc
2020-06-01,2020-05-29,3848,3380,1014,20,14,25e097ce29f01afacd67e9cf15f7b7edb71232ec1793c59d9dc5fd533440ce6b
2020-07-01,2020-06-30,3873,3383,997,20,16,350fefcfc396e9b391c0b17640cdce6e71616036b6b1bbbb647b0dff70a93477
2020-08-03,2020-07-31,3920,3418,1001,20,14,429440423d1a26c2b304c240bc1557aa98d8382fc5aa9ee44050aee038cf785f
2020-09-01,2020-08-31,3973,3430,1634,20,13,1a2f86e6040b5bad0ed7b4b486124c574d814c793c33cd980fa69523100399eb
2020-10-09,2020-09-30,4039,3439,1676,20,12,6abc83720be2590bbb32dd5ce8d7915a776da547b233d89d46aedd65bcbf73ad
2020-11-02,2020-10-30,4065,3451,1704,20,14,afe7f4e97b9325a63d4779cab25516304a28ab4b63803b6353e32ddea2a9da9b
2020-12-01,2020-11-30,4085,3490,1731,20,15,bea09b7ecc4b65bebca14582c703c8ecbcf82bc0058dcc4c3ed2c27d615d0e19
2021-01-04,2020-12-31,4138,3517,1745,20,14,d7b505c22bd22ab608adc08e0c239869ba4bf1a3b280b93935272a5b31b10d56
2021-02-01,2021-01-29,4170,3534,1766,20,13,79d6ba6d16052293baba832d15ebb401d577108e244aa1596015c87d8843ca36
2021-03-01,2021-02-26,4195,3545,1783,20,14,083db868b2d40fc5ac072b6e29ce14edc297ec174e0023bf33255163405a2775
2021-04-01,2021-03-31,4233,3574,1854,20,13,5244738e8c1dfd2929f80c59c8463a260d89675297fe440a908d375854a0a125
2021-05-06,2021-04-30,4286,3549,1246,20,11,ac426263d8d08de652c379966631d0e179ea38a9c41e22f62c919eb4541a36d4
2021-06-01,2021-05-31,4324,3609,1247,20,13,0d3e9b67e43c9e5ad80abd9aa1d06ce8c966798889e3cd534446d0efba3dfc55
2021-07-01,2021-06-30,4373,3645,1236,20,11,984888e3d4439edfb9ecc1970ffc19407756349ee189a72ceec974b4f862def7
2021-08-02,2021-07-30,4416,3682,1272,20,13,5748a873f8f8dd922dc75b642c6e5c9f12d312a8085cfe9e3e5b266a8239d8c1
2021-09-01,2021-08-31,4455,3739,1854,20,13,9585778ecb5af97e611b6e63d02cce2c4219c88c82353ae167e266df2d7403a3
2021-10-08,2021-09-30,4493,3796,1904,20,14,c5749602241539353113c8b3f81ee23b301c889d544c45ce5589276bec9307b7
2021-11-01,2021-10-29,4526,3840,1821,20,13,787742ebae72981952c798b9c2632448b0c52c4b8284dfcabc0024b83cd50c1b
2021-12-01,2021-11-30,4637,3869,1763,20,14,9c1ce9733c8d9cd7276d3a4bdfb71c1e8b5699e00a00e3f2aaed998ce7aac979
2022-01-04,2021-12-31,4681,3908,1788,20,15,206a2ca1c06c009532663d77fe3870b2c23ed3129f08d973e3de91d8a08e6178
2022-02-07,2022-01-28,4713,3944,1856,20,15,ac5bb6b3ffcf809dd4dd4e8954ab562e177ae90e2bb8ef3f0c9751e0656a8357
2022-03-01,2022-02-28,4730,3987,1862,20,14,eafef9a76e98a79bc98d2bd8d83cd8827afa1d011ec495c8aabe04267dcfc029
2022-04-01,2022-03-31,4767,4012,1947,20,13,2a1d57fa47c7a04aa53de2b60f90457bcadf60fe0568a50b5a2c12e2c4205548
2022-05-05,2022-04-29,4801,4017,1500,20,11,85fe5f3c6f3127aed73627cb70bb713e08f9539e13034f668b96f49a219032d4
