date,equity,cash,market_value,positions,gross_traded,benchmark_value,candidate_count,selected_count,target_exposure,daily_return,drawdown
2019-01-02,987497.3363431926,656278.3454558873,331218.99088730535,7,343275.3965286255,0.986345112323761,7,7,1.0,-0.012502663656807411,0.0
2019-01-03,980651.7668965166,656278.3454558873,324373.4214406293,7,0.0,0.9847840070724487,7,7,1.0,-0.006932240923328448,-0.006932240923328448
2019-01-04,985122.4516054934,656278.3454558873,328844.1061496061,7,0.0,1.0083768367767334,7,7,1.0,0.004558891198580328,-0.0024049530568797106
2019-01-07,985839.8728064365,656278.3454558873,329561.52735054924,7,0.0,1.0144984722137451,7,7,1.0,0.0007282558627852431,-0.0016784486152578992
2019-01-08,985326.1622816992,656278.3454558873,329047.8168258119,7,0.0,1.0123063325881958,7,7,1.0,-0.0005210892142908374,-0.0021986632080785995
2019-01-09,984060.7470150166,656278.3454558873,327782.40155912936,7,0.0,1.02252995967865,7,7,1.0,-0.0012842602938222258,-0.0034800998460431387
2019-01-10,981997.6084721651,656278.3454558873,325719.2630162778,7,0.0,1.0206068754196167,7,7,1.0,-0.002096556080617762,-0.005569359702167542
2019-01-11,979185.3448672157,656278.3454558873,322906.99941132846,7,0.0,1.0279440879821777,7,7,1.0,-0.0028638191994426743,-0.008417229262366543
2019-01-14,974629.8702079301,656278.3454558873,318351.52475204284,7,0.0,1.0189759731292725,7,7,1.0,-0.004652310906372303,-0.013030380601239955
2019-01-15,978765.6434721961,656278.3454558873,322487.2980163088,7,0.0,1.0389750003814697,7,7,1.0,0.004243429624605666,-0.008842244479697503
2019-01-16,980474.1759923033,656278.3454558873,324195.8305364161,7,0.0,1.039194107055664,7,7,1.0,0.001745599195785097,-0.007112080298764978
2019-01-17,979596.7942622552,656278.3454558873,323318.44880636793,7,0.0,1.0334711074829102,7,7,1.0,-0.0008948545015580178,-0.008000570523252204
2019-01-18,984861.7927896217,656278.3454558873,328583.4473337344,7,0.0,1.052320957183838,7,7,1.0,0.00537465879656307,-0.0026689120634295627
2019-01-21,986921.205661117,656278.3454558873,330642.8602052297,7,0.0,1.0581237077713013,7,7,1.0,0.002091067890512832,-0.0005834250492351423
2019-01-22,984313.9396978,656278.3454558873,328035.59424191265,7,0.0,1.0440667867660522,7,7,1.0,-0.0026418177544077492,-0.0032237015009894954
2019-01-23,982950.2083764706,656278.3454558873,326671.86292058334,7,0.0,1.0433127880096436,7,7,1.0,-0.0013854637898840227,-0.004604698969174481
2019-01-24,985050.905617127,656278.3454558873,328772.5601612397,7,0.0,1.0492019653320312,7,7,1.0,0.0021371349461596356,-0.0024774048860982667
2019-01-25,987921.3699270238,656278.3454558873,331643.02447113657,7,0.0,1.0577349662780762,7,7,1.0,0.0029140263650622167,0.0
2019-01-28,988591.1779238702,656278.3454558873,332312.8324679829,7,0.0,1.0575058460235596,7,7,1.0,0.0006779972751231877,0.0
2019-01-29,989157.0880904902,656278.3454558873,332878.74263460294,7,0.0,1.0608904361724854,7,7,1.0,0.000572441044647487,0.0
2019-01-30,985106.7452094306,656278.3454558873,328828.3997535434,7,0.0,1.0524238348007202,7,7,1.0,-0.004094741805751534,-0.004094741805751534
2019-01-31,987972.9606972095,656278.3454558873,331694.61524132226,7,0.0,1.0634348392486572,7,7,1.0,0.0029095481293954784,-0.0011971075247174667
2019-02-01,995586.0430703817,599517.6543419898,396068.38872839196,8,276993.39781990054,1.0786374807357788,8,8,1.0,0.007705759849742977,0.0
2019-02-11,1002937.1368359437,599517.6543419898,403419.48249395384,8,0.0,1.0982577800750732,8,8,1.0,0.007383685033280685,0.0
2019-02-12,1005863.7266955806,599517.6543419898,406346.0723535908,8,0.0,1.1061862707138062,8,8,1.0,0.002918019237845515,0.0
2019-02-13,1006561.8045527872,599517.6543419898,407044.1502107974,8,0.0,1.1283377408981323,8,8,1.0,0.0006940083817317255,0.0
2019-02-14,1006322.0246819886,599517.6543419898,406804.37033999886,8,0.0,1.1300350427627563,8,8,1.0,-0.0002382167391152823,-0.0002382167391152823
2019-02-15,999427.4755379383,599517.6543419898,399909.82119594846,8,0.0,1.108963131904602,8,8,1.0,-0.006851235464342631,-0.007087820124486721
2019-02-18,1011984.8576229367,599517.6543419898,412467.20328094694,8,0.0,1.144516944885254,8,8,1.0,0.012564575611891726,0.0
2019-02-19,1004321.8140849415,599517.6543419898,404804.1597429517,8,0.0,1.142480731010437,8,8,1.0,-0.007572290711933216,-0.007572290711933216
